VS Result 0	 Win Ratio:5%	
VS Result 1	 Win Ratio:4%	
VS Result 2	 Win Ratio:5%	
VS Result 3	 Win Ratio:7%	
VS Result 4	 Win Ratio:6%	
VS Result 5	 Win Ratio:6%	
VS Result 6	 Win Ratio:6%	
VS Result 7	 Win Ratio:4%	
VS Result 8	 Win Ratio:3%	
VS Result 9	 Win Ratio:2%	
VS Result 10	 Win Ratio:4%	
VS Result 11	 Win Ratio:4%	
VS Result 12	 Win Ratio:4%	
VS Result 13	 Win Ratio:2%	
VS Result 14	 Win Ratio:4%	
VS Result 15	 Win Ratio:1%	
VS Result 16	 Win Ratio:2%	
VS Result 17	 Win Ratio:3%	
VS Result 18	 Win Ratio:2%	
