探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.10,953591,10037800.00,200411,14622,720,6,-13.83,F4
8,0.11,1077103,9616991.07,229683,16861,1090,10,12.11,C3
10,1.34,12078965,9034379.21,2849672,213270,16566,1466,-10.51,F4
10,1.08,10167964,9380040.59,2206266,174151,15838,1062,8.42,C3
12,10.43,92777042,8895210.16,23756699,1958546,179402,134447,-7.68,F4
12,10.14,89269195,8801064.28,19984120,1648713,173677,95926,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.13,1280670,9927674.42,219815,16314,953,5,-9.59,C5
8,0.12,1132647,9849104.35,279286,17333,1574,19,10.52,C6
10,1.25,11474569,9209124.40,2019632,174583,12190,970,-7.81,C5
10,1.01,9454460,9351592.48,2597210,189577,21076,1128,7.47,C6
12,13.12,115941060,8839666.06,20988756,1910558,160785,126629,-7.49,F3
12,14.41,128609673,8925648.76,39002686,2827401,374130,295396,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.04,381335,9777820.51,91086,7288,597,1,16.96,D3
8,0.08,802571,9669530.12,182621,13525,794,12,-17.52,D6
10,0.32,2932746,9136280.37,743513,65299,5294,134,13.49,D3
10,1.01,9109231,9001216.40,2105725,174063,14391,973,-15.50,E3
12,3.65,32515153,8898509.30,8139318,708215,66406,16658,14.34,D3
12,10.35,91606050,8849971.02,21534445,1734128,174300,105164,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.06,600320,9528888.89,212235,18279,918,11,-24.11,C3
8,0.07,669139,9697666.67,97472,10198,608,1,22.51,F5
10,0.62,5457480,8830873.79,2145997,196582,14252,1239,-23.35,C5
10,1.71,14989638,8786423.21,2690544,288168,26417,2687,21.81,C4
12,5.40,46807943,8671349.20,19583617,1741179,181608,106171,-23.45,C5
12,16.61,139965047,8425031.42,24702730,2647373,272686,255517,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.04,422218,9595863.64,116612,9085,310,3,-5.27,F6
8,0.12,1171931,9685380.17,228590,18319,1288,11,4.31,D3
10,0.40,3709378,9181628.71,1132734,94219,4872,272,-5.80,F6
10,1.04,9300624,8934317.00,1969288,180278,16316,1081,2.86,D3
12,3.87,34460681,8911476.86,11297743,979780,78298,32007,-5.52,F6
12,9.22,78512929,8511809.30,16566759,1670330,157622,96882,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.10,993584,9646446.60,239611,20318,999,10,17.08,F3
8,0.10,949749,9593424.24,222714,18518,1105,12,-15.80,D6
10,1.04,9321822,8971917.23,2428429,232808,17379,1722,17.82,H8
10,0.83,7432819,8966006.03,1918225,185683,16098,1196,-14.75,D6
12,10.64,82393365,7742282.00,22128776,2108825,211852,158973,17.96,E2
12,6.38,49296630,7724323.10,11502098,1342821,142064,62161,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.10,601710,6077878.79,151716,12240,661,4,-28.28,E6
8,0.22,1121576,5052144.14,195781,16340,1392,7,27.46,G6
10,0.69,5554498,8015148.63,1554190,132247,8205,557,-24.56,E6
10,1.37,10424818,7592729.79,1917434,168827,14965,898,23.45,C4
12,8.04,63279978,7869665.22,18613630,1540028,126318,81161,-24.23,E6
12,13.27,116454268,8776416.31,21094720,1872595,188671,123241,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.13,1197551,9429535.43,194749,15452,1024,7,27.82,C7
8,0.05,522142,9669296.30,116825,8223,443,1,-29.47,B5
10,1.46,13713065,9366847.68,2162028,179803,16089,1036,25.13,E3
10,0.80,7379288,9224110.00,1915510,145814,8118,651,-24.02,C4
12,14.92,134483206,9015432.46,21448833,1852024,187542,119869,25.81,C7
12,5.89,53776614,9131705.55,14258797,1052505,86673,37053,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.10,934699,9441404.04,178275,14443,1155,5,23.04,F3
8,0.15,1490501,9741836.60,316323,22521,1358,21,-24.37,H4
10,1.13,10220669,9044839.82,1940519,167489,14691,918,21.16,F3
10,1.29,11887697,9193887.86,2868115,227571,16477,1702,-22.74,C5
12,11.08,99783406,9002472.57,19042821,1569825,143813,84015,22.32,F6
12,8.39,74165554,8840809.87,20956402,1645942,141397,93513,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.07,661289,9724838.24,171379,13503,800,7,-6.53,D6
8,0.04,378743,8607795.45,72371,6938,358,1,4.22,D3
10,0.52,4658698,8993625.48,1415398,124243,9019,507,-6.29,D6
10,0.39,3378210,8774571.43,675511,70815,4771,161,6.27,F8
12,3.83,33202992,8669188.51,11586817,1067510,90669,38041,-6.76,D6
12,3.07,25283904,8238482.89,5138573,579709,46392,11120,5.67,F8

