探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
8,0.08,604395,7370670.73,147934,12115,461,5,2.00,F6
8,0.14,1049268,7337538.46,215024,18367,536,4,-3.75,G5
10,0.83,5699919,6892284.16,1480561,137251,8336,603,0.92,F6
10,1.34,9242222,6917830.84,2127746,190914,11381,1217,-2.63,D3
12,6.40,45237043,7066079.82,12297203,1204581,97263,49061,0.75,F6
12,9.80,67267705,6863351.19,17322852,1663052,135960,95693,-2.30,F7

E6F6G6F4F3F2C4C3G2E3
8,0.13,904491,6957623.08,195591,13002,512,7,-25.77,F5
8,0.35,2570941,7324618.23,403762,29263,1721,37,26.96,G3
10,1.14,8645664,7603926.12,2054255,146512,8839,660,-24.44,F5
10,3.04,22200196,7312317.52,3715290,300212,24477,3013,25.00,G3
12,12.59,93919165,7461007.71,23676367,1682600,146231,96932,-23.44,F5
12,31.84,228576711,7178465.89,38780011,3001870,309315,333255,23.57,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
8,0.12,834314,6895157.02,223729,20269,1035,10,20.84,E6
8,0.07,466215,7063863.64,205252,20302,1664,10,-19.76,F8
10,0.81,5344761,6623000.00,1639038,186935,18852,1155,22.36,E6
10,0.50,3151846,6291109.78,1405705,169448,18842,949,-20.06,F8
12,5.45,34878196,6398494.96,11577604,1398701,193049,69957,25.11,E6
12,3.41,21616082,6333455.02,9969348,1272809,150924,56379,-25.37,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
8,0.16,1110018,6937612.50,307022,25425,3540,25,10.16,D3
8,0.21,1397132,6782194.17,278160,29873,2911,24,-9.70,B2
10,1.01,6795611,6708401.78,2267646,239388,33790,1934,7.10,D3
10,1.48,9596813,6493107.58,1937522,268995,31016,2363,-7.35,F7
12,8.30,54225414,6532395.37,18561054,1958695,304860,141333,7.91,D3
12,10.52,66391097,6312740.99,14303618,2048395,261437,152656,-6.61,A6

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
8,0.00,5800,5800000.00,1990,1233,77,0,5.80,H5
8,0.00,3829,inf,1064,887,87,0,-5.30,A8
10,0.00,5402,5402000.00,1825,2293,116,0,65.00,F8
9,0.00,4121,4121000.00,1246,1496,136,0,-5.00,A8
10,0.00,8267,4133500.00,2558,3255,224,0,5.00,F8
9,0.00,4121,4121000.00,1246,1496,136,0,-5.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
8,0.00,9057,9057000.00,3637,1701,316,0,-7.07,G3
8,0.00,5227,5227000.00,1898,1282,199,0,13.72,A4
10,0.00,8994,4497000.00,2839,3651,503,1,-65.00,H8
9,0.00,4162,4162000.00,1325,1622,249,0,11.00,E8
10,0.00,11609,5804500.00,3536,4588,647,1,-11.00,H8
9,0.00,4162,4162000.00,1325,1622,249,0,11.00,E8

