探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
8,0.08,605255,7472283.95,147891,12110,487,5,2.00,F6
8,0.14,1054562,7532585.71,216038,18367,671,4,-3.75,G5
10,0.78,5692877,7326740.03,1475996,137190,7887,598,0.92,F6
10,1.22,8861819,7269744.87,2039274,191039,11510,1209,-2.63,D3
12,6.21,44588841,7185953.42,12211190,1203869,89914,48796,0.75,F6
12,9.54,67868946,7111163.66,16943407,1664636,137470,96128,-2.30,F7

E6F6G6F4F3F2C4C3G2E3
8,0.12,970663,7891569.11,207778,13002,529,7,-25.77,F5
8,0.44,3320973,7582130.14,512096,29263,1900,39,26.96,G3
10,1.20,9201729,7674502.92,2165158,146441,8724,659,-24.44,F5
10,3.74,28195938,7537005.61,4559077,300219,25180,3020,25.00,G3
12,13.60,102749624,7556230.62,25349526,1682581,144586,97671,-23.44,F5
12,36.83,271643657,7375408.13,44862271,3002643,315911,333918,23.57,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
8,0.09,622023,6989022.47,171826,20269,1085,9,20.84,E6
8,0.06,404843,7102508.77,179368,20302,1530,9,-19.76,F8
10,0.71,4684884,6579893.26,1440851,186812,18720,1153,22.36,E6
10,0.44,2895714,6536600.45,1291119,169446,17634,938,-20.06,F8
12,4.77,30104959,6307345.28,10055774,1398622,190408,69798,25.11,E6
12,3.03,19156205,6313844.76,8844923,1272240,146641,56203,-25.37,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
8,0.13,935421,7140618.32,273823,25442,3507,25,10.16,D3
8,0.20,1341319,6878558.97,262378,29903,3154,24,-9.70,B2
10,1.00,6750551,6723656.37,2242155,238675,32762,1899,7.10,D3
10,1.46,9591819,6587787.77,1937206,268273,32044,2322,-7.35,F7
12,7.52,49139192,6537944.65,17509185,1954896,283172,139769,7.91,D3
12,10.08,63560520,6303731.03,13462788,2040392,263786,150540,-6.61,A6

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
8,0.00,5833,5833000.00,2006,1233,73,0,5.80,H5
8,0.00,3819,inf,1075,887,93,0,-5.30,A8
10,0.00,5423,5423000.00,1841,2293,116,0,65.00,H5
9,0.00,4023,inf,940,1320,122,0,-5.00,A8
10,0.00,8313,4156500.00,2599,3255,231,0,5.00,H5
9,0.00,4023,inf,940,1320,122,0,-5.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
8,0.00,8494,4247000.00,3524,1695,331,0,-7.07,B1
8,0.00,5853,5853000.00,2093,1358,305,0,10.16,A4
10,0.00,9011,4505500.00,2856,3651,513,1,-65.00,B1
9,0.00,6385,6385000.00,1931,2188,434,0,11.00,A4
10,0.00,11694,3898000.00,3594,4576,685,1,-11.00,B1
9,0.00,6385,6385000.00,1931,2188,434,0,11.00,A4

