探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
8,0.08,638792,7984900.00,151817,12115,472,5,2.00,F6
8,0.12,953859,7754951.22,205497,18367,557,4,-3.75,G5
10,0.77,5698433,7371840.88,1477735,137254,7767,601,0.92,F6
10,1.23,9187374,7463342.00,2110486,191030,11494,1218,-2.63,D3
12,6.34,44557799,7032480.90,12199128,1204683,90194,48774,0.75,F6
12,10.45,66315268,6347173.43,17059215,1663755,130117,95843,-2.30,F7

E6F6G6F4F3F2C4C3G2E3
8,0.12,904346,7412672.13,195588,13002,505,7,-25.77,F5
8,0.37,2571923,6932407.01,403961,29263,1725,36,26.96,G3
10,1.21,8643237,7172810.79,2053794,146513,8758,663,-24.44,F5
10,3.11,22231903,7157727.95,3719330,300246,25133,3031,25.00,G3
12,12.63,92693721,7337427.45,23444876,1682650,145944,97010,-23.44,F5
12,34.21,227471109,6649646.54,38552934,3001974,313967,336607,23.57,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
8,0.13,834309,6417761.54,223765,20268,1059,10,20.84,E6
8,0.08,465918,6050883.12,205131,20302,1634,10,-19.76,F8
10,0.91,5275292,5797024.18,1620211,186921,18824,1163,22.36,E6
10,0.53,3148983,5930288.14,1404756,169448,18511,932,-20.06,F8
12,5.91,34706306,5870484.78,11482342,1398504,191817,70103,25.11,E6
12,3.80,21555260,5670944.49,9941073,1272826,151171,56192,-25.37,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
8,0.18,1173084,6481127.07,326334,25425,3446,25,10.16,D3
8,0.23,1487285,6494694.32,294006,29866,3106,25,-9.70,B2
10,1.28,7891268,6155435.26,2478135,239383,34518,1938,7.10,D3
10,1.76,10732685,6087739.65,2251670,269037,32844,2367,-7.35,F7
12,9.51,55369896,5819833.51,18774134,1958708,301562,140826,7.91,D3
12,11.39,66146153,5806878.50,14236607,2043979,266512,151898,-6.61,F7

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
8,0.00,5806,5806000.00,1996,1233,77,0,5.80,H5
8,0.00,3850,3850000.00,1053,887,93,0,-5.30,A8
10,0.00,5415,5415000.00,1817,2293,116,0,65.00,F8
9,0.00,4100,4100000.00,1235,1493,129,0,-4.00,E8
10,0.00,8231,4115500.00,2553,3247,224,0,4.00,F8
9,0.00,4100,4100000.00,1235,1493,129,0,-4.00,E8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
8,0.00,9042,3014000.00,3631,1701,309,0,-7.07,G3
8,0.00,5203,5203000.00,1889,1283,188,0,13.72,A4
10,0.00,9001,3000333.33,2846,3651,503,1,-65.00,H8
9,0.00,4170,4170000.00,1321,1632,239,0,10.00,E8
10,0.00,11632,3877333.33,3546,4598,638,1,-10.00,H8
9,0.00,4170,4170000.00,1321,1632,239,0,10.00,E8

