探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
8,0.01,124525,8301666.67,668,2627,1157,20,0,35609,1.33,C5
8,0.01,115415,8243928.57,468,1718,516,22,0,19778,1.93,H3
10,0.15,1290188,8544291.39,2089,25526,12438,63,7,393007,5.62,C5
10,0.08,665092,8013156.63,1086,11210,2811,31,0,116224,-2.39,H3
12,1.07,9081771,8519484.99,4001,195093,91990,1213,420,2967685,7.33,C5
12,0.70,5537045,7887528.49,2581,98793,24340,358,37,968968,-7.95,H3

F5F6E6F4E3D2C3D3D1C2G6C1G5F7G7
8,0.03,235590,8413928.57,257,3667,514,18,0,43137,25.48,E1
8,0.01,91933,8357545.45,633,2407,503,24,0,26068,-21.94,F3
10,0.26,2083627,8044891.89,1124,40449,5915,86,2,420989,22.89,E1
10,0.09,739205,8034836.96,1198,25381,4718,56,1,247086,-22.66,F3
12,2.07,16349037,7894271.85,2240,340373,69332,3520,269,3254371,22.99,E1
12,0.70,5530287,7923047.28,2431,227463,43967,1574,119,2049843,-21.07,F3

D3E3F2C2D2C6E6F7B1E2F3C3F1D1B3
8,0.02,204789,8532875.00,1287,1917,537,17,0,32082,2.12,F4
8,0.04,330517,8474794.87,2579,3506,2042,18,0,69563,1.23,C5
10,0.16,1399482,8585779.14,3191,14946,4676,33,0,256295,2.49,F4
10,0.27,2218538,8156389.71,3938,28960,18660,40,9,533914,1.13,C5
12,0.92,7953329,8616824.49,4323,118578,33572,461,63,1726244,0.60,F4
12,1.82,15357186,8438014.29,6759,231624,175858,1682,912,4060332,-1.23,C5

C4E3F3G3F6C5C6G7G2B5G4C3E2B7B4
8,0.04,337522,8654410.26,1978,4685,2362,22,0,74060,-3.11,D3
8,0.06,518730,8645500.00,1763,7057,3046,22,1,131631,5.44,C2
10,0.35,3027712,8528766.20,4180,59615,24108,154,38,800075,-6.58,D3
10,0.62,5381815,8638547.35,6390,82096,38006,250,69,1456315,6.02,C2
12,2.62,21741433,8314123.52,7400,450495,196146,6010,2027,5711934,-5.47,D3
12,5.34,46163471,8636757.90,13427,743289,357856,16112,5794,12672682,6.62,C2

F5F4C3E6F3G4G6C4H3H7C5B3F6G2E3
8,0.03,253687,8747827.59,1358,5786,2742,36,1,88494,-28.09,F7
8,0.06,550032,8594250.00,714,6768,2004,28,1,89536,29.98,G5
10,0.32,2876577,8878324.07,3760,75672,28906,255,49,1056849,-30.65,F7
10,0.60,5009806,8377602.01,949,62680,17681,148,21,802603,31.82,G5
12,4.31,38419057,8905669.22,8693,1176025,340576,40211,8666,15575300,-30.79,G5
12,11.30,93538217,8274057.23,10068,1342702,329839,52909,8377,16418689,29.63,H4

D3C3F5D6C4D2E6F6E7F4C2D7E1D1F3
8,0.02,165585,7885000.00,507,3697,1315,32,0,37489,-1.12,F1
8,0.01,110928,7923428.57,454,2735,497,18,0,28490,-3.56,E3
10,0.16,1268420,7781717.79,1313,28655,10907,70,8,293518,0.53,F1
10,0.10,823246,7840438.10,619,21537,4421,39,1,224521,-2.22,E3
12,0.97,7425427,7647195.67,2469,178848,81663,1062,273,1730473,0.38,F1
12,0.80,6295279,7859274.66,844,177364,33205,958,65,1786827,-0.57,E3

E6F4G3F6D3H2E3D2G4C5F3G5H4D6D1
8,0.01,79775,8863888.89,519,1826,362,20,0,27223,-21.49,C1
8,0.04,391736,8705244.44,1142,3340,1476,16,0,55406,20.73,F5
10,0.09,805775,8953055.56,1404,20172,4739,37,0,297085,-21.28,C1
10,0.26,2113087,8222128.40,2348,25632,9274,32,3,322239,21.77,F5
12,0.55,5043593,9103958.48,2075,152891,29392,707,58,2017814,-22.13,C1
12,1.63,13108214,8066593.23,3283,207114,60859,1293,152,2128477,23.82,F5

E6F6D3E7F5G4E8C2H3C6G6G5B1C3C4
8,0.01,128116,8541066.67,1122,1949,723,24,0,22316,24.30,D8
8,0.00,38982,9745500.00,321,1114,405,32,0,12791,-24.33,C8
10,0.11,890992,7955285.71,1595,15029,3508,40,0,162693,24.49,D8
10,0.03,260997,8699900.00,765,7768,1966,44,0,89715,-23.96,C8
12,0.84,6775016,8055904.88,3112,119013,28113,466,44,1251684,24.27,D8
12,0.22,1924072,8628125.56,1475,63482,16897,207,23,706804,-25.69,C8

F5F6C4F4G6G5G7E7H5H6G3C5D6C3G4
8,0.02,148366,7808736.84,227,3935,609,21,0,37012,16.46,E6
8,0.04,340983,8316658.54,1158,8726,2185,49,2,91902,-15.50,F7
10,0.16,1249540,7761118.01,1107,40275,9307,108,10,349580,17.82,E6
10,0.24,1891504,7881266.67,3218,56110,18988,213,18,526185,-15.82,C6
12,0.90,6595545,7320249.72,2337,244555,62615,1914,216,1907817,18.84,E6
12,1.75,11727143,6712732.11,4879,433790,119352,5831,746,3501590,-18.69,C6

C4C3D3E3F4C5E2F1C6F3D2E6F6F2G2
8,0.06,460160,7933793.10,727,5066,944,24,0,65572,26.42,G1
8,0.04,291312,8323200.00,1556,6678,2709,37,0,101730,-25.92,E7
10,0.52,4087924,7861392.31,1801,50603,9493,127,6,605954,26.40,G1
10,0.16,1374891,8434914.11,1897,37762,7992,81,5,519264,-25.47,D6
12,4.97,39180829,7877126.86,3114,540309,101944,8715,697,5986095,28.24,G1
12,1.63,13369908,8217521.82,6562,413356,101624,5122,765,5306178,-25.12,D6

