探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
8,0.02,147227,8660411.76,5907,2911,946,15,0,33651,1.33,C5
8,0.02,127128,7945500.00,4001,1886,434,15,0,15896,1.93,H3
10,0.11,901718,8427271.03,20705,20436,5127,33,3,238414,5.62,C5
10,0.09,759864,8083659.57,29813,12610,1405,19,0,71461,-2.39,H3
12,1.01,8610279,8499781.84,88956,222175,75115,1516,428,2818637,7.33,C5
12,0.74,5973328,8028666.67,217978,107852,14713,411,51,611981,-7.95,H3

F5F6E6F4E3D2C3D3D1C2G6C1G5F7G7
8,0.03,251690,8389666.67,15558,4026,346,13,0,18657,25.48,E1
8,0.01,96570,8779090.91,7544,2507,271,13,0,15122,-21.94,F3
10,0.36,2994601,8364807.26,102464,56749,10077,96,6,428898,22.89,E1
10,0.12,949441,8256008.70,33713,31684,4395,44,3,248612,-22.66,F3
12,3.42,26903271,7871056.47,656491,566375,114262,9546,1916,4420904,22.99,E1
12,0.90,7122095,7922241.38,154223,275603,36460,2284,310,2247165,-21.07,F3

D3E3F2C2D2C6E6F7B1E2F3C3F1D1B3
8,0.03,256737,8557900.00,7659,2729,1027,18,0,35265,2.12,F4
8,0.03,240977,8606321.43,7567,3279,623,15,0,37604,1.23,C5
10,0.17,1460910,8543333.33,32130,21051,5848,34,1,244877,2.49,F4
10,0.20,1760066,8585687.80,28224,27437,5308,38,3,320970,1.13,C5
12,1.21,10266827,8463995.88,109006,179118,59009,1033,289,2123078,0.60,F4
12,1.28,10396908,8135295.77,146467,209301,42929,1333,178,2137484,-1.23,C5

C4E3F3G3F6C5C6G7G2B5G4C3E2B7B4
8,0.05,425397,8681571.43,11113,5562,1824,14,0,70543,-3.11,D3
8,0.07,600703,8581471.43,16455,8481,1824,17,1,113195,5.44,C2
10,0.72,6114919,8446020.72,67612,95776,29911,315,77,1290680,-6.58,D3
10,0.62,5398143,8650870.19,82809,89470,14768,286,40,1151714,6.02,C2
12,5.85,49686997,8499315.26,284245,906148,197087,24150,4868,11233158,-5.47,D3
12,7.51,64325817,8560795.45,645090,1055417,203379,32456,6244,13892916,6.62,C2

F5F4C3E6F3G4G6C4H3H7C5B3F6G2E3
8,0.03,305136,8974588.24,10559,6369,1830,18,1,79347,-28.09,F7
8,0.08,683277,8649075.95,18878,7895,1554,16,0,77032,29.98,G5
10,0.43,3786929,8806811.63,59731,93389,23309,291,69,1161462,-30.65,F7
10,0.84,7133122,8512078.76,131119,89923,16418,287,42,872376,31.82,G5
12,4.72,41654804,8830783.12,302661,1236090,216291,44470,6759,15147911,-30.79,G5
12,15.07,125650428,8338892.22,1070598,1777678,367371,91348,17396,19896736,29.63,H4

D3C3F5D6C4D2E6F6E7F4C2D7E1D1F3
8,0.02,136721,8545062.50,6095,3406,532,13,0,21107,-1.12,F1
8,0.02,142344,8373176.47,6967,3352,422,14,0,26384,-3.56,E3
10,0.12,985548,8145024.79,35062,26758,3516,47,1,169708,0.53,F1
10,0.10,791394,8158701.03,35555,23896,3539,40,1,171249,-2.22,E3
12,0.85,6755331,7947448.24,193012,195027,27837,1295,126,1275335,0.38,F1
12,0.71,5712290,8022879.21,193080,195585,25585,1185,109,1453429,-0.57,E3

E6F4G3F6D3H2E3D2G4C5F3G5H4D6D1
8,0.02,164700,9150000.00,7569,3246,1228,17,1,44644,-21.49,C1
8,0.06,524873,8604475.41,12873,4699,1593,16,0,50678,20.73,F5
10,0.08,736190,8977926.83,18582,20444,4232,37,2,240181,-21.28,C1
10,0.35,2880040,8323815.03,78718,37046,10636,61,15,287764,21.77,F5
12,0.64,5628985,8836711.15,39916,197650,35212,1222,200,2166863,-22.13,C1
12,2.65,20895090,7890895.02,332497,333667,75019,3380,728,2644678,23.82,F5

E6F6D3E7F5G4E8C2H3C6G6G5B1C3C4
8,0.01,118147,8439071.43,3527,1866,175,14,0,15134,24.30,D8
8,0.00,33520,8380000.00,1288,1091,218,12,0,9514,-24.33,C8
10,0.12,976653,8138775.00,23867,16438,1692,18,0,133932,24.49,D8
10,0.03,226632,8716615.38,4589,8311,1172,17,0,75505,-23.96,C8
12,1.06,8373410,7929365.53,153745,147366,18814,667,57,1238538,24.27,D8
12,0.13,1141616,8583578.95,14419,50311,3550,98,3,423375,-25.69,C8

F5F6C4F4G6G5G7E7H5H6G3C5D6C3G4
8,0.02,161367,8068350.00,8100,4426,312,14,0,26970,16.46,E6
8,0.05,441827,8496673.08,14855,10328,2444,22,1,93981,-15.50,F7
10,0.18,1391559,7906585.23,52705,45279,8260,84,11,300966,17.82,E6
10,0.24,1970702,8043681.63,60582,59581,11517,136,16,427347,-15.82,C6
12,1.28,9378510,7332689.60,228791,347263,65474,3680,598,2305305,18.84,E6
12,2.08,15934364,7649718.67,321512,539941,93643,8702,1453,3895190,-18.69,C6

C4C3D3E3F4C5E2F1C6F3D2E6F6F2G2
8,0.07,614505,8534791.67,22959,6250,1348,17,0,47064,26.42,G1
8,0.04,344567,8835051.28,10795,7630,1204,17,1,97027,-25.92,E7
10,0.65,5376235,8245759.20,178600,65239,13690,155,28,478663,26.40,G1
10,0.23,1945540,8458869.57,33490,48209,8478,100,11,586545,-25.47,D6
12,5.17,41826861,8090301.93,1335155,584278,88906,10178,1368,3922203,28.24,G1
12,2.09,18292446,8764947.77,226855,534584,110028,8560,1456,6169546,-25.12,D6

E6F4E3D6C4D2F5B4D3F7C6C3D7D8G8
8,0.01,103876,8656333.33,5266,3084,691,13,0,27660,-5.20,F3
8,0.04,306274,8507611.11,11979,4874,586,13,1,30276,6.92,E2
10,0.14,1230754,8728751.77,31195,43286,8871,76,9,436615,-3.72,F6
10,0.16,1357847,8433832.30,55543,22316,4217,30,1,118743,8.29,E7
