探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
8,0.02,141176,6417090.91,858,2917,1206,27,0,41004,1.33,C5
8,0.02,109115,6819687.50,439,1745,427,20,0,19029,1.93,H3
10,0.12,876062,7300516.67,1909,20861,7956,60,6,278441,5.62,C5
10,0.11,734477,6616909.91,1125,12648,1613,32,0,122396,-2.39,H3
12,1.28,8569238,6699951.52,9842,220962,102401,1544,676,3035152,7.33,C5
12,0.84,5442091,6478679.76,1465,104446,12511,378,39,926729,-7.95,H3

F5F6E6F4E3D2C3D3D1C2G6C1G5F7G7
8,0.03,208841,7201413.79,236,3841,203,18,0,39066,25.48,E1
8,0.01,83324,7574909.09,673,2447,215,22,0,23523,-21.94,F3
10,0.26,1725846,6768023.53,147,38548,1737,59,1,358148,22.89,E1
10,0.09,643227,6991597.83,131,25995,1794,41,0,224739,-22.66,F3
12,2.34,15521685,6644556.93,1381,365862,33269,4021,219,3219391,22.99,E1
12,0.76,5195566,6845278.00,1501,229991,18630,1601,97,1958502,-21.07,F3

D3E3F2C2D2C6E6F7B1E2F3C3F1D1B3
8,0.03,216472,7464551.72,1629,2484,805,20,0,37948,2.12,F4
8,0.03,235304,7590451.61,1429,3355,915,17,0,48939,1.23,C5
10,0.16,1061926,6807217.95,2695,18388,3492,40,0,218674,2.49,F4
10,0.25,1739998,7073162.60,2676,27991,6704,49,5,372248,1.13,C5
12,1.07,7485152,6988937.44,7995,154092,41922,798,145,1751967,0.60,F4
12,1.43,9991569,7011627.37,7224,209464,45662,1343,178,2360354,-1.23,C5

C4E3F3G3F6C5C6G7G2B5G4C3E2B7B4
8,0.05,359449,6912480.77,2183,5232,1826,29,0,77044,-3.11,D3
8,0.07,504417,7310391.30,1705,7908,2625,25,1,128662,5.44,C2
10,0.49,3505618,7213205.76,8317,66612,20266,235,30,866677,-6.58,D3
10,0.65,4708334,7277177.74,6926,86761,20715,281,48,1240884,6.02,C2
12,4.63,33245562,7177366.58,17281,695333,140210,14355,2630,8439552,-5.47,D3
12,6.11,43810367,7172620.66,25684,854690,201325,21553,3668,11643848,6.62,C2

F5F4C3E6F3G4G6C4H3H7C5B3F6G2E3
8,0.04,276276,7893600.00,1411,6491,2328,38,1,92713,-28.09,F7
8,0.08,561951,7024387.50,768,7138,1580,22,1,91599,29.98,G5
10,0.39,2917299,7557769.43,3886,81105,18486,244,36,1032367,-30.65,F7
10,0.84,5941475,7107027.51,1976,78430,14613,231,28,940994,31.82,G5
12,5.46,40493170,7417690.05,26919,1256976,270889,45948,9499,15768930,-30.79,G5
12,13.69,94690435,6917769.94,44843,1431735,262345,59784,8614,16829119,29.63,H4

D3C3F5D6C4D2E6F6E7F4C2D7E1D1F3
8,0.02,139209,6960450.00,429,3435,955,29,0,31950,-1.12,F1
8,0.02,118674,7417125.00,330,3157,329,17,0,33351,-3.56,E3
10,0.15,994004,6454571.43,1179,27667,5468,58,3,235301,0.53,F1
10,0.11,729209,6815037.38,1171,23553,3262,38,0,222576,-2.22,E3
12,1.02,6650250,6500733.14,4160,199581,37064,1269,195,1604553,0.38,F1
12,0.81,5437059,6720715.70,951,193572,23988,1140,90,1744498,-0.57,E3

E6F4G3F6D3H2E3D2G4C5F3G5H4D6D1
8,0.02,127400,7494117.65,921,2902,837,21,0,42992,-21.49,C1
8,0.05,361158,7223160.00,603,3670,872,17,0,52684,20.73,F5
10,0.08,604981,7288927.71,2574,19188,2909,45,1,226883,-21.28,C1
10,0.27,1895005,7044628.25,915,28725,3824,44,3,290035,21.77,F5
12,0.67,4911297,7286790.80,8313,185497,28164,1086,126,2004499,-22.13,C1
12,1.90,12804937,6732353.84,1864,236161,25984,1736,139,2035766,23.82,F5

E6F6D3E7F5G4E8C2H3C6G6G5B1C3C4
8,0.01,114163,7610866.67,458,1866,238,20,0,19632,24.30,D8
8,0.00,32350,8087500.00,603,1101,219,17,0,10284,-24.33,C8
10,0.13,938940,7222615.38,1398,16378,1779,29,0,167730,24.49,D8
10,0.03,219372,7076516.13,1457,8296,1143,23,0,78810,-23.96,C8
12,1.18,7989646,6765153.26,4198,144384,17547,669,40,1437474,24.27,D8
12,0.14,1016863,7263307.14,592,48184,2407,96,0,411939,-25.69,C8

F5F6C4F4G6G5G7E7H5H6G3C5D6C3G4
8,0.02,135215,6146136.36,491,4092,161,22,0,34581,16.46,E6
8,0.05,344879,7038346.94,1181,9443,2324,40,0,95521,-15.50,F7
10,0.16,1090843,6775422.36,4816,39629,5009,119,2,308338,17.82,E6
10,0.22,1508123,6732691.96,2305,53474,9654,158,9,434376,-15.82,C6
12,1.12,6998832,6243382.69,3218,291742,38561,2647,198,2094827,18.84,E6
12,1.83,11678013,6381427.87,6981,467896,63093,6564,607,3474858,-18.69,C6

C4C3D3E3F4C5E2F1C6F3D2E6F6F2G2
8,0.07,477603,7128402.99,844,5481,736,23,0,68113,26.42,G1
8,0.04,337872,7678909.09,2274,7810,1907,41,1,111255,-25.92,E7
10,0.59,4140770,7054122.66,2244,55669,7094,132,8,622407,26.40,G1
10,0.22,1634226,7565861.11,4615,44950,7077,105,5,566715,-25.47,D6
12,4.74,32391281,6837931.39,9100,493930,41223,7331,441,4949178,28.24,G1
12,2.08,15186557,7287215.45,48130,484596,94635,7041,1013,5655943,-25.12,D6

E6F4E3D6C4D2F5B4D3F7C6C3D7D8G8
8,0.01,94098,7841500.00,456,3046,647,30,0,32806,-5.20,F3
8,0.04,287040,7000975.61,386,4886,863,25,1,49474,6.92,E2
10,0.16,1187709,7423181.25,2160,42315,12340,115,15,472203,-3.72,F6
10,0.18,1314797,7224159.34,854,21662,3894,45,0,209638,8.29,E7
12,1.23,9319328,7564389.61,3268,365457,41083,4009,382,3978348,-6.24,F3
12,2.99,20733782,6927424.66,1942,353379,25987,3751,232,3375161,6.56,C5

E6F6D3C3C4D6F7E7C2B3B5E3E2C5C6
8,0.08,538015,6897628.21,1286,6309,903,40,0,89695,2.90,B4
8,0.11,788168,7435547.17,2646,14126,6523,52,0,228304,-3.61,D7
10,0.73,5308658,7232504.09,2843,74904,13487,240,20,924266,1.86,B4
10,0.82,5946892,7287857.84,9525,133445,49414,623,189,1850999,-5.31,D7
12,7.02,48657975,6929361.29,43988,799219,150299,18830,2550,8722499,3.87,B4
12,7.03,49033274,6973869.15,16280,1391315,493021,56356,23715,16912976,-5.15,D7

F5F6C4E3F2B4B3D6D3B2E6D2G7F3C6
8,0.05,414230,7670925.93,869,6110,1499,16,0,93743,1.05,F4
8,0.09,682165,7579611.11,3616,7531,2419,33,0,130097,0.64,C3
10,0.62,4505367,7243355.31,7424,73815,21981,175,38,1064245,-0.52,F4
10,0.82,5978963,7309245.72,10250,84580,27847,275,64,1281745,-0.15,C3
12,5.80,40872639,7051870.08,17591,790958,181181,18359,3745,10162506,-0.07,F4
12,7.08,50852581,7186628.18,35194,831128,189162,20638,3801,11309686,1.68,C3

E6F4E3F6D3C5B6D6D7E2G7C7E7A5F1
