探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.02,141115,7055750.00,318,0,0,0,383,0,0,0,0,7,0,-12.20,F4
8,0.06,417709,7459089.29,1930,0,0,0,2130,0,0,0,0,9,0,9.49,B5
8,0.05,365011,7300220.00,620,0,0,0,552,0,0,0,0,9,0,-7.51,D1
8,0.05,371205,7424100.00,1651,0,0,0,2045,0,0,0,0,20,0,7.62,E1
8,0.09,702702,7555935.48,3399,0,0,0,4697,0,0,0,0,32,0,-7.14,C6
8,0.08,548894,7128493.51,1940,0,0,0,4158,0,0,0,0,32,0,6.69,B6
8,0.13,925970,7122846.15,5405,0,0,0,5792,0,0,0,0,30,0,-7.53,E2
8,0.08,559014,7166846.15,2870,0,0,0,3530,0,0,0,0,11,0,7.04,B3
8,0.05,342343,6986591.84,1425,0,0,0,3358,0,0,0,0,15,0,-7.48,E6
8,0.04,244204,6783444.44,525,0,0,0,502,0,0,0,0,8,0,6.56,C3
8,0.06,401053,7161660.71,1381,0,0,0,3791,0,0,0,0,21,0,-5.45,D7
8,0.06,428155,6796111.11,1404,0,0,0,1975,0,0,0,0,15,0,2.81,E8
8,0.03,183223,6543678.57,892,0,0,0,1071,0,0,0,0,7,0,-5.14,B1
8,0.03,167821,6712840.00,761,0,0,0,795,0,0,0,0,12,0,4.22,A1
8,0.02,127043,6049666.67,550,0,0,0,1231,0,0,0,0,15,0,-2.32,C4
8,0.04,240861,6509756.76,900,0,0,0,2170,0,0,0,0,14,0,5.95,F1
10,0.22,1581300,7155203.62,1161,0,0,0,2721,0,0,0,0,9,0,-9.06,F4
10,0.39,2791046,7083873.10,3144,0,0,0,15706,0,0,0,0,11,0,6.34,B5
10,0.55,3946613,7228228.94,4084,0,0,0,10306,0,0,0,0,19,0,-7.14,C6
10,0.66,4803360,7322195.12,4796,0,0,0,38228,0,0,0,0,31,0,6.69,B6
10,0.63,4497656,7127822.50,2393,0,0,0,10629,0,0,0,0,23,0,-7.53,D1
10,0.47,3335522,7157772.53,4108,0,0,0,22517,0,0,0,0,33,0,7.04,E1
10,0.94,6570496,7012268.94,13042,0,0,0,43270,0,0,0,0,42,0,-7.48,E2
10,0.56,3937003,7017830.66,6766,0,0,0,27221,0,0,0,0,28,0,6.56,B3
10,0.35,2424265,6867606.23,3821,0,0,0,17919,0,0,0,0,40,0,-5.45,E6
10,0.35,2394508,6880770.11,994,0,0,0,4551,0,0,0,0,9,0,2.81,C3
10,0.32,2193940,6877554.86,3240,0,0,0,17344,0,0,0,0,32,0,-5.14,D7
10,0.39,2599259,6751322.08,2203,0,0,0,11899,0,0,0,0,21,0,3.98,E8
10,0.25,1626559,6532365.46,1737,0,0,0,6046,0,0,0,0,16,0,-3.10,B1
10,0.14,871586,6361941.61,1189,0,0,0,3553,0,0,0,0,9,0,5.95,A1
10,0.22,1415505,6405000.00,2394,0,0,0,7545,0,0,0,0,29,0,-0.64,C4
10,0.14,888795,6440543.48,2840,0,0,0,9837,0,0,0,0,23,0,3.70,F1
12,1.78,12351773,6954827.14,4620,0,0,0,35213,0,0,0,0,23,0,-7.77,F4
12,2.96,21269411,7173494.44,9610,0,0,0,124571,0,0,0,0,19,0,6.51,B5
12,5.00,35119280,7026666.67,15516,0,0,0,139565,0,0,0,0,48,0,-5.12,D7
12,2.92,20474684,7011878.08,11650,0,0,0,169710,0,0,0,0,63,0,3.61,B3
12,2.25,15314366,6797321.79,3333,0,0,0,37305,0,0,0,0,26,0,-6.35,D1
12,2.31,16148251,6990584.85,7261,0,0,0,120852,0,0,0,0,47,0,2.83,E1
12,3.56,23398000,6566937.97,15711,0,0,0,186387,0,0,0,0,76,0,-4.03,A5
12,1.56,10784876,6895700.77,4480,0,0,0,30234,0,0,0,0,20,0,0.14,C3
12,2.04,13551537,6652693.67,3026,0,0,0,130424,0,0,0,0,39,0,-2.85,F5
12,3.13,20661221,6611590.72,3328,0,0,0,64759,0,0,0,0,35,0,0.11,E6
12,2.73,16555257,6073095.01,7749,0,0,0,146709,0,0,0,0,54,0,-2.62,C4
12,2.54,17084677,6739517.55,5026,0,0,0,109777,0,0,0,0,43,0,-0.27,A6
12,1.34,8393160,6272914.80,3183,0,0,0,70756,0,0,0,0,34,0,-2.91,A7
12,2.20,12832899,5835788.54,2148,0,0,0,101136,0,0,0,0,29,0,1.37,C6
12,1.85,11285277,6083707.28,4553,0,0,0,134550,0,0,0,0,52,0,-4.31,F2
12,2.28,14216161,6235158.33,4108,0,0,0,93149,0,0,0,0,33,0,3.02,F3

E6F6F5D6C4G4G7B3F4G3
8,0.06,415008,7410857.14,2236,0,0,0,2329,0,0,0,0,22,0,-7.86,F3
8,0.07,544617,7564125.00,2417,0,0,0,7355,0,0,0,0,28,0,7.25,G6
