探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.02,141115,6719761.90,318,2322,384,0,0,0,11,10,0,0,0,-12.20,F4
8,0.06,419900,7239655.17,1930,6214,2201,0,0,0,101,11,0,0,0,9.49,B5
8,0.05,337035,7170957.45,821,6474,1019,0,0,0,40,20,0,0,0,-7.51,C6
8,0.07,463129,7125061.54,1615,12715,4753,0,2,0,180,34,0,0,0,7.04,D7
8,0.05,349542,6990840.00,903,10789,1707,0,0,0,65,34,0,0,0,-6.22,D1
8,0.03,211040,7277241.38,471,15781,5372,0,2,0,196,48,0,0,0,5.76,E1
8,0.03,204737,6824566.67,135,14073,2409,0,1,0,69,48,0,0,0,-5.53,E2
8,0.03,199916,6448903.23,688,18247,5942,0,2,0,224,60,0,0,0,5.36,B3
8,0.04,284743,6621930.23,556,18892,4563,0,3,0,114,59,0,0,0,-6.25,E6
8,0.04,253124,6841189.19,309,21603,6415,0,3,1,230,72,0,0,0,5.24,C3
8,0.02,140668,6394000.00,397,21847,5211,0,4,0,140,70,0,0,0,-4.69,D8
8,0.05,317885,6910543.48,1257,27205,8225,0,5,1,278,86,0,0,0,3.72,F5
8,0.02,112931,6643000.00,217,24890,5839,0,5,0,151,81,0,0,0,-4.86,C4
8,0.04,254128,6516102.56,229,32101,9031,0,5,1,284,97,0,0,0,5.68,F7
8,0.04,293884,6679181.82,668,30692,7120,0,5,0,185,98,0,0,0,-5.68,A6
8,0.05,333455,6669100.00,24,38442,9919,0,6,1,286,108,0,0,0,4.34,A4

E6F6F5D6C4G4G7B3F4G3
8,0.04,329057,7478568.18,1787,4086,1323,0,0,0,106,15,0,0,0,-7.86,F3
8,0.03,201113,7182607.14,983,4373,1028,0,0,0,56,11,0,0,0,7.25,G6
8,0.05,363227,7264540.00,634,8937,2617,0,0,0,151,32,0,0,0,-5.36,C5
8,0.03,221847,6932718.75,642,9712,2477,0,0,0,102,24,0,0,0,4.13,C6
8,0.06,404891,7230196.43,153,14006,3517,0,0,0,168,43,0,0,0,-4.35,H4
8,0.03,207411,6913700.00,608,15691,4959,0,0,0,148,36,0,0,0,1.61,G5
8,0.09,650830,7074239.13,1411,23119,5711,0,2,0,270,61,0,0,0,-4.46,F7
8,0.04,262734,6914052.63,1327,22399,6994,0,1,0,227,47,0,0,0,4.73,E7
