探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.03,96191,2829147.06,1,19374,3604,0,0,0,38,15,0,0,0,-12.20,F4
8,0.07,195535,3008230.77,50,60977,13059,0,22,0,291,17,0,0,0,9.49,B5
8,0.07,197683,2950492.54,6,59143,10183,0,9,0,112,32,0,0,0,-7.51,C6
8,0.08,224657,2880217.95,48,125019,26913,0,78,5,499,53,0,0,0,7.04,D7
8,0.08,222542,2781775.00,10,99156,17743,0,26,3,172,60,0,0,0,-6.22,D1
8,0.03,95536,2809882.35,5,154068,31800,0,115,12,550,71,0,0,0,5.76,E1
8,0.05,126889,2394132.08,0,126362,22934,0,49,5,177,78,0,0,0,-5.53,E2
8,0.04,96400,2605405.41,19,177169,35971,0,157,20,625,87,0,0,0,5.36,B3
8,0.05,134063,2578134.62,19,167233,32394,0,129,8,282,95,0,0,0,-6.25,E6
8,0.05,117824,2506893.62,2,205376,40467,0,214,47,636,103,0,0,0,5.24,C3
8,0.03,78218,2300529.41,9,190360,37610,0,173,20,347,111,0,0,0,-4.69,D8
8,0.07,168099,2472044.12,11,251838,52012,0,367,91,744,125,0,0,0,3.72,F5
8,0.03,74031,2388096.77,1,213108,43265,0,233,34,383,126,0,0,0,-4.86,C4
8,0.06,151003,2359421.88,2,292398,59533,0,481,170,764,139,0,0,0,5.68,F7
8,0.08,194652,2527948.05,11,262775,53671,0,369,59,466,150,0,0,0,-5.68,A6
8,0.07,172999,2436605.63,0,342547,68114,0,613,216,766,152,0,0,0,4.34,A4

E6F6F5D6C4G4G7B3F4G3
8,0.07,226094,3374537.31,56,41179,7726,0,1,0,341,32,0,0,0,-7.86,F3
8,0.05,134685,2927934.78,18,42564,8210,0,7,0,161,19,0,0,0,7.25,G6
8,0.08,261960,3156144.58,22,86272,17018,0,18,0,467,62,0,0,0,-5.36,C5
8,0.06,160968,2775310.34,26,100069,17969,0,43,2,286,36,0,0,0,4.13,C6
8,0.10,328428,3188621.36,4,138440,25491,0,52,8,514,76,0,0,0,-4.35,H4
8,0.06,144583,2628781.82,26,156035,29659,0,110,15,411,49,0,0,0,1.61,G5
8,0.17,467193,2814415.66,40,227604,38757,0,158,26,761,108,0,0,0,-4.46,F7
8,0.08,186737,2457065.79,40,220671,44510,0,285,65,590,67,0,0,0,4.73,E7
8,0.19,532698,2745865.98,37,338711,57868,0,441,82,959,128,0,0,0,-5.44,B5
8,0.12,289023,2428764.71,26,301660,64588,0,563,104,730,85,0,0,0,6.60,B4
8,0.18,466505,2635621.47,16,431040,75319,0,789,192,1074,146,0,0,0,-6.38,D3
8,0.12,275596,2355521.37,11,385883,81482,0,854,184,794,101,0,0,0,6.78,C3
8,0.20,535713,2692025.13,16,558186,100374,0,1491,420,1224,162,0,0,0,-7.23,C7
8,0.22,553169,2537472.48,3,543484,106344,0,1397,415,845,115,0,0,0,7.43,D7
8,0.14,364755,2515551.72,1,636950,116833,0,2058,613,1238,181,0,0,0,-6.51,C8
8,0.13,300201,2291610.69,2,619990,122097,0,1858,597,863,128,0,0,0,6.67,D8

E6F6C4E7E8C3C2C5C6B2
