探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.02,141115,6135434.78,318,2322,0,0,384,2322,11,0,0,10,11,-12.20,F4
8,0.06,419900,6883606.56,1930,6211,0,0,2201,6214,101,0,0,11,101,9.49,B5
8,0.05,337035,7021562.50,821,6471,0,0,1019,6474,40,0,0,20,40,-7.51,C6
8,0.07,463164,7125600.00,1615,12707,0,0,4753,12717,180,0,0,34,180,7.04,D7
8,0.05,349542,6721961.54,903,10781,0,0,1707,10789,65,0,0,34,65,-6.22,D1
8,0.03,211040,6807741.94,471,15770,0,0,5372,15783,196,0,0,48,196,5.76,E1
8,0.03,204737,6398031.25,135,14063,0,0,2410,14073,69,0,0,48,69,-5.53,E2
8,0.03,199916,6663866.67,688,18234,0,0,5942,18249,224,0,0,60,224,5.36,B3
8,0.04,284743,6621930.23,556,18874,0,0,4565,18893,114,0,0,59,114,-6.25,E6
8,0.04,253124,6490358.97,309,21588,0,0,6416,21606,230,0,0,72,230,5.24,C3
8,0.02,140668,6698476.19,397,21827,0,0,5214,21848,140,0,0,70,140,-4.69,D8
8,0.05,317885,6763510.64,1257,27182,0,0,8228,27208,278,0,0,86,278,3.72,F5
8,0.02,112931,6273944.44,217,24864,0,0,5843,24891,151,0,0,81,151,-4.86,C4
8,0.04,254073,6049357.14,229,32061,0,0,9032,32104,284,0,0,97,284,5.68,F7
8,0.05,293884,6388782.61,668,30653,0,0,7124,30693,185,0,0,98,185,-5.68,A6
8,0.05,333455,6412596.15,24,38383,0,0,9919,38447,286,0,0,108,286,4.34,A4

E6F6F5D6C4G4G7B3F4G3
8,0.05,329057,7153413.04,1787,4086,0,0,1323,4086,106,0,0,15,106,-7.86,F3
8,0.03,201113,7182607.14,983,4371,0,0,1028,4373,56,0,0,11,56,7.25,G6
8,0.05,363227,7122098.04,634,8933,0,0,2617,8937,151,0,0,32,151,-5.36,C5
