探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.23,1991566,8851404.44,2649,33374,9808,61,3,462338,-10.51,F4
10,0.35,3092302,8835148.57,1191,58500,21511,106,18,813906,8.42,C3
12,1.69,14290206,8460749.56,6423,272520,77467,2284,343,3234987,-7.68,F4
12,1.57,13697072,8729810.07,1442,279225,58784,2323,199,3725945,7.34,G3
14,11.32,93741520,8278858.96,10869,1906370,617044,105094,22197,22952140,-6.26,F4
14,23.52,197931347,8415448.43,7321,4247405,1592695,500745,162568,61316977,5.23,B5

E6F6F5D6C4G4G7B3F4G3
10,0.16,1398535,8686552.80,1783,20886,3136,31,1,249254,-7.81,C5
10,0.50,4374454,8679472.22,5713,87619,37306,313,84,1302375,7.47,C6
12,2.69,22857739,8497300.74,4548,354929,90560,3723,675,4341077,-7.49,F3
12,3.27,28354985,8671249.24,14258,655276,380067,12695,5889,9616209,8.03,G5
14,28.36,232999122,8214896.94,18023,3348505,943126,314300,62112,43001265,-6.28,F3
14,29.88,254761399,8527578.21,20050,5739487,3019801,896256,351870,94262769,6.01,G5

E6F6C4E7E8C3C2C5C6B2
10,0.06,475933,7802180.33,969,10434,2016,36,1,116857,13.49,D3
10,0.28,2284256,8158057.14,3279,43329,14073,108,17,561516,-15.50,E3
12,0.84,6563163,7841293.91,2054,130784,32139,589,118,1564248,14.34,D3
12,2.60,20989047,8063406.45,10711,361126,167660,3945,1551,4931047,-14.50,E3
14,6.79,54137231,7973082.62,7688,1047063,273150,31984,4582,12546026,13.57,D3
14,9.64,78513617,8142032.25,11948,1712246,465739,84925,9762,19917605,-13.40,D6

E6F4F3D6G4F6E7F8G7F7
10,0.17,1477132,8489264.37,2370,54999,20395,201,26,592590,-23.35,C5
10,0.31,2566698,8387901.96,1438,49023,10482,132,13,492897,21.81,C4
12,1.28,11023290,8618678.66,4291,441250,175312,6054,1467,4696093,-23.45,C5
12,2.32,18938707,8152693.50,2282,379253,72977,4469,367,3573291,21.69,C4
14,9.96,83845290,8416511.74,9105,3258798,1306695,299304,76141,36404617,-22.13,C5
14,16.69,130116938,7797970.63,5331,2495019,548278,177998,17605,24462009,20.82,C4

E6F4G3D6C7F5E3F2C3E7
10,0.08,725814,8851390.24,2064,16316,3642,47,1,208591,-5.80,F6
10,0.22,1853283,8462479.45,742,30849,5052,48,2,363207,2.86,D3
12,0.75,6413704,8517535.19,4916,173480,35133,1003,108,1951963,-5.52,F6
12,1.70,14122651,8292807.40,1024,270140,39574,2184,121,2916680,2.71,D3
14,6.13,50577365,8244069.27,7455,1494311,374745,64408,8175,16402663,-5.52,F6
14,13.70,110353994,8052684.91,2059,2064561,413003,122599,10010,22395383,3.20,D3

E6F6D3E3G6G7F5G5H7F4
10,0.32,2740289,8510214.29,3689,73120,30681,262,62,792621,17.82,H8
10,0.20,1719865,8389585.37,3982,44841,15111,149,9,447612,-14.75,D6
12,1.45,11766069,8142608.30,5828,336106,138281,3488,815,3453429,17.96,E2
12,1.51,12479877,8275780.50,4558,343629,75336,3561,439,3195068,-15.74,D6
14,12.47,99260338,7958654.43,12371,2889361,1214055,236625,62121,30402529,15.23,E2
14,10.12,79581352,7864547.09,9084,2193262,510289,138492,16953,20226864,-15.38,D6

F5F6D3C5B5F4G4F3G7C2
10,0.21,1867044,8848549.76,3039,41274,15431,107,10,577836,-24.56,E6
10,0.42,3561603,8500245.82,3035,59540,24034,158,51,758119,23.45,C4
12,1.82,15932058,8758690.49,7296,373668,157317,4232,1316,5079643,-24.23,E6
12,3.75,31310833,8354010.94,9357,533845,230113,8544,2870,6633492,23.23,C4
14,20.87,179370374,8595475.08,18128,4152830,1419570,478337,107273,60203819,-22.95,E6
14,37.38,302620993,8096666.12,16454,4591926,1553179,583599,129336,61332226,21.66,C4

E6F4F3D6F5E7C5G4C3G2
10,0.22,1878897,8698597.22,2034,26565,4514,49,1,332895,25.13,E3
10,0.11,978770,8661681.42,1994,16953,2750,40,1,222758,-24.02,C4
12,2.51,21117704,8413427.89,5476,330704,100957,3298,631,4145064,25.81,C7
12,1.41,12378566,8760485.49,7010,292375,117388,2553,754,4022441,-27.24,C6
14,27.69,225252660,8135389.34,19912,3055575,956477,264002,49324,42170828,24.79,C7
14,11.38,94356387,8288509.05,10060,2346332,853303,157754,42149,32143158,-25.70,C6

F5F4C3D6G4B2E6G3C6E7
10,0.36,2993327,8200895.89,4224,42018,17823,104,11,616130,21.16,F3
10,0.47,4095069,8675993.64,6675,71019,28745,230,37,1053931,-22.74,C5
12,1.46,11630647,7971656.61,4430,192758,41961,1113,66,2209464,22.32,F6
12,0.86,7208001,8361950.12,3735,170790,36904,950,70,1981174,-22.57,C5
14,13.17,107928002,8196233.44,8223,1809708,372097,94218,9684,20237966,20.64,F6
14,6.29,51573687,8205837.23,4206,1386253,257142,55807,4158,15421027,-22.03,C5

F5F4C3F6G4F3G3H3F7E6
10,0.10,832297,8240564.36,1135,20471,9111,53,4,250614,-6.29,D6
10,0.14,1123512,8200817.52,1001,21293,6541,28,2,240520,6.27,F8
12,0.81,6792516,8334375.46,3525,208105,92677,1431,410,2335740,-6.76,D6
12,0.86,6979877,8078561.34,1556,153523,48042,734,137,1588682,5.67,F8
14,4.57,37218669,8145911.36,5501,1208822,537244,42467,12972,13367339,-6.76,D6
14,6.81,53187657,7807935.55,2157,1135496,250460,37960,3399,11389437,3.83,D3

