探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.32,2766542,8782673.02,3780,32039,23125,66,14,629244,-10.51,F4
10,0.44,4001422,9032555.30,2945,63602,31581,135,26,1000417,8.42,C3
12,2.81,23924616,8508042.67,7165,302880,229015,2719,1102,5472932,-7.68,F4
12,2.43,21062730,8674929.98,4188,304185,160366,2777,517,5100313,7.34,G3
14,21.36,176380039,8258265.71,14909,2272659,1623552,147975,53555,40166774,-6.26,F4
14,28.58,244215162,8544668.21,11979,4163764,2555687,481500,183187,69184906,5.23,B5

E6F6F5D6C4G4G7B3F4G3
10,0.27,2350268,8802501.87,3668,28466,16524,71,11,502643,-7.81,C5
10,0.50,4509697,9001391.22,6690,77425,44429,262,77,1280987,7.47,C6
12,3.22,27590005,8565664.39,4491,369256,197769,4089,1083,5734410,-7.49,F3
12,4.96,42229573,8522618.16,19271,683670,622180,13850,7847,12094324,8.03,G5
14,29.25,243359157,8319402.33,8207,3068732,1931145,265133,83157,51546972,-6.28,F3
14,45.64,372339771,8157832.06,32618,5779330,4730950,907984,430747,110799871,6.01,G5

E6F6C4E7E8C3C2C5C6B2
10,0.08,648864,7817638.55,2401,10767,6960,61,0,157931,13.49,D3
10,0.33,2658964,8181427.69,3653,43599,20819,122,19,647921,-15.50,E3
12,0.77,6161514,8043751.96,4590,107663,56727,423,85,1558648,14.34,D3
12,3.10,25349453,8164075.04,11727,348048,300333,3811,1967,6036923,-14.50,E3
14,7.42,59702292,8045046.76,10690,1000567,508771,29468,6582,14249873,13.57,D3
14,13.37,103824965,7766679.01,13117,1639225,986626,78303,20727,25349536,-13.40,D6

E6F4F3D6G4F6E7F8G7F7
10,0.24,1951664,8165958.16,3426,53866,31651,210,24,667404,-23.35,C5
10,0.40,3034898,7683286.08,1860,52890,29962,152,19,707729,21.81,C4
12,1.91,15792190,8289863.52,6645,463088,258355,6610,1752,5495025,-23.45,C5
12,2.85,22562068,7902650.79,3357,416039,249942,5349,1384,5310349,21.69,C4
14,13.72,108811400,7931438.15,10755,3240553,1907233,296165,90802,40060375,-22.13,C5
14,20.82,158942449,7633023.53,5509,2762915,1957743,215983,74180,38737081,20.82,C4

E6F4G3D6C7F5E3F2C3E7
10,0.12,1002885,8571666.67,1613,17141,8726,43,3,270970,-5.80,F6
10,0.27,2318624,8716631.58,1592,33069,17463,59,11,534851,2.86,D3
12,1.00,8453313,8419634.46,3218,173588,75806,944,144,2389979,-5.52,F6
12,2.40,20074187,8360760.93,3118,329197,178248,3301,754,4870056,2.71,D3
14,7.39,60855391,8231488.03,6034,1323665,680329,50612,10328,18086508,-5.52,F6
14,17.95,144160189,8032998.38,6168,2242819,1523248,143416,47389,35166563,3.20,D3

E6F6D3E3G6G7F5G5H7F4
10,0.39,3316798,8482859.34,5118,74789,47716,323,63,942679,17.82,H8
10,0.24,1997873,8289929.46,5079,41301,27021,161,16,524612,-14.75,D6
12,1.88,15402352,8192740.43,8207,354095,248847,3958,1331,4431330,17.96,E2
