探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.19,1678144,8879068.78,2833,28146,5095,62,2,368244,-10.51,F4
10,0.27,2421630,8935904.06,1610,54858,13584,120,20,648340,8.42,C3
12,1.99,16824982,8467529.94,7008,310047,70855,2899,454,3712343,-7.68,F4
12,1.86,15949298,8574891.40,4418,394386,43537,4632,314,4441338,7.34,G3
14,13.56,111242632,8200710.06,8805,2113993,483696,128493,22573,25637185,-6.26,F4
14,21.55,183043294,8493494.22,10621,4254980,1497008,503016,171542,56262098,5.23,B5

E6F6F5D6C4G4G7B3F4G3
10,0.19,1661727,8745931.58,2955,25690,4555,76,5,311463,-7.81,C5
10,0.41,3678601,8864098.80,6523,81363,28143,281,51,1124497,7.47,C6
12,3.59,30684951,8552104.52,11716,457634,141355,6325,1527,5839895,-7.49,F3
12,3.36,29267314,8715698.03,10032,746203,259103,16510,5132,9591400,8.03,G5
14,28.91,240158882,8306259.54,12524,3504502,721576,344422,58441,44512595,-6.28,F3
14,25.98,228031081,8776164.45,26267,5552022,1766162,839248,237239,80791725,6.01,G5

E6F6C4E7E8C3C2C5C6B2
10,0.05,470385,8710833.33,1254,11054,1361,50,0,113565,13.49,D3
10,0.24,2066994,8506148.15,922,40593,9352,86,13,508904,-15.50,E3
12,0.85,7297719,8595664.31,5946,145428,31530,738,128,1721578,14.34,D3
12,1.68,14436853,8598483.03,2650,289927,58658,2595,472,3477896,-14.50,E3
14,6.67,56175937,8415870.71,10272,1122741,236311,37175,5021,13057759,13.57,D3
14,8.88,75351566,8487448.30,5026,1673505,191068,80720,5086,18817233,-13.40,D6

E6F4F3D6G4F6E7F8G7F7
10,0.16,1469343,8959408.54,1791,56988,14853,187,22,589480,-23.35,C5
10,0.28,2431043,8682296.43,967,51944,7654,120,11,508539,21.81,C4
12,1.17,10522754,9024660.38,4791,455679,94701,6303,1006,4445989,-23.45,C5
12,2.21,18438032,8339227.50,1969,404052,50972,5070,391,3673948,21.69,C4
14,8.89,77663169,8733067.47,3946,3309618,584274,308911,42735,33610495,-22.13,C5
14,16.75,135941687,8113499.67,2977,2883003,400984,236606,21363,27389114,20.82,C4

E6F4G3D6C7F5E3F2C3E7
10,0.07,591130,9094307.69,808,15626,1823,40,1,179451,-5.80,F6
10,0.24,2075430,8683807.53,1599,36196,5500,78,4,428926,2.86,D3
12,0.78,6837834,8721727.04,3465,188871,25940,1114,98,2071099,-5.52,F6
12,1.60,13413247,8367590.14,1756,276927,25061,2321,134,2869897,2.71,D3
14,4.25,36820655,8659608.42,2237,1196897,108602,41644,2351,12021146,-5.52,F6
14,13.29,109900526,8266305.08,4053,2164661,290232,134277,10072,23063213,3.20,D3

E6F6D3E3G6G7F5G5H7F4
