探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,2.08,15206305,7324809.73,281194,67877,12804,0,177,193,184,36,0,0,0,-0.76,F6
12,3.36,24806041,7382750.30,442352,108269,9143,0,221,707,176,42,0,0,0,-3.93,D3
12,4.33,31449767,7256522.15,484358,182851,31914,0,988,3511,293,62,0,1,0,-0.11,C3
12,5.43,38388848,7067166.42,547759,234662,27308,0,1199,6992,312,72,0,0,3,-3.32,F4
12,7.48,56218211,7512790.46,895414,357758,62457,0,5564,24824,421,110,0,3,2,0.21,C6
12,5.55,43793110,7886387.54,678376,377462,46075,0,5276,28025,598,114,0,5,13,-2.09,B4
12,5.36,41803140,7803460.89,620641,480204,82506,0,10855,60917,608,139,0,3,7,0.26,A4
12,4.82,38082393,7909115.89,710534,493265,70479,0,12058,64731,746,151,0,8,18,-2.89,C7
12,7.64,59500963,7792163.83,1121238,638528,114956,0,25512,149981,1033,209,0,17,45,0.09,A5
12,4.10,31838611,7767409.37,690085,582532,93452,0,22630,109625,1288,190,0,17,70,-2.36,A3
12,4.30,33254015,7737090.51,515594,708012,130053,0,33876,215869,1164,241,0,20,67,0.44,A2
12,3.05,24167590,7916013.76,576069,645242,108586,0,30216,154269,1463,226,0,29,97,0.61,D2
12,6.16,47591050,7732095.86,661114,794146,153348,0,48764,335735,1295,265,0,28,88,-0.84,C8
12,3.13,24481429,7834057.28,655210,705575,128124,0,41664,212060,1655,283,0,49,146,2.36,F7
12,4.73,36331605,7679476.85,657595,853740,167729,0,59115,458419,1603,313,0,42,162,-0.35,D7
12,1.11,8689417,7814223.92,268929,727252,134612,0,45837,236810,1865,319,0,56,220,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,2.81,22664777,8080134.40,551397,84181,18471,0,450,379,469,34,0,2,2,-26.33,F5
12,10.76,84504326,7852102.40,1018388,263233,55640,0,6158,9960,685,56,0,1,14,25.89,G4
12,3.26,25963273,7973978.19,632228,173570,40774,0,2067,3053,941,74,0,2,23,-24.57,D3
12,9.95,77213984,7764100.96,1062193,457001,103509,0,17995,52206,1441,109,0,6,97,24.85,D2
12,3.05,24339788,7975028.83,672911,265983,55061,0,3921,10406,1060,104,0,3,29,-26.39,H3
12,5.97,46186286,7738988.94,617156,551850,128777,0,27913,93089,1874,199,0,31,200,25.59,G3
12,1.78,14129513,7915693.56,394441,317515,65339,0,6358,17181,1340,138,0,14,68,-23.88,F1
12,2.46,18637751,7591751.93,232754,596295,136719,0,31807,119374,1944,213,0,47,232,24.93,E1
12,1.92,15194767,7913941.15,498724,374472,83820,0,12043,27816,1705,174,0,25,148,-25.86,E2
12,2.08,15813627,7606362.19,199829,636066,142907,0,35182,147804,2047,245,0,52,280,27.65,G5
12,0.63,4839969,7743950.40,159793,393491,89266,0,13882,32193,1830,191,0,39,187,-25.34,D1
12,1.96,14777746,7539666.33,238492,669777,152052,0,40360,176260,2147,266,0,60,335,26.67,D6
12,1.94,15188254,7833034.55,536838,454570,101995,0,18550,49876,1916,225,0,48,221,-28.92,C6
12,3.50,26361476,7542625.46,372809,720554,169826,0,51487,229079,2282,311,0,81,410,27.64,C5
12,1.44,11166686,7760031.97,379064,494387,114536,0,24006,64562,2074,240,0,62,286,-27.33,B5
12,3.54,26477577,7490120.79,356080,768011,184292,0,61000,292139,2364,335,0,87,454,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,1.65,12536698,7616462.94,254448,88868,12240,0,367,415,186,34,0,0,0,25.78,E6
12,0.66,5144676,7771413.90,206587,41795,6841,0,84,55,180,32,0,0,0,-26.64,F8
12,2.23,16833260,7538405.73,312720,197596,46064,0,2362,4546,330,69,0,0,1,27.18,C8
12,0.26,1930486,7570533.33,81057,59478,10551,0,151,151,253,53,0,0,1,-24.25,E8
12,1.15,8400826,7298719.37,167219,259221,62718,0,4308,9891,537,102,0,5,6,28.44,A2
12,0.23,1708123,7591657.78,83161,77921,14717,0,369,300,405,93,0,2,2,-27.45,A6
12,0.31,2250887,7260925.81,74392,277193,69287,0,5728,11898,677,140,0,11,10,26.02,A8
12,0.13,923495,7271614.17,48940,88458,17144,0,543,404,451,114,0,3,3,-26.97,B7
12,0.56,3831306,6866139.78,106828,312653,78067,0,7876,16748,837,187,0,17,17,27.50,G8
12,0.18,1325150,7281043.96,74091,105286,22943,0,1071,647,506,161,0,5,4,-27.15,G7
12,0.32,2197930,6955474.68,73426,338361,81612,0,8908,21014,951,215,0,22,22,25.74,C1
12,0.06,447362,6990031.25,28531,111950,24757,0,1236,779,594,182,0,10,5,-27.00,B2
12,0.21,1455841,6932576.19,62718,357481,86611,0,10407,24539,1146,251,0,31,45,25.76,E2
12,0.11,769546,6995872.73,58299,126889,28769,0,1663,1104,788,217,0,12,11,-26.45,F2
12,0.12,818265,6652560.98,46112,371087,90658,0,11750,27357,1342,280,0,36,72,25.03,H8
12,0.03,191504,6603586.21,16223,131641,30078,0,1807,1251,865,248,0,16,17,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,1.93,14658807,7614964.68,493817,91530,15214,0,320,422,520,48,0,1,6,4.93,D3
12,3.59,27195410,7583773.01,657741,170524,23438,0,1342,2705,413,74,0,2,6,-5.64,B3
12,0.70,5217352,7442727.53,178571,127034,23302,0,625,1266,654,79,0,3,11,4.99,A6
12,1.36,10130935,7427371.70,278953,239284,37810,0,3167,7586,560,101,0,3,9,-4.57,F4
12,0.72,5352445,7423640.78,195179,166072,32157,0,1534,2696,947,107,0,5,30,5.17,F8
12,1.46,10776462,7391263.37,345619,318736,58124,0,7139,17506,853,138,0,7,25,-4.87,A7
12,0.36,2628448,7240903.58,121832,191422,39666,0,2595,3951,1139,143,0,11,46,6.09,B8
12,0.18,1255584,7134000.00,61042,330261,62762,0,8395,19336,1062,168,0,14,52,-3.88,H2
12,0.19,1343329,7070152.63,56889,205814,44001,0,3370,4866,1232,167,0,14,54,8.44,F3
12,0.13,900464,7090267.72,54414,340878,65818,0,9294,21200,1163,197,0,15,60,-8.49,G5
12,0.26,1808301,7063675.78,95107,230697,50503,0,4659,6691,1369,216,0,25,70,7.23,H5
12,0.08,585224,7050891.57,38936,349231,68185,0,10067,22715,1310,230,0,26,90,-5.22,H3
12,0.06,403772,6843593.22,23906,236425,53137,0,5229,7207,1439,231,0,36,85,10.22,H4
12,0.02,107863,5992388.89,9734,350813,69126,0,10344,23004,1374,259,0,29,109,-7.21,H6
12,0.02,113987,5699350.00,10194,238714,54436,0,5501,7403,1527,252,0,45,101,14.15,H8
12,0.02,159071,6627958.33,16957,354901,70619,0,10823,23858,1500,298,0,47,138,-14.79,G6

