探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.02,8120503,7961277.45,2611,69980,14012,0,211,212,159,26,0,0,0,-0.76,F6
12,1.59,12858665,8082127.59,2821,105692,11322,0,298,651,156,33,0,0,0,-3.93,D3
12,1.93,15259100,7914470.95,177,186284,34234,0,1199,3757,164,44,0,0,0,-0.11,C3
12,2.16,17256006,7996295.64,211,220428,31152,0,1365,6096,162,56,0,0,0,-3.32,F4
12,3.65,28932547,7937598.63,438,367004,68344,0,6673,27036,189,67,0,0,0,0.21,C6
12,2.51,19893005,7934984.04,1497,354823,48274,0,4695,23772,276,84,0,1,0,-2.09,B4
12,2.46,19297475,7847692.15,1229,485507,90642,0,12730,62783,264,84,0,1,2,0.26,A4
12,2.56,20284422,7911241.03,435,482276,71755,0,11034,60488,293,102,0,1,0,-2.89,C7
12,3.77,29752519,7891914.85,5933,648297,117858,0,25669,157435,733,119,0,1,12,0.09,A5
12,2.37,18635032,7876175.82,4767,577886,95678,0,22592,107196,710,133,0,5,15,-2.36,A3
12,2.86,19160591,6697165.68,303,729915,137484,0,36706,241598,754,140,0,4,14,0.44,A2
12,1.97,15228952,7750102.80,1580,644783,110591,0,30211,153880,801,164,0,8,24,0.61,D2
12,2.68,20858368,7791695.18,209,813719,162390,0,52850,371143,761,157,0,5,14,-0.84,C8
12,2.09,16604497,7948538.54,1633,714156,134506,0,44583,221429,911,202,0,9,34,2.36,F7
12,2.87,22420203,7822820.31,4929,881401,181756,0,68137,532688,1063,191,0,7,43,-0.35,D7
12,0.89,6921839,7742549.22,4630,740292,141869,0,49544,252952,1156,232,0,10,64,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,2.00,16147176,8093822.56,7442,79143,16145,0,361,289,401,22,0,0,0,-26.33,F5
12,6.50,50996472,7850442.12,11376,247402,48310,0,4187,8305,710,20,0,0,10,25.89,G4
12,2.47,20081884,8117172.19,3656,185784,38722,0,2053,3765,580,38,0,1,4,-24.57,D3
12,6.77,52361126,7734287.44,9384,459951,95591,0,15042,53283,1340,43,0,4,75,24.85,D2
12,2.16,17637568,8169322.83,353,284663,51819,0,4034,12629,604,54,0,4,4,-26.39,H3
12,2.21,16867749,7635920.78,1227,533075,112250,0,21203,84279,1428,58,0,15,93,25.59,G3
12,0.63,4974915,7959864.00,6092,316294,61510,0,6620,17088,910,87,0,4,16,-23.88,F1
12,1.35,10266930,7610770.94,764,580800,121391,0,25450,110485,1477,76,0,19,99,24.93,E1
12,1.02,8213168,8036367.91,6607,370376,78150,0,12002,27260,1256,106,0,4,68,-25.86,E2
12,1.06,8157424,7688429.78,2026,624239,128260,0,29332,139597,1553,95,0,22,120,27.65,G5
12,0.38,3019050,7882637.08,2737,390505,84161,0,14032,31726,1389,123,0,10,87,-25.34,D1
12,1.13,8478142,7489524.73,2307,659490,138416,0,35011,168280,1687,111,0,26,151,26.67,D6
12,1.02,8162450,8002401.96,2323,445863,96369,0,18539,47127,1465,144,0,16,108,-28.92,C6
12,1.96,14706110,7503117.35,2756,715233,158086,0,47282,224151,1863,136,0,40,215,27.64,C5
12,0.64,5036185,7931000.00,3567,482441,109134,0,23738,60313,1600,171,0,19,131,-27.33,B5
12,1.54,11459500,7450910.27,844,760779,172547,0,56760,282819,1908,147,0,49,232,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.63,4789230,7553990.54,788,84176,12682,0,405,335,77,18,0,0,0,25.78,E6
12,0.35,2817717,7982201.13,829,43706,7328,0,78,61,80,23,0,0,0,-26.64,F8
12,0.96,7190847,7482671.18,134,200231,48889,0,2589,4818,92,35,0,0,0,27.18,C8
12,0.13,1008124,7754800.00,41,61103,11513,0,185,137,83,40,0,0,0,-24.25,E8
12,0.45,3272985,7241117.26,1214,260104,66587,0,4787,9953,278,62,0,1,1,28.44,A2
