探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,0.84,6630422,7865269.28,3035,62520,12337,0,194,144,175,30,0,0,1,-0.76,F6
12,1.34,10571568,7865750.00,2805,95454,9880,0,239,495,157,29,0,0,0,-3.93,D3
12,1.69,12916765,7665735.91,210,168664,30527,0,1003,2866,180,47,0,1,1,-0.11,C3
12,1.80,14038272,7803375.21,256,197866,28221,0,1138,4465,163,52,0,0,0,-3.32,F4
12,2.90,22839522,7864849.17,1190,328840,57422,0,4910,19234,256,67,0,2,2,0.21,C6
12,1.88,14964150,7942754.78,2174,312679,45644,0,4022,16218,348,82,0,2,1,-2.09,B4
12,1.88,14665175,7792335.28,1238,434572,77516,0,10144,44511,321,80,0,8,3,0.26,A4
12,2.00,15761409,7872831.67,502,428612,66897,0,9153,41837,365,94,0,7,1,-2.89,C7
12,2.75,21498291,7831800.00,6281,581690,109433,0,24013,109297,780,122,0,11,20,0.09,A5
12,1.91,14897076,7811786.05,4936,519613,89456,0,18361,75609,756,126,0,12,17,-2.36,A3
12,1.53,11765589,7664878.83,365,648575,123951,0,31306,157800,802,144,0,13,21,0.44,A2
12,1.45,11522322,7957404.70,1427,582105,103779,0,24686,108772,848,153,0,19,22,0.61,D2
12,1.96,15168027,7742739.66,291,734904,146515,0,44673,246935,807,156,0,19,23,-0.84,C8
12,1.51,11992670,7942165.56,1847,646309,125527,0,36064,154727,964,186,0,24,41,2.36,F7
12,2.19,17024544,7770216.34,4510,811105,165381,0,58244,364033,1095,188,0,23,52,-0.35,D7
12,0.71,5562087,7822907.17,4317,673507,131922,0,40039,178415,1186,198,0,33,68,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.38,11094503,8022055.68,4100,62139,11074,0,203,149,262,24,0,0,0,-26.33,F5
12,3.87,30231946,7807837.29,5519,166150,26693,0,1430,2476,365,36,0,1,1,25.89,G4
12,1.43,11476393,8003063.46,3297,132923,29258,0,1135,1399,436,47,0,1,4,-24.57,D3
12,4.35,33745080,7762843.34,3926,327650,62033,0,6812,19169,617,54,0,1,11,24.85,D2
12,1.26,10174261,8068406.82,371,205291,40585,0,2275,4868,460,64,0,3,4,-26.39,H3
12,2.83,21780683,7709976.28,5022,417137,90311,0,15150,39333,1025,81,0,3,35,25.59,G3
12,0.52,4143731,7938181.99,5459,235003,50058,0,4021,7065,750,95,0,4,15,-23.88,F1
12,1.10,8329240,7572036.36,824,467374,98785,0,18328,55220,1085,99,0,4,44,24.93,E1
12,0.87,6910671,7925081.42,5850,287224,67526,0,8262,12623,1086,118,0,10,44,-25.86,E2
12,0.95,7189820,7536498.95,1606,514886,105316,0,21188,74338,1162,114,0,11,52,27.65,G5
12,0.32,2504853,7876896.23,2549,306575,73330,0,9817,15254,1218,134,0,17,58,-25.34,D1
12,0.95,7043686,7430048.52,2316,552558,115003,0,25882,92879,1297,131,0,13,71,26.67,D6
12,0.80,6317297,7926345.04,781,357929,85607,0,13361,23886,1250,158,0,20,63,-28.92,C6
12,1.48,11089557,7482831.98,2119,608493,133135,0,35454,127088,1446,155,0,28,101,27.64,C5
12,0.63,4985512,7863583.60,3115,398148,99372,0,17989,32950,1416,176,0,24,95,-27.33,B5
12,1.27,9372317,7397250.99,712,659372,146867,0,43167,167162,1484,169,0,33,112,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.53,3855753,7234058.16,678,74025,11523,0,287,224,66,18,0,0,0,25.78,E6
12,0.32,2539119,7984650.94,887,41497,6865,0,68,38,69,23,0,0,0,-26.64,F8
12,0.81,6057097,7459479.06,127,180094,45369,0,2102,3466,79,35,0,0,0,27.18,C8
12,0.11,852992,7616000.00,87,57490,10788,0,142,108,72,40,0,0,0,-24.25,E8
12,0.37,2635911,7143390.24,1190,233435,61508,0,3779,7314,240,63,0,0,1,28.44,A2
12,0.13,1014075,7624624.06,1796,77818,15920,0,421,253,360,64,0,0,2,-27.45,A6
12,0.11,749671,6941398.15,417,250642,68153,0,5081,8938,333,81,0,0,1,26.02,A8
12,0.07,516381,7272971.83,34,89210,18496,0,596,387,362,81,0,0,2,-26.97,B7
12,0.21,1469547,6835102.33,652,285707,77784,0,7351,12952,525,109,0,1,3,27.50,G8
12,0.08,571162,6965390.24,140,104876,23407,0,991,606,392,106,0,2,2,-27.15,G7
12,0.10,682703,6564451.92,193,304208,81982,0,8330,15445,559,138,0,3,3,25.74,C1
12,0.03,196253,6541766.67,242,111014,25041,0,1164,720,484,127,0,3,2,-27.00,B2
12,0.08,501346,6427512.82,303,319846,86376,0,9590,17803,699,159,0,6,8,25.76,E2
12,0.04,298088,6624177.78,441,122286,28553,0,1476,968,613,158,0,7,7,-26.45,F2
12,0.04,283867,6308155.56,286,331708,89555,0,10543,19735,841,185,0,6,15,25.03,H8
12,0.01,76738,6394833.33,118,126024,29743,0,1623,1070,647,177,0,13,7,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,0.99,7699365,7785000.00,4103,88971,15437,0,323,424,391,43,0,0,1,4.93,D3
12,1.50,11332757,7530071.10,2162,154982,21744,0,1091,2070,200,38,0,1,0,-5.64,B3
12,0.47,3569080,7577664.54,320,141331,24701,0,795,1660,401,62,0,0,1,4.99,A6
12,0.57,4222378,7407680.70,470,221997,35191,0,2570,6024,245,57,0,1,0,-4.57,F4
12,0.29,2152959,7347982.94,1454,174889,32457,0,1565,2996,593,80,0,1,5,5.17,F8
12,0.51,3724721,7346589.74,1597,285567,51208,0,5560,12485,498,75,0,1,5,-4.87,A7
12,0.23,1599716,7109848.89,1701,204451,43149,0,3252,4634,905,102,0,2,20,6.09,B8
12,0.08,575831,6937722.89,839,298428,55466,0,6637,14209,639,105,0,2,9,-3.88,H2
12,0.08,553165,6829197.53,167,219148,47441,0,4006,5742,946,123,0,3,21,8.44,F3
12,0.06,403204,6833966.10,206,310207,58577,0,7475,15907,680,121,0,3,13,-8.49,G5
