探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
10,0.16,1383457,8487466.26,174583,29726,2491,47,3,106513,0.92,F6
10,0.36,3091687,8660187.68,372238,64025,5149,141,11,231395,-2.63,D3
12,1.34,11086514,8292082.27,678944,278355,45098,2362,332,1902053,0.75,F6
12,2.54,21163452,8341920.38,1442170,510009,70078,7682,964,3239283,-2.30,F7
14,11.33,89417061,7892061.87,2051645,2280833,388255,148731,25892,19789963,-0.29,F6
14,20.87,166025264,7954830.34,4952920,4106338,613606,467728,65299,36772178,-2.13,F7

E6F6G6F4F3F2C4C3G2E3
10,0.62,5541316,8966530.74,782287,75496,8689,187,16,391283,-24.44,F5
10,1.07,9395665,8748291.43,915146,92663,11141,279,27,375529,25.00,G3
12,5.34,46727853,8750534.27,3106132,780638,120358,17878,2910,8422406,-23.44,F5
12,7.81,67058586,8587346.14,3471053,764350,105988,17167,2015,6686329,23.57,G3
14,31.62,282496506,8934390.90,7667831,5182321,645819,735074,96855,73262043,-21.37,F5
14,72.92,625115829,8572390.07,18273535,6142486,1357277,1021261,182115,82561946,23.11,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
10,0.13,920565,7364520.00,101380,30519,3459,66,2,46536,22.36,E6
10,0.09,702687,7895359.55,95744,42379,4263,135,7,192087,-20.06,F8
12,0.60,4138157,6919994.98,396849,179657,22779,1404,117,399682,25.11,E6
12,0.41,3015429,7445503.70,207003,225107,27437,1772,200,1052857,-25.37,F8
14,3.14,20797694,6619253.34,1454730,1067891,150002,35874,4588,3474858,24.71,E6
14,2.14,15243943,7130001.40,382532,1266685,178039,48134,6111,6190939,-24.74,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
10,0.37,2896781,7829137.84,554886,92324,15623,278,39,236452,7.10,D3
10,0.47,3743416,7880875.79,315457,93268,13454,251,33,329844,-7.35,F7
12,2.31,17653814,7658921.48,1622747,686390,142548,14029,2694,4055694,7.91,D3
12,2.45,18416552,7513893.10,865024,582852,84214,10107,1356,2953996,-6.61,A6
14,14.16,104927744,7412245.27,3987277,4389503,911241,533363,102661,33478282,5.63,D3
14,13.53,97694565,7223258.04,2601005,3581245,454878,360322,48617,20586545,-5.29,F7

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
10,0.00,2871,inf,621,1095,134,46,0,375,5.30,H5
9,0.00,1196,inf,339,429,42,16,0,2,-4.00,A8
10,0.00,2778,inf,861,1037,73,43,0,7,4.00,H5
9,0.00,1196,inf,339,429,42,16,0,2,-4.00,A8
10,0.00,2778,inf,861,1037,73,43,0,7,4.00,H5
9,0.00,1196,inf,339,429,42,16,0,2,-4.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
10,0.00,3062,inf,617,1203,130,34,0,329,-10.16,B1
9,0.00,2241,inf,704,844,99,15,0,2,10.00,A4
10,0.00,2881,inf,901,1103,128,26,0,3,-10.00,B1
9,0.00,2241,inf,704,844,99,15,0,2,10.00,A4
10,0.00,2881,inf,901,1103,128,26,0,3,-10.00,B1
9,0.00,2241,inf,704,844,99,15,0,2,10.00,A4

