探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
10,0.16,1330072,8471796.18,29579,11643,2157,765,0,302935,0.92,F6
10,0.34,3024749,8767388.41,46444,24484,5226,1835,1,689555,-2.63,D3
12,1.34,11359804,8490137.52,146152,108109,28191,4621,91,2913900,0.75,F6
12,2.55,21733763,8523044.31,280495,201135,44046,9737,257,5331112,-2.30,F7
14,11.18,93149377,8332532.16,718975,945525,234642,45202,6425,24526586,-0.29,F6
14,20.77,174445811,8400144.99,1332069,1745978,348073,123347,16736,47440886,-2.13,F7

E6F6G6F4F3F2C4C3G2E3
10,0.53,4909450,9245668.55,35635,19374,6641,332,2,1254219,-24.44,F5
10,1.08,9690079,8955710.72,108324,33567,10893,470,8,1616439,25.00,G3
12,5.10,46863208,9188864.31,194556,210727,60983,2671,426,12980284,-23.44,F5
12,7.70,67574439,8775901.17,760827,299348,66519,4239,525,11232195,23.57,G3
14,31.96,290660693,9093376.71,931800,1606846,317540,79391,16385,89971739,-21.37,F5
14,74.70,644316447,8625272.04,5644714,2871220,716619,238861,49074,110455651,23.11,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
10,0.12,890911,7424258.33,53127,16974,3140,998,0,132500,22.36,E6
10,0.08,700640,8340952.38,5755,12908,1312,871,0,321201,-20.06,F8
12,0.60,4248577,7057436.88,240084,104570,18199,4414,54,752182,25.11,E6
12,0.41,3244404,7932528.12,14248,74937,9880,3270,20,1555777,-25.37,F8
14,3.20,21941746,6848235.33,815258,617091,105597,28773,1842,5271488,24.71,E6
14,2.16,16634801,7712007.88,34044,448137,64946,16825,782,8278921,-24.74,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
10,0.37,3023276,8083625.67,40859,34255,11147,2851,9,997954,7.10,D3
10,0.46,3639441,7981230.26,64008,41705,10707,2365,17,747381,-7.35,F7
12,2.40,19206289,8002620.42,169320,247947,66312,12614,431,6995841,7.91,D3
12,2.50,19217191,7683802.88,360486,286288,63590,10092,532,4217924,-6.61,A6
14,14.74,115740501,7850539.31,527367,1691647,393770,113870,17616,46146416,5.63,D3
14,14.05,102934839,7324237.87,1278570,1940148,333514,131855,19955,25927479,-5.29,F7

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
10,0.00,2982,inf,285,1005,136,89,0,868,5.30,H5
9,0.00,1268,inf,359,297,28,10,0,154,-4.00,A8
10,0.00,2887,inf,890,723,51,17,0,366,4.00,H5
9,0.00,1268,inf,359,298,28,11,0,151,-4.00,A8
10,0.00,2887,inf,890,722,51,17,0,365,4.00,H5
9,0.00,1268,inf,359,298,28,11,0,151,-4.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
10,0.00,3228,inf,152,836,141,96,0,1352,-10.16,B1
9,0.00,2376,inf,751,503,56,12,0,389,10.00,A4
10,0.00,3043,inf,957,673,73,17,0,496,-10.00,B1
9,0.00,2376,inf,751,504,56,13,0,387,10.00,A4
10,0.00,3043,inf,957,672,73,16,0,496,-10.00,B1
9,0.00,2376,inf,751,504,56,13,0,387,10.00,A4

