探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.75,4355630,5792061.17,1883,81,0,-13.83,F4
8,0.94,5063122,5386300.00,2164,81,0,12.11,C3
10,13.25,77907735,5878941.67,39352,4086,44,-10.51,F4
10,13.91,81201211,5837614.02,37919,2901,60,8.42,C3
12,162.42,940649344,5791462.53,556021,72468,10643,-7.68,F4
12,187.28,1064899858,5686168.01,537910,58825,9725,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.76,4288804,5665527.08,1927,101,0,-9.59,C5
8,0.79,4400788,5598966.92,1885,211,0,10.52,C6
10,8.80,48507390,5511577.09,33342,2911,30,-7.81,C5
10,8.05,45453014,5644934.67,31047,5224,38,7.47,C6
12,106.91,596869258,5582756.62,501293,58090,8319,-7.49,F3
12,132.12,725621994,5492226.60,628453,110058,13942,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.23,1271652,5434410.26,1069,73,0,16.96,D3
8,0.45,2476835,5504077.78,1481,121,0,-17.52,D6
10,3.12,17164766,5510358.27,15467,1359,6,13.49,D3
10,6.79,36418887,5365186.65,24524,3171,20,-15.50,E3
12,40.86,225081717,5508742.68,215997,24237,1541,14.34,D3
12,93.31,502011447,5380154.40,359180,50106,4434,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.18,1081962,6044480.45,1853,74,0,-24.11,C3
8,0.31,1647998,5316122.58,1358,63,0,22.51,F5
10,2.15,12007158,5597742.66,27638,2797,21,-23.35,C5
10,6.13,34348551,5607011.26,45250,5333,64,21.81,C4
12,19.01,110072786,5791170.94,304484,46167,3259,-23.45,C5
12,61.59,344789686,5598143.95,527798,75627,9563,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.34,1869713,5515377.58,1224,93,0,-5.27,F6
8,0.99,5639705,5708203.44,2441,189,0,4.31,D3
10,4.41,23830476,5400062.54,19087,2493,11,-5.80,F6
10,11.83,66432258,5616525.03,41543,4838,49,2.86,D3
12,49.67,274379294,5523599.75,266108,40746,2417,-5.52,F6
12,133.29,745076199,5589930.14,589811,89001,12102,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.24,1486086,6115580.25,1638,77,0,17.08,F3
8,0.25,1460163,5771395.26,1853,65,0,-15.80,D6
10,3.10,17585064,5670772.01,26599,1702,31,17.82,H8
10,3.04,17907780,5894595.13,31137,3173,25,-14.75,D6
12,34.05,191435728,5621699.35,323375,32920,3356,17.96,E2
12,28.62,166329691,5811050.24,275250,31221,2527,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.31,1775592,5691000.00,1522,52,0,-28.28,E6
8,0.54,3251145,6054273.74,1762,133,0,27.46,G6
10,4.16,23781995,5722327.96,23851,1982,16,-24.56,E6
10,6.58,38161196,5802219.25,28070,3707,22,23.45,C4
12,55.35,320608445,5792593.14,362464,43259,4341,-24.23,E6
12,81.56,472504910,5793341.22,393081,58096,5410,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.68,3955975,5792057.10,1732,79,0,27.82,C7
8,0.31,1863883,5993192.93,1052,67,0,-29.47,B5
10,12.72,72436205,5693774.96,32586,3154,29,25.13,E3
10,8.62,49248991,5714665.93,28998,1834,13,-24.02,C4
12,154.29,849595702,5506521.54,440344,52963,6440,25.81,C7
12,52.44,294359344,5613580.94,258599,38472,2303,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.70,4046762,5789359.08,1995,188,0,23.04,F3
8,0.95,5294415,5578940.99,2446,103,0,-24.37,H4
10,8.84,49916387,5644096.22,31806,3497,28,21.16,F3
10,12.05,66695689,5534452.66,42759,3712,56,-22.74,C5
12,106.78,592730084,5550738.72,428880,53158,5986,22.32,F6
12,78.34,439687944,5612774.86,431820,56342,6261,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.36,2178690,5985412.09,1813,92,0,-6.53,D6
8,0.38,2232843,5845138.74,1374,104,1,4.22,D3
10,3.87,21529311,5564567.33,25448,2184,12,-6.29,D6
10,4.39,24386972,5556384.60,21008,2274,13,6.27,F8
12,36.42,204383097,5611220.54,306273,35135,3073,-6.76,D6
12,40.57,225030507,5546175.06,254923,36042,2088,5.67,F8

