探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.58,1374530,2361735.40,1504,21325,2576,16,0,0,54,9,0,0,0,-9.06,F4
10,0.92,2336067,2547510.36,2700,43658,14793,57,11,0,164,11,0,0,0,6.34,B5
12,4.33,10697992,2469527.24,4382,188912,31614,1040,75,11,199,23,0,0,0,-7.77,F4
12,7.31,18789151,2571742.54,8239,424913,109156,5366,1351,182,436,17,0,0,0,6.51,B5
14,28.91,70494381,2438155.19,8249,1336788,205169,52209,4160,3787,492,45,0,0,0,-5.14,F4
14,60.12,152447701,2535554.87,24276,3466575,1041072,336488,99381,104601,1772,80,0,0,0,3.61,B5

E6F6F5D6C4G4G7B3F4G3
10,0.94,2439132,2594821.28,4802,39802,10599,41,11,0,329,31,0,0,0,-7.93,F3
10,1.11,2940654,2656417.34,7353,75146,27509,182,35,0,474,29,0,0,0,5.01,D3
12,10.60,25785991,2433558.98,10772,429640,110440,5543,1082,134,816,51,0,0,0,-6.46,F3
12,10.07,26208258,2601315.93,10388,773634,317186,17487,5955,1049,869,58,0,0,0,5.23,G5
14,83.84,208343576,2484925.11,54536,3426654,750700,328729,51957,77578,4358,110,1,0,0,-6.02,F3
14,80.97,212397345,2623096.19,22793,5821365,1844945,918585,256621,605535,1876,131,0,0,0,4.24,G5

E6F6C4E7E8C3C2C5C6B2
10,0.25,650978,2593537.85,2078,12377,3049,5,0,1,128,14,0,0,0,12.66,D3
10,0.95,2435344,2558134.45,5583,44777,10408,69,9,0,338,15,0,0,0,-15.23,C1
12,3.42,8806541,2571252.85,8927,154779,39910,698,117,20,594,33,0,0,0,14.30,D3
12,7.93,19819903,2499357.25,10448,371687,114916,4019,1275,85,753,33,0,0,0,-14.38,E3
14,20.00,50291796,2514464.08,18464,985782,167438,28226,2583,1767,1201,71,0,0,0,11.78,D3
14,46.80,115559564,2468957.68,12264,2458006,594771,172875,42142,32020,966,45,0,0,0,-12.35,E3

E6F4F3D6G4F6E7F8G7F7
10,0.32,859115,2659798.76,1741,35847,7258,44,7,0,171,20,0,0,0,-27.10,C3
10,0.77,1992837,2584743.19,1310,34843,6146,39,6,1,171,11,0,0,0,26.96,F5
12,2.17,5709291,2634652.05,3650,269023,52324,2159,348,126,372,27,0,0,0,-26.70,C3
12,6.10,15329999,2511879.24,2983,285857,41169,2430,214,22,337,32,0,0,0,25.90,F5
14,16.10,42024836,2610076.14,7991,1910430,348104,105502,14772,16610,856,77,2,0,0,-25.51,C3
14,64.11,155594220,2426950.45,12302,2822781,462437,225950,25938,39131,1453,93,0,0,0,23.88,F5

E6F4G3D6C7F5E3F2C3E7
10,0.24,643686,2638057.38,1462,16654,2144,3,0,0,89,13,0,0,0,-9.11,F6
10,0.78,1998033,2574784.79,1122,34519,4287,33,2,0,66,10,0,0,0,4.46,D3
12,2.04,5287552,2595754.54,4138,163760,18248,824,33,7,236,24,0,0,0,-9.21,F6
12,6.28,15605289,2484523.01,2183,288923,33876,2463,165,35,178,30,0,0,0,5.29,D3
14,14.04,36139241,2573286.88,2218,1257100,112706,46060,2538,3940,126,33,0,0,0,-8.08,F6
14,49.56,120202690,2425593.07,6274,2245511,300958,144280,11033,17774,441,43,0,0,0,4.63,D3

E6F6D3E3G6G7F5G5H7F4
10,0.71,1770789,2497586.74,4380,55173,21351,91,26,24,496,37,0,0,0,15.82,E2
