探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.02,141115,7055750.00,318,2322,384,0,0,0,10,7,0,0,0,-12.20,F4
8,0.06,417709,7459089.29,1930,6208,2130,2,0,0,100,9,0,0,0,9.49,B5
8,0.05,365011,7300220.00,620,4309,552,1,0,0,24,9,0,0,0,-7.51,D1
8,0.05,371205,7278529.41,1651,4520,2045,0,0,0,61,20,0,0,0,7.62,E1
8,0.09,702702,7555935.48,3399,8624,4696,4,1,0,148,32,0,0,0,-7.14,C6
8,0.07,548857,7318093.33,1940,6643,4159,1,0,0,81,32,0,0,0,6.69,B6
8,0.13,925945,7348769.84,5405,12048,5790,7,3,0,233,30,0,0,0,-7.53,E2
8,0.08,559014,7166846.15,2870,7420,3530,1,0,0,107,11,0,0,0,7.04,B3
8,0.06,342343,5902465.52,1425,5747,3358,1,0,0,60,15,0,0,0,-7.48,E6
8,0.04,244204,6783444.44,525,3519,502,0,0,0,16,8,0,0,0,6.56,C3
8,0.06,401053,7291872.73,1381,7606,3791,0,0,0,62,21,0,0,0,-5.45,D7
8,0.06,428155,6905725.81,1404,5964,1975,2,0,0,50,15,0,0,0,2.81,E8
8,0.03,183223,6543678.57,892,3521,1071,1,0,0,51,7,0,0,0,-5.14,B1
8,0.03,167821,6712840.00,761,3277,795,1,0,0,31,12,0,0,0,4.22,A1
8,0.02,127043,6049666.67,550,3293,1231,0,0,0,25,15,0,0,0,-2.32,C4
8,0.04,240861,6881742.86,900,4499,2170,1,0,3,30,14,0,0,0,5.95,F1
10,0.22,1581237,7220260.27,1161,23214,2720,19,2,0,46,9,0,0,0,-9.06,F4
10,0.39,2791372,7231533.68,3144,49612,15708,82,23,0,211,11,0,0,0,6.34,B5
10,0.55,3946413,7227862.64,4084,51476,10298,90,10,0,199,19,0,0,0,-7.14,C6
10,0.67,4804226,7191955.09,4796,100397,38186,276,85,3,233,31,0,0,0,6.69,B6
10,0.63,4496660,7137555.56,2393,74143,10622,177,11,0,111,23,0,0,0,-7.53,D1
10,0.47,3335341,7142057.82,4108,59346,22505,111,34,0,180,33,0,0,0,7.04,E1
10,0.93,6572761,7105687.57,13042,113066,43156,370,139,2,751,42,0,0,0,-7.48,E2
10,0.56,3936632,7042275.49,6766,66832,27208,113,30,0,353,28,0,0,0,6.56,B3
10,0.35,2423596,6944401.15,3821,51251,17912,72,16,1,234,40,0,0,0,-5.45,E6
10,0.36,2394853,6689533.52,994,44485,4553,60,3,0,53,9,0,0,0,2.81,C3
10,0.32,2191423,6891267.30,3240,54211,17338,91,22,3,181,32,0,0,0,-5.14,D7
10,0.39,2599601,6734717.62,2203,55772,11887,98,14,3,108,21,0,0,0,3.98,E8
10,0.26,1626559,6255996.15,1737,35084,6043,39,3,0,109,16,0,0,0,-3.10,B1
10,0.14,871294,6454029.63,1189,29826,3558,31,3,37,55,9,0,0,0,5.95,A1
10,0.22,1415493,6523009.22,2394,36071,7542,45,1,6,157,29,0,0,0,-0.64,C4
10,0.14,888700,6534558.82,2840,31200,9826,36,13,16,137,23,0,0,0,3.70,F1
12,1.76,12362149,7008020.98,4620,203800,35329,1255,114,18,207,23,0,0,0,-7.77,F4
12,3.03,21265531,7022962.68,9610,453561,123624,6193,1574,209,582,19,0,0,0,6.51,B5
12,4.98,35119181,7056295.16,15516,562775,138384,9307,1799,280,1057,48,0,0,0,-5.12,D7
12,2.91,20535668,7066644.18,11692,503346,169491,7349,2040,287,611,63,0,0,0,3.61,B3
12,2.14,14670378,6848915.97,3333,284078,36022,2509,163,40,152,26,0,0,0,-6.35,D1
12,2.31,16157099,6982324.55,7261,348901,120351,3609,1203,92,359,47,0,0,0,2.83,E1
12,3.46,23428047,6775028.05,15711,529238,185140,8122,2264,298,928,76,0,0,0,-4.03,A5
12,1.73,10788622,6236197.69,4480,250328,30173,1828,130,46,212,20,0,0,0,0.14,C3
12,2.10,13543776,6449417.14,3026,378345,130999,4299,1542,127,173,39,0,0,0,-2.85,F5
12,3.35,20665861,6172598.86,3328,464559,64693,6497,517,164,212,35,0,0,0,0.11,E6
12,2.71,16539280,6094060.43,7749,512882,146604,7871,1810,288,517,54,0,0,0,-2.62,C4
12,2.55,16874966,6625428.35,5026,458893,108463,6103,1024,166,413,43,0,0,0,-0.27,A6
12,1.28,8401826,6574198.75,3183,308665,71035,2685,463,82,186,34,0,0,0,-2.91,A7
12,1.95,12620904,6482231.12,2148,432360,100545,5454,870,227,109,29,0,0,0,1.37,C6
12,1.82,11233095,6155120.55,4553,450252,140011,6057,1703,285,366,52,0,0,0,-4.31,F2
12,2.37,14286485,6025510.33,4108,432462,94327,5605,720,238,303,33,0,0,0,3.02,F3

E6F6F5D6C4G4G7B3F4G3
8,0.06,415008,7155310.34,2236,5094,2329,0,0,0,148,22,0,0,0,-7.86,F3
8,0.07,544046,7351972.97,2417,10345,7363,1,1,0,164,28,0,0,0,7.25,G6
8,0.07,538537,7377219.18,2865,7700,2547,2,2,0,157,21,0,0,0,-5.36,C5
8,0.06,356332,6363071.43,1369,8080,3927,0,0,0,85,16,0,0,0,4.13,C6
8,0.07,511432,6819093.33,854,6718,1550,1,0,0,63,16,0,0,0,-4.35,H4
8,0.04,250231,7149457.14,1048,7092,2629,0,0,0,72,9,0,0,0,1.61,G5
8,0.09,664523,7069393.62,1498,9801,2550,2,0,0,109,18,0,0,0,-4.46,F7
8,0.07,482932,6899028.57,3005,11401,7717,1,1,0,157,26,0,0,0,4.73,E7
8,0.17,947115,5637589.29,1806,17754,5853,8,2,0,117,27,0,0,0,-5.44,B5
8,0.08,530925,6636562.50,2088,11207,5631,0,0,0,89,17,0,0,0,6.60,B4
8,0.14,853154,6319659.26,1985,15507,5932,10,1,0,89,25,0,0,0,-6.38,D3
8,0.09,573960,6597241.38,1667,12778,4750,1,0,0,79,12,0,0,0,6.78,C3
8,0.13,841174,6729392.00,2063,17762,6733,3,1,0,90,24,0,0,0,-7.23,C7
8,0.11,721202,6326333.33,414,15855,2105,8,1,0,16,7,0,0,0,7.43,D7
8,0.14,792145,5618049.65,2166,18990,5416,5,1,0,103,33,0,0,0,-6.51,C8
8,0.10,647560,6541010.10,1044,16552,6032,12,2,0,66,15,0,0,0,6.67,D8
10,0.38,2646030,7018647.21,4224,41714,10045,46,8,0,288,29,0,0,0,-7.93,F3
10,0.37,2695819,7246825.27,3659,69390,21805,148,24,0,221,20,0,0,0,5.01,D3
10,0.93,6002656,6482349.89,6731,84168,16404,209,31,2,433,14,0,0,0,-6.46,E7
10,0.59,4143696,6975919.19,7310,103094,29459,314,67,0,473,28,0,0,0,5.92,G5
10,1.09,7810873,7146269.90,6842,126057,25197,467,89,2,538,18,0,0,0,-6.02,G6
10,0.56,4098999,7359064.63,3719,115913,34285,378,118,13,276,29,0,0,0,4.92,E2
10,0.95,6823190,7212674.42,2226,93319,11787,272,15,0,127,22,0,0,0,-6.81,H3
10,0.35,2553806,7255130.68,3968,74300,26957,173,55,2,265,33,0,0,0,6.37,E3
10,0.58,4000052,6932499.13,1868,57383,7814,86,10,0,107,20,0,0,0,-4.86,H5
10,0.39,2730169,6946994.91,2961,87120,28884,223,80,30,203,22,0,0,0,6.40,F7
10,0.41,2779157,6696763.86,1210,50441,6806,89,5,4,92,12,0,0,0,-4.88,D7
10,0.18,1248068,7051231.64,1396,45668,4808,63,7,85,89,10,0,0,0,9.07,H8
10,0.56,3497814,6246096.43,2196,75968,13478,185,8,0,194,31,0,0,0,-7.68,F2
10,0.17,1117739,6653208.33,613,41046,3342,48,2,3,42,10,0,0,0,9.11,H4
10,0.33,2110409,6434173.78,2303,56600,12760,112,7,9,217,23,0,0,0,-9.56,E8
10,0.31,1801736,5888026.14,3363,62599,21028,117,26,5,322,24,0,0,0,11.09,C8
12,4.46,30406177,6822117.34,9424,467790,119750,6588,1240,169,698,48,0,0,0,-6.46,F3
12,4.20,30192040,7185159.45,10576,847710,365476,21092,7650,1520,891,59,0,0,0,5.23,G5
12,6.28,42878711,6827820.22,18577,826367,165521,20176,3189,891,1501,81,0,0,0,-4.68,G6
12,6.55,46160272,7046294.00,29196,1370797,496471,54966,18723,6831,2620,138,1,0,0,4.24,D3
12,10.26,72387992,7058799.80,7038,1053330,172356,31954,3775,1816,648,34,0,0,0,-5.46,E7
12,6.30,45992418,7301542.78,8378,1520578,554126,66892,22618,9149,733,72,0,0,0,3.73,F7
12,10.12,70355538,6951441.36,13531,1245633,219666,45203,5642,2944,928,62,0,0,0,-2.62,D7
