探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
D3C3C4E3C2B3A4D6E6A3D7C7F5A5C6D2B8F4F3G6D1G3A2B1B4D8C1B5C5G5H7G4G2H4E7A1A6E1F2H2
20,4.53,66772251,14740011.26,35701,573376,98277,0,26910,106584,1201,24,0,2,64,-40.00,B2
19,2.07,30198001,14560270.49,32096,294242,44923,0,5085,13335,1000,20,0,2,39,40.00,F7

D3C3E6D6C4E3D7E7F4B3F8F5B4G3F7C5G4F3C6D8H2H4F6B5C7B8A3B2C8D2F2E2A5B7B1E1E8G7C2A2
20,10.05,160033719,15925337.75,7438,763675,113220,0,37674,284743,440,11,0,0,12,42.00,A8
19,3.67,58451102,15944108.57,3648,321034,45822,0,6173,17276,223,6,0,0,3,-42.00,G5

C4C3D3C5C6C7B7E6B5F3C8A8F6A5B3D7F4G6F2E2D1F1C2A2A4G4G7D2G5B1E7F7E1A3C1G8E8F5E3D8
20,3.59,54063612,15072097.02,7816,444748,69470,0,11088,47073,386,15,0,0,3,24.00,D6
19,1.44,21877026,15213509.04,7816,158515,32076,0,1827,2127,385,15,0,0,3,-24.00,F8

E6F6D3C5C4D6C6B4F5F4F3E2E7C7G6G2B5B6A5H7H1A4D8G7F7F8H6G3C2B1D1H5B7F2D7A6F1G8D2E8
20,2.64,38887133,14724397.20,26361,346388,58348,0,6516,22393,641,9,0,2,5,12.00,C8
19,0.60,8651649,14467640.47,5261,90704,8782,0,271,433,156,2,0,0,0,-12.00,E3

F5D6C7D7C5B7D3F4E6C4C6D2B8G6E8B6A6A7C3B3A8F7G5C8F6E7B2H5B4A3A4C1E1G7H7C2F3D8
22,8.04,108987561,13548926.03,47194,902180,146800,0,55072,622897,1617,21,0,2,169,-4.00,A1
21,5.21,71568750,13744718.65,63419,692862,142183,0,40326,204454,2344,45,0,12,461,4.00,A2

D3C3B3D2E1D6E6F6C2D1C1F3D7C5B4B2A2C6C7A1A3A4G7G6H6C4E3E7B5D8F7G5F8E8G4H4B7H5
22,6.04,87327087,14467708.25,19001,766938,61382,0,21627,291111,565,7,0,0,5,-32.00,G8
21,1.78,25762177,14489413.39,14704,301794,22385,0,2529,14435,449,7,0,0,6,32.00,F4

C4E3F6B4C3D2A4A5B2E6F3G3E1B3F4D3E2F2A6G4H4C1A3G5F5G6C2G1H6H2C6B1E7C5B5G7H3E8
22,4.60,62313103,13555167.07,31310,701846,82134,0,23673,206762,1292,31,0,2,80,-8.00,D1
21,1.37,18975754,13871165.20,18193,237440,35472,0,3351,7313,819,16,0,1,20,8.00,A1

F5F6E6F4G5G6G3E7C4F3D6B3H6H3C5H5C3D3D8H7A2E3B2E8D2C6G4B5F7A3C7D1F2F8C1B8G7E1
22,12.71,181648851,14294055.00,91071,981921,236617,0,112421,1048586,2406,33,0,8,485,-6.00,C8
21,8.28,125495395,15154618.40,59240,742115,147611,0,39297,257933,1397,22,0,3,110,6.00,D7

