探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
11,0.25,1643752,6522825.40,1579,15309,1372,0,7,4,79,22,0,0,0,5.51,F6
11,0.53,3523024,6672393.94,3488,32596,4797,0,40,29,212,25,0,0,0,0.39,F7

E6F6G6F4F3F2C4C3G2E3
11,0.74,5179532,7018336.04,5608,23852,3139,0,9,6,273,27,0,0,2,-20.31,F5
11,1.00,7134168,7162819.28,5566,38720,4747,0,32,31,244,35,0,1,0,22.92,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
11,0.17,1052822,6050701.15,425,22476,3200,0,14,5,45,17,0,0,0,25.58,C8
11,0.06,292372,5129333.33,542,7826,892,0,0,0,28,18,0,0,0,-24.90,E8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
11,0.77,4675653,6040895.35,4997,53430,20528,0,513,98,576,25,0,0,8,4.65,D3
11,0.68,4339189,6353131.77,4059,52384,10252,0,135,84,386,29,0,0,3,-5.31,B3

C4C5D6E7E6F5B6B5G6B3
12,0.79,5159291,6530748.10,3588,54617,5993,0,66,95,217,33,0,0,0,-0.39,F6
12,1.29,8497443,6602519.81,3681,83378,9205,0,128,347,210,35,0,1,0,-4.78,D3

E6F6G6F4F3F2C4C3G2E3
12,1.40,10006549,7132251.60,8134,59154,7915,0,89,126,403,30,0,0,2,-22.92,F5
12,4.35,30055275,6910847.32,11080,164875,24604,0,1258,2500,540,52,0,0,4,20.80,C5

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.51,2778702,5480674.56,820,70809,9809,0,203,210,104,30,0,0,0,24.90,E6
12,0.33,2031760,6156848.48,717,40936,6251,0,77,41,91,20,0,0,0,-25.92,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,0.97,5820409,5981920.86,4471,79982,13971,0,235,294,421,30,0,0,4,5.31,D3
12,1.38,8076806,5844287.99,3567,137710,17314,0,754,1413,320,21,0,0,1,-3.68,F7

C4C5D6E7E6F5B6B5G6B3
13,1.78,11747084,6603195.05,3681,127157,13949,0,281,1191,211,38,0,1,0,4.78,F6
13,3.27,21403456,6543398.35,8504,208129,27349,0,965,5033,498,35,0,1,4,2.07,D3

E6F6G6F4F3F2C4C3G2E3
13,5.72,39098977,6836680.71,14611,204266,27602,0,1648,4667,709,46,0,3,12,-20.80,F5
13,5.78,40224684,6964107.34,8688,286732,33970,0,2115,13038,446,65,0,0,4,23.42,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
13,0.77,4476383,5805944.23,717,116863,20714,0,589,905,92,23,0,0,0,25.92,E6
13,1.10,5856824,5334083.79,2415,148827,22519,0,1057,1838,281,39,0,0,1,-26.67,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
13,3.78,22052056,5830792.17,12976,333222,87768,0,12404,20451,1499,74,0,3,96,3.68,D3
13,2.94,17631876,5999277.31,6009,292377,54581,0,3873,13711,568,64,0,1,4,-3.22,F7

