探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.07,6964113,6514605.24,2435,69319,13758,0,228,196,151,25,0,0,0,-0.76,F6
12,1.63,10993272,6756774.43,3060,103627,11242,0,322,655,180,32,0,0,1,-3.93,D3
12,2.01,13278438,6593067.53,177,185099,33251,0,1227,3731,156,42,0,1,0,-0.11,C3
12,2.22,14912163,6717190.54,211,215990,30566,0,1366,5633,186,54,0,1,1,-3.32,F4
12,3.75,24814033,6617075.47,438,360090,65793,0,6197,25207,181,63,0,3,0,0.21,C6
12,2.55,17139210,6715991.38,1495,348844,47643,0,4559,22274,303,83,0,1,1,-2.09,B4
12,2.64,17104761,6483988.25,1365,481396,87659,0,12076,61047,262,81,0,3,0,0.26,A4
12,2.72,17691654,6499505.51,437,477681,70998,0,10929,58307,320,101,0,1,1,-2.89,C7
12,3.88,25112926,6474072.18,5317,639121,113579,0,24326,150259,682,112,0,6,8,0.09,A5
12,2.44,16222149,6637540.51,4994,571353,96787,0,23044,102553,752,134,0,4,18,-2.36,A3
12,2.64,16530315,6252010.21,303,719241,132069,0,34568,229453,704,130,0,12,9,0.44,A2
12,2.07,14078450,6791341.05,1566,640889,111596,0,30806,151002,844,166,0,5,26,0.61,D2
12,2.63,16444599,6247947.95,209,800797,155512,0,49906,348653,711,148,0,12,9,-0.84,C8
12,2.24,15041992,6709184.66,1960,713021,134346,0,44440,219831,964,201,0,9,36,2.36,F7
12,3.01,18969431,6306326.80,3912,871404,174592,0,64330,505558,964,177,0,18,28,-0.35,D7
12,0.92,5998720,6492121.21,4686,738307,141129,0,48976,250158,1218,219,0,13,63,4.39,D8

E6F6G6F4F3F2C4C3G2E3
