探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.03,6964082,6735088.97,2435,69319,13776,0,206,201,151,25,0,0,0,-0.76,F6
12,1.62,10993283,6777609.74,3060,103614,11222,0,338,673,181,32,0,0,0,-3.93,D3
12,2.27,13279394,5844803.70,177,185147,33316,0,1152,3685,156,42,0,1,0,-0.11,C3
12,2.27,14911045,6571637.29,211,215928,30548,0,1361,5728,187,55,0,0,0,-3.32,F4
12,3.69,24818728,6716841.14,438,359891,65733,0,6232,25449,181,64,0,2,0,0.21,C6
12,2.57,17146796,6664125.92,1495,348625,47661,0,4504,22592,301,84,0,0,3,-2.09,B4
12,2.65,17158665,6472525.46,1365,481734,87575,0,12169,60927,262,82,0,2,0,0.26,A4
12,2.75,17689784,6439673.83,437,477577,71045,0,10822,58564,318,102,0,0,3,-2.89,C7
12,3.83,25041738,6540020.37,5118,639068,113515,0,24300,150222,669,113,0,4,9,0.09,A5
12,2.45,16235472,6621318.11,4994,571287,96903,0,22867,102835,753,136,0,2,17,-2.36,A3
12,2.63,16625270,6328614.39,303,719634,132037,0,34582,229723,692,135,0,6,9,0.44,A2
12,2.06,14067391,6815596.41,1617,641153,111960,0,30412,150844,849,165,0,7,22,0.61,D2
12,2.59,16388515,6327611.97,209,801446,155629,0,49810,348649,698,151,0,8,10,-0.84,C8
12,2.28,15152980,6651878.84,1960,713295,135109,0,43881,220602,968,199,0,12,33,2.36,F7
12,3.00,18970776,6323592.00,3912,871608,174357,0,64529,506005,958,178,0,16,22,-0.35,D7
12,0.90,5999114,6665682.22,4686,738433,141943,0,48360,251086,1210,219,0,14,72,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.90,13752010,7230289.17,5551,73907,12925,0,257,274,285,21,0,0,1,-26.33,F5
12,5.98,41500930,6938794.52,8182,220725,37473,0,2616,5723,504,30,0,1,4,25.89,G4
12,2.13,15108003,7106304.33,5517,162093,34268,0,1655,2437,570,38,0,0,4,-24.57,D3
12,7.17,48947208,6822861.44,11869,434365,91453,0,14120,45178,1239,51,0,2,51,24.85,D2
12,1.98,13727442,6922562.78,349,253877,47088,0,3311,8815,593,57,0,0,5,-26.39,H3
12,2.17,14350544,6613153.92,1497,506290,106934,0,19353,72039,1349,71,0,8,65,25.59,G3
12,0.65,4389145,6721508.42,5697,285990,57145,0,5627,12585,878,83,0,7,25,-23.88,F1
12,1.36,8859937,6529061.90,912,555155,115939,0,23241,95418,1398,83,0,18,76,24.93,E1
12,0.97,6634024,6853330.58,2807,336755,71901,0,9847,20143,1074,100,0,12,44,-25.86,E2
12,1.22,7756686,6378853.62,1950,601805,122697,0,26901,123663,1469,100,0,23,100,27.65,G5
12,0.38,2574924,6705531.25,1931,357156,77943,0,11689,23962,1179,111,0,24,58,-25.34,D1
12,1.13,7164877,6363123.45,2042,637495,132792,0,32339,149806,1579,118,0,25,128,26.67,D6
12,1.07,7119615,6647633.05,2680,415795,90888,0,16197,37837,1269,134,0,28,75,-28.92,C6
12,1.92,12227346,6368409.38,2141,693903,152193,0,43873,200008,1716,154,0,28,175,27.64,C5
12,0.75,4812173,6399166.22,3385,456603,104374,0,21653,50403,1415,151,0,31,106,-27.33,B5
12,1.58,9727735,6149010.75,816,741117,166819,0,53080,254856,1766,167,0,35,186,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.64,3669224,5724218.41,788,82124,12387,0,371,318,77,18,0,0,0,25.78,E6
12,0.37,2304651,6195298.39,753,43271,7181,0,83,42,79,23,0,0,0,-26.64,F8
12,0.99,5586542,5631594.76,98,197337,48127,0,2437,4458,90,35,0,0,0,27.18,C8
12,0.14,821359,6039404.41,41,60540,11241,0,178,116,82,40,0,0,0,-24.25,E8
12,0.47,2487603,5315391.03,1171,256860,65245,0,4383,9566,251,62,0,0,3,28.44,A2
12,0.16,967363,5971376.54,1377,83262,16030,0,448,328,294,59,0,0,1,-27.45,A6
12,0.13,613732,4909856.00,375,274619,71857,0,5766,11496,315,88,0,1,3,26.02,A8
12,0.09,493420,5544044.94,16,95577,18723,0,630,482,296,75,0,1,1,-26.97,B7
12,0.29,1474497,5032412.97,762,315186,82250,0,8292,17010,524,114,0,3,4,27.50,G8
12,0.12,606257,5094596.64,110,113984,25093,0,1187,803,326,102,0,1,2,-27.15,G7
12,0.15,705674,4612248.37,230,337869,87416,0,9714,20779,569,142,0,5,4,25.74,C1
12,0.04,201423,5035575.00,358,121000,27038,0,1357,979,464,121,0,3,2,-27.00,B2
12,0.13,626519,4819376.92,521,360075,94361,0,11924,24978,818,171,0,7,19,25.76,E2
12,0.07,333214,4973343.28,334,136429,31016,0,1790,1396,591,150,0,7,7,-26.45,F2
12,0.07,293234,4442939.39,317,375534,98120,0,13151,28152,974,192,0,11,32,25.03,H8
12,0.02,75864,4462588.24,65,141175,32306,0,1971,1543,617,174,0,8,7,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,1.37,8779379,6394303.71,4857,106386,17330,0,440,717,490,39,0,1,3,4.93,D3
12,2.15,13349252,6208954.42,2908,191752,25983,0,1748,3829,261,45,0,0,1,-5.64,B3
12,0.53,3209830,6010917.60,245,159799,27034,0,956,2361,502,56,0,2,3,4.99,A6
12,0.70,4043506,5809635.06,1403,261708,40688,0,3884,9899,398,66,0,0,6,-4.57,F4
12,0.38,2186453,5830541.33,1882,197359,35438,0,1964,4321,730,73,0,8,13,5.17,F8
12,0.68,3820218,5659582.22,1948,334429,58732,0,7971,20140,718,86,0,0,19,-4.87,A7
12,0.30,1641531,5508493.29,2114,232102,46611,0,4142,6855,1100,87,0,14,43,6.09,B8
12,0.11,554340,5132777.78,1698,348678,63458,0,9405,22770,981,104,0,7,33,-3.88,H2
12,0.10,508723,4891567.31,158,248917,51234,0,5154,8382,1137,107,0,16,45,8.44,F3
12,0.08,379022,4797746.84,134,362046,66955,0,10428,25414,1014,119,0,9,35,-8.49,G5
12,0.13,596807,4699267.72,311,274831,58446,0,6860,11142,1230,139,0,20,67,7.23,H5
12,0.03,125622,4187400.00,331,368483,69509,0,11218,26759,1077,132,0,24,39,-5.22,H3
