探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.11,953591,8669009.09,200411,14622,720,6,-13.83,F4
8,0.12,1077103,8975858.33,229683,16861,1090,10,12.11,C3
10,1.49,12078965,8117584.01,2849672,213270,16566,1466,-10.51,F4
10,1.29,10167964,7882142.64,2206266,174151,15838,1062,8.42,C3
12,11.28,92777042,8227832.74,23756699,1958546,179402,134447,-7.68,F4
12,10.69,89269195,8353845.69,19984120,1648713,173677,95926,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.14,1280670,9018802.82,219815,16314,953,5,-9.59,C5
8,0.12,1132647,9134250.00,279286,17333,1574,19,10.52,C6
10,1.34,11474569,8569506.35,2019632,174583,12190,970,-7.81,C5
10,1.08,9454460,8754129.63,2597210,189577,21076,1128,7.47,C6
12,15.08,115941060,7690439.11,20988756,1910558,160785,126629,-7.49,F3
12,16.94,128609673,7593863.55,39002686,2827401,374130,295396,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.04,381335,8666704.55,91086,7288,597,1,16.96,D3
8,0.09,802571,9120125.00,182621,13525,794,12,-17.52,D6
10,0.35,2932746,8427431.03,743513,65299,5294,134,13.49,D3
10,1.19,9109231,7635566.64,2105725,174063,14391,973,-15.50,E3
12,4.13,32515153,7865300.68,8139318,708215,66406,16658,14.34,D3
12,12.02,91606050,7621769.70,21534445,1734128,174300,105164,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.10,600320,6003200.00,212235,18279,918,11,-24.11,C3
8,0.08,669139,7965940.48,97472,10198,608,1,22.51,F5
10,0.84,5457480,6473879.00,2145997,196582,14252,1239,-23.35,C5
10,2.10,14989638,7131131.30,2690544,288168,26417,2687,21.81,C4
12,6.20,46807943,7544800.61,19583617,1741179,181608,106171,-23.45,C5
12,18.15,139965047,7711147.98,24702730,2647373,272686,255517,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.04,422218,9382622.22,116612,9085,310,3,-5.27,F6
8,0.13,1171931,8878265.15,228590,18319,1288,11,4.31,D3
10,0.44,3709378,8449608.20,1132734,94219,4872,272,-5.80,F6
10,1.13,9300624,8259879.22,1969288,180278,16316,1081,2.86,D3
12,4.34,34460681,7932937.62,11297743,979780,78298,32007,-5.52,F6
12,10.19,78512929,7705656.00,16566759,1670330,157622,96882,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.13,993584,7642953.85,239611,20318,999,10,17.08,F3
8,0.13,949749,7537690.48,222714,18518,1105,12,-15.80,D6
10,1.27,9322235,7351920.35,2428477,232808,17382,1722,17.82,H8
10,1.05,7432819,7072139.87,1918225,185683,16098,1196,-14.75,D6
12,11.50,82393428,7167138.83,22128773,2108825,211852,158973,17.96,E2
12,7.17,49296630,6873484.38,11502098,1342821,142064,62161,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.07,601710,8474788.73,151716,12240,661,4,-28.28,E6
8,0.14,1121576,8307970.37,195781,16340,1392,7,27.46,G6
10,0.71,5554498,7812233.47,1554190,132247,8205,557,-24.56,E6
10,1.34,10424818,7768120.72,1917434,168827,14965,898,23.45,C4
12,8.55,63279978,7402032.75,18613630,1540028,126318,81161,-24.23,E6
12,15.65,116454268,7439741.14,21094720,1872595,188671,123241,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.14,1197551,8493269.50,194749,15452,1024,7,27.82,C7
8,0.06,522142,8849864.41,116825,8223,443,1,-29.47,B5
10,1.75,13713065,7853989.12,2162028,179803,16089,1036,25.13,E3
10,0.95,7379288,7743219.31,1915510,145814,8118,651,-24.02,C4
12,17.90,134483206,7513867.81,21448833,1852024,187542,119869,25.81,C7
12,7.34,53776614,7330509.00,14258797,1052505,86673,37053,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.11,934699,8654620.37,178275,14443,1155,5,23.04,F3
8,0.18,1490501,8056762.16,316323,22521,1358,21,-24.37,H4
10,1.30,10220669,7849976.19,1940519,167489,14691,918,21.16,F3
10,1.64,11887697,7253018.30,2868115,227571,16477,1702,-22.74,C5
12,13.38,99783406,7460441.57,19042821,1569825,143813,84015,22.32,F6
12,10.30,74165554,7198442.59,20956402,1645942,141397,93513,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.09,661289,7347655.56,171379,13503,800,7,-6.53,D6
8,0.05,378743,7890479.17,72371,6938,358,1,4.22,D3
10,0.65,4658698,7200460.59,1415398,124243,9019,507,-6.29,D6
10,0.47,3378210,7233854.39,675511,70815,4771,161,6.27,F8
12,4.81,33202992,6902908.94,11586817,1067510,90669,38041,-6.76,D6
12,3.87,25283904,6533308.53,5138573,579709,46392,11120,5.67,F8

