探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.14,953591,6860366.91,200411,14622,720,6,-13.83,F4
8,0.17,1077103,6527896.97,229683,16861,1090,10,12.11,C3
10,1.99,12078964,6075937.63,2849668,213270,16566,1466,-10.51,F4
10,1.58,10167964,6443576.68,2206266,174151,15838,1062,8.42,C3
12,15.18,92410784,6087265.92,23652979,1958546,182590,134593,-7.68,F4
12,14.53,89257648,6144681.81,19982887,1648713,173669,95926,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.18,1280670,6922540.54,219815,16314,953,5,-9.59,C5
8,0.16,1132647,6906384.15,279286,17333,1574,19,10.52,C6
10,1.80,11474569,6374760.56,2019632,174583,12190,970,-7.81,C5
10,1.49,9454460,6328286.48,2597210,189577,21076,1128,7.47,C6
12,20.30,115947330,5713098.30,20989043,1910558,160785,126629,-7.49,F3
12,23.49,128609715,5474384.50,39002680,2827401,374128,295396,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.06,381335,6933363.64,91086,7288,597,1,16.96,D3
8,0.12,802571,6472346.77,182621,13525,794,12,-17.52,D6
10,0.47,2932746,6226636.94,743513,65299,5294,134,13.49,D3
10,1.45,9109231,6277898.69,2105725,174063,14391,973,-15.50,E3
12,5.25,32132672,6120508.95,8132521,708215,66291,16669,14.34,D3
12,15.12,91633865,6061242.56,21547472,1734128,174285,105164,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.10,600320,6003200.00,212235,18279,918,11,-24.11,C3
8,0.10,669139,6691390.00,97472,10198,608,1,22.51,F5
10,0.93,5457495,5887265.37,2145999,196582,14252,1239,-23.35,C5
10,2.44,14989638,6143294.26,2690544,288168,26417,2687,21.81,C4
12,8.22,46738138,5687288.63,19570016,1741179,181596,106169,-23.45,C5
12,23.95,139902135,5841425.26,24694829,2647373,272686,255517,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.06,422218,6597156.25,116612,9085,310,3,-5.27,F6
8,0.21,1171931,5527976.42,228590,18319,1288,11,4.31,D3
10,0.68,3709378,5479140.32,1132734,94219,4872,272,-5.80,F6
10,1.73,9300624,5363681.66,1969288,180278,16316,1081,2.86,D3
12,5.85,34460708,5889712.53,11297747,979780,78298,32007,-5.52,F6
12,13.51,78512967,5812761.31,16566780,1670330,157622,96882,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.15,993560,6493856.21,239611,20318,999,10,17.08,F3
8,0.15,949749,6374154.36,222714,18518,1105,12,-15.80,D6
10,1.53,9299367,6062168.84,2426547,232808,17378,1722,17.82,H8
10,1.22,7428219,6113760.49,1917852,185683,16090,1196,-14.75,D6
12,13.99,82299985,5881511.11,22120573,2108825,211790,158970,17.96,E2
12,8.73,49159805,5632424.95,11463532,1342821,141863,62147,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.09,601710,6470000.00,151716,12240,661,4,-28.28,E6
8,0.17,1121576,6558923.98,195781,16340,1392,7,27.46,G6
10,0.91,5554498,6130792.49,1554190,132247,8205,557,-24.56,E6
10,1.64,10424818,6348853.84,1917434,168827,14965,898,23.45,C4
12,10.59,62647787,5914632.46,18561886,1540028,125237,81119,-24.23,E6
12,18.96,115522707,6092969.78,21077887,1872595,187328,123125,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.17,1142870,6802797.62,187197,15452,1024,7,27.82,C7
8,0.07,508679,6782386.67,113588,8223,443,1,-29.47,B5
10,2.02,12797171,6341511.89,2014247,179803,16180,1040,25.13,E3
10,1.17,7452710,6348134.58,1933570,145814,8191,652,-24.02,C4
12,21.28,133256696,6261474.30,21393820,1852024,187144,119850,25.81,C7
12,8.62,53721521,6229304.38,14246602,1052505,86212,37025,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.14,934699,6872786.76,178275,14443,1155,5,23.04,F3
8,0.22,1490501,6805940.64,316323,22521,1358,21,-24.37,H4
10,1.59,10220669,6424053.43,1940519,167489,14691,918,21.16,F3
10,1.90,11887697,6246819.23,2868115,227571,16477,1702,-22.74,C5
12,15.95,100238240,6283347.33,19121617,1569825,143846,84021,22.32,F6
12,12.23,74131164,6060428.71,20956238,1645942,141113,93510,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.10,661289,6297990.48,171379,13503,800,7,-6.53,D6
8,0.06,378743,5917859.38,72371,6938,358,1,4.22,D3
10,0.77,4658639,6065936.20,1415393,124243,9019,507,-6.29,D6
10,0.56,3378210,6021764.71,675511,70815,4771,161,6.27,F8
12,5.75,33174217,5767422.98,11591403,1067510,90422,38040,-6.76,D6
12,4.45,25070732,5630076.80,5135153,579709,45754,11117,5.67,F8

