探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C3B3C5D6E3F3C7B6B5C6A7F6F5C4A2A5F2D7E7B7G3G6E6E2E1F4H6D2A8B4A4E8A3G1D1G7F7F1F8B8H1
18,0.90,4060353,4496514.95,1429243,1552488,176388,134612,6868,52466,4.00,A6
17,0.46,2152063,4719436.40,742150,788080,99732,51474,1843,18564,-4.00,D8

F5F6C4F4E6C3D3D7G7C5B3B2B1F3B5A5A6D2G4H3F2A2E2G3B4C2A1A7G6G2B6H6H7E3D1C1F1F8C8E1C6F7
18,3.74,16920192,4524115.51,6188742,5293818,595309,899022,79889,448282,20.00,H8
17,3.08,13980906,4534838.14,5128961,4522676,522067,681181,56943,289864,-20.00,D6

D3C5F6F3F5E3B5G7G2D2C2A5D1G3G4H3E2F1C4B3F7E7G1E1F2B1E6C1B4G5D6F4G8F8G6A3D8C3A2H2A1H6
18,0.83,4547796,5479272.29,1155761,1419385,141480,145716,4954,59299,46.00,E8
17,0.37,2280934,6215079.02,566102,719364,75599,61157,1478,25025,-46.00,C6

D3E3F2C5D6C2C3C4B3E7D1E2D2A3B4B1F8A4F3G3F5C6G4G6B6E1F1H5A5A7A6B5C1B2H4E6A8C7H6H3C8H7
18,0.16,690036,4367316.46,236237,280608,20990,20142,170,9183,42.00,A1
17,0.04,183372,4472487.80,63022,73373,3732,4611,8,2269,-42.00,A2

E6F6C4C3C2C5G6E3F4D3E2E7E8B3A2D2D1F5C6B5D6F8G4C7D8H6B7D7A4C8B4F7G7A6A8B6H7H5G8B8H4B2
18,0.19,845991,4548338.71,278577,346244,20833,20161,197,4218,-14.00,A1
17,0.13,567355,4538840.00,184616,236297,15742,13220,116,2611,14.00,G5

F5F4C3C4E3F6G4F3C5B5E2G2E6C6C7B4A3E1F7E7D6C2B3D7C1B6C8D3G3H5F1E8H4B2H3G1A6A4F8D1F2G8
18,0.36,1491757,4120875.69,556567,628381,60628,40689,1088,22493,20.00,H1
17,0.28,1185003,4187289.75,441634,497970,48586,31175,698,18875,-20.00,D2

D3C3C4E3C2B3A4D6E6A3D7C7F5A5C6D2B8F4F3G6D1G3A2B1B4D8C1B5C5G5H7G4G2H4E7A1A6E1F2H2H3H6
18,0.51,2597108,5102373.28,779670,992668,91144,95664,2190,29768,-34.00,B2
17,0.33,1634757,4953809.09,508317,645780,48282,49423,809,12758,34.00,C8

D3C3E6D6C4E3D7E7F4B3F8F5B4G3F7C5G4F3C6D8H2H4F6B5C7B8A3B2C8D2F2E2A5B7B1E1E8G7C2A2A1B6
18,9.11,46653485,5120566.90,15108537,9627004,1471261,2788232,374593,4062210,50.00,H8
17,1.20,6317485,5247080.56,2049096,2156221,244592,242564,13913,81263,-50.00,G6

C4C3D3C5C6C7B7E6B5F3C8A8F6A5B3D7F4G6F2E2D1F1C2A2A4G4G7D2G5B1E7F7E1A3C1G8E8F5E3D8H3B6
18,0.76,3366290,4411913.50,1194000,1304240,160839,103247,5175,37251,22.00,F8
17,0.43,1988697,4614146.17,699097,761970,100424,49083,1853,17165,-22.00,H4

E6F6D3C5C4D6C6B4F5F4F3E2E7C7G6G2B5B6A5H7H1A4D8G7F7F8H6G3C2B1D1H5B7F2D7A6F1G8D2E8B2C8
18,1.27,5424836,4285020.54,1912213,2068995,203061,199420,10032,88686,12.00,H8
17,0.42,1846841,4376400.47,641496,730070,61689,51966,1179,27678,-12.00,E3

F5D6C7D7C5B7D3F4E6C4C6D2B8G6E8B6A6A7C3B3A8F7G5C8F6E7B2H5B4A3A4C1E1G7H7C2F3D8G4A5
20,0.81,3568005,4410389.37,1258440,1412627,128185,132685,4269,48783,4.00,B5
19,0.73,3170130,4348600.82,1125750,1268787,120317,116234,3686,45131,-4.00,H8

D3C3B3D2E1D6E6F6C2D1C1F3D7C5B4B2A2C6C7A1A3A4G7G6H6C4E3E7B5D8F7G5F8E8G4H4B7H5B6E2
20,3.02,13262302,4398773.47,4780677,4573732,411638,726037,49153,311894,0.00,C8
19,1.80,8075321,4488783.21,2922166,2988075,253454,356889,18680,116661,0.00,A8

C4E3F5E6F6B4C3D2A4G4F2E2B2C6F4G2C1B3C5C2E7D7G6E8D8G5D6H7E1B5A5F3G1F8H5C8D1H6G3D3
20,11.21,60267575,5377192.63,17818486,10516746,2049059,3367093,557412,6855016,-30.00,H8
19,10.55,56693425,5375312.89,16634058,10281764,1948796,3235857,521855,6132756,30.00,C7

C4C3C2E3F3G3F5C6C5B6G2B4B5F4A7B2A1G1A4A6H2E6F2G5H6D3D6H5B7A8E7H3B3C7D2D1B8A3A2G4
20,18.56,94932751,5114084.52,29572040,11976326,1819356,4073752,579100,15514625,-34.00,H4
19,6.79,35077161,5166764.03,10694125,8623841,902397,2229741,200235,2222639,34.00,H1

E6D6C3F5G6E7C5C4C6D3F8H7D2E8F3B6D7F4D8C7G5F6A5B8E3H4B5D1C1C8B7G4H5G3F2E2E1A6F7C2
20,1.35,5844942,4329586.67,1988963,2243547,230042,274480,14029,118209,40.00,A8
19,0.29,1280760,4341559.32,453220,529405,51679,37254,680,16083,-40.00,A4

C4E3F6B4C3D2A4A5B2E6F3G3E1B3F4D3E2F2A6G4H4C1A3G5F5G6C2G1H6H2C6B1E7C5B5G7H3E8
22,14.19,61817017,4357914.49,21947589,11186551,1286764,3594868,363338,7825731,-8.00,D1
21,5.76,24921577,4322910.15,8935199,7373827,626890,1696023,113051,1243106,8.00,A1

F5F6E6F4G5G6G3E7C4F3D6B3H6H3C5H5C3D3D8H7A2E3B2E8D2C6G4B5F7A3C7D1F2F8C1B8G7E1
22,31.58,134062930,4244646.97,48804428,12313114,3333246,4328294,1061884,30942960,-6.00,C8
21,20.02,83506685,4171163.09,30632919,11871948,2700725,4015902,801200,14589212,6.00,D7

