探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C3B3C5D6E3F3C7B6B5C6A7F6F5C4A2A5F2D7E7B7G3G6E6E2E1F4H6D2A8B4A4E8A3G1D1G7F7F1F8B8H1
18,0.89,13015333,14640419.57,3220362,220071,377666,5614,2502,3087319,4.00,A6
17,0.16,3196761,19979756.25,6065,75319,14536,1231,22,2438859,-4.00,D8

F5F6C4F4E6C3D3D7G7C5B3B2B1F3B5A5A6D2G4H3F2A2E2G3B4C2A1A7G6G2B6H6H7E3D1C1F1F8C8E1C6F7
18,1.35,24307904,18019202.37,1530128,604508,170142,33131,3404,15523142,20.00,H8
17,1.03,20102893,19460690.22,278787,491923,102787,26428,1280,14803293,-20.00,D6

D3C5F6F3F5E3B5G7G2D2C2A5D1G3G4H3E2F1C4B3F7E7G1E1F2B1E6C1B4G5D6F4G8F8G6A3D8C3A2H2A1H6
18,0.48,10888364,22826758.91,1536521,157429,113682,13879,381,3583365,46.00,E8
17,0.09,2119391,23036858.70,4783,48138,5846,6073,4,1628001,-46.00,C6

D3E3F2C5D6C2C3C4B3E7D1E2D2A3B4B1F8A4F3G3F5C6G4G6B6E1F1H5A5A7A6B5C1B2H4E6A8C7H6H3C8H7
18,0.11,1613692,14669927.27,323583,54455,28788,3328,39,524897,42.00,A1
17,0.02,236299,14768687.50,9448,11954,2541,1672,3,153783,-42.00,A2

E6F6C4C3C2C5G6E3F4D3E2E7E8B3A2D2D1F5C6B5D6F8G4C7D8H6B7D7A4C8B4F7G7A6A8B6H7H5G8B8H4B2
18,0.07,1096105,15438098.59,10242,51842,5264,1518,17,798585,-14.00,A1
17,0.09,1379362,14831849.46,273367,45145,23911,1166,43,401150,14.00,G5

F5F4C3C4E3F6G4F3C5B5E2G2E6C6C7B4A3E1F7E7D6C2B3D7C1B6C8D3G3H5F1E8H4B2H3G1A6A4F8D1F2G8
18,0.24,3759721,15731050.21,839767,108200,53185,6596,224,1049608,20.00,H1
17,0.13,1880679,14140443.61,98526,83233,23315,6950,40,1220836,-20.00,D2

D3C3C4E3C2B3A4D6E6A3D7C7F5A5C6D2B8F4F3G6D1G3A2B1B4D8C1B5C5G5H7G4G2H4E7A1A6E1F2H2H3H6
18,0.21,3523495,17021714.98,2896,161791,18794,13109,82,2658162,-34.00,B2
17,0.32,5396875,16708591.33,1236668,120156,113570,6770,344,1015502,34.00,C8

D3C3E6D6C4E3D7E7F4B3F8F5B4G3F7C5G4F3C6D8H2H4F6B5C7B8A3B2C8D2F2E2A5B7B1E1E8G7C2A2A1B6
18,5.22,114806478,22002008.05,17668445,1574747,940820,118056,44103,47194572,50.00,H8
17,0.38,8301152,22077531.91,17574,184352,16572,11750,74,6384783,-50.00,G6

C4C3D3C5C6C7B7E6B5F3C8A8F6A5B3D7F4G6F2E2D1F1C2A2A4G4G7D2G5B1E7F7E1A3C1G8E8F5E3D8H3B6
18,0.61,8832779,14479965.57,1677736,211542,241547,10290,1336,3320867,22.00,F8
17,0.16,2732954,17188389.94,23622,90528,23776,3692,53,2025454,-22.00,H4

E6F6D3C5C4D6C6B4F5F4F3E2E7C7G6G2B5B6A5H7H1A4D8G7F7F8H6G3C2B1D1H5B7F2D7A6F1G8D2E8B2C8
18,0.46,7128127,15395522.68,436628,253537,71443,6950,559,4494527,12.00,H8
17,0.19,2789222,14680115.79,174638,97652,34487,3399,107,1748766,-12.00,E3

F5D6C7D7C5B7D3F4E6C4C6D2B8G6E8B6A6A7C3B3A8F7G5C8F6E7B2H5B4A3A4C1E1G7H7C2F3D8G4A5
20,0.30,4222610,14075366.67,16216,218337,37240,6353,236,3127652,4.00,B5
19,0.39,4937364,12791098.45,455538,211643,111854,6184,774,2746351,-4.00,H8

D3C3B3D2E1D6E6F6C2D1C1F3D7C5B4B2A2C6C7A1A3A4G7G6H6C4E3E7B5D8F7G5F8E8G4H4B7H5B6E2
20,1.49,21265390,14243395.85,3272930,701024,448694,39111,9976,9527602,0.00,C8
19,0.56,8804849,15611434.40,35664,411084,60207,19622,663,6551000,0.00,A8

