探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C3B3C5D6E3F3C7B6B5C6A7F6F5C4A2A5F2D7E7B7G3G6E6E2E1F4H6D2A8B4A4E8A3G1D1G7F7F1F8B8H1
18,0.58,6853701,11776118.56,1213569,322868,389582,4733,4756,2451312,4.00,A6
17,0.14,3181034,21938165.52,3932,171757,28013,1055,102,2321442,-4.00,D8

F5F6C4F4E6C3D3D7G7C5B3B2B1F3B5A5A6D2G4H3F2A2E2G3B4C2A1A7G6G2B6H6H7E3D1C1F1F8C8E1C6F7
18,1.16,22846816,19746599.83,733790,1175885,243958,40953,8724,15282428,20.00,H8
17,0.93,20096850,21656088.36,128151,1035814,172393,31886,4548,14484080,-20.00,D6

D3C5F6F3F5E3B5G7G2D2C2A5D1G3G4H3E2F1C4B3F7E7G1E1F2B1E6C1B4G5D6F4G8F8G6A3D8C3A2H2A1H6
18,0.31,6342717,20199735.67,548607,255044,119509,4044,811,3088100,46.00,E8
17,0.08,2023902,25298775.00,4587,95440,10619,984,23,1506023,-46.00,C6

D3E3F2C5D6C2C3C4B3E7D1E2D2A3B4B1F8A4F3G3F5C6G4G6B6E1F1H5A5A7A6B5C1B2H4E6A8C7H6H3C8H7
18,0.08,1101561,13433670.73,165048,74631,30475,725,63,449174,42.00,A1
17,0.01,231745,16553214.29,9269,18009,3104,216,2,143739,-42.00,A2

E6F6C4C3C2C5G6E3F4D3E2E7E8B3A2D2D1F5C6B5D6F8G4C7D8H6B7D7A4C8B4F7G7A6A8B6H7H5G8B8H4B2
18,0.07,1586362,21437324.32,9257,82663,7197,519,29,1149390,-14.00,A1
17,0.07,1423336,20333371.43,217999,56047,25306,369,55,494888,14.00,G5

F5F4C3C4E3F6G4F3C5B5E2G2E6C6C7B4A3E1F7E7D6C2B3D7C1B6C8D3G3H5F1E8H4B2H3G1A6A4F8D1F2G8
18,0.17,2561388,15066988.24,442022,153361,58238,1386,365,920791,20.00,H1
17,0.11,1850563,16977642.20,66057,136681,31450,1000,132,1192996,-20.00,D2

D3C3C4E3C2B3A4D6E6A3D7C7F5A5C6D2B8F4F3G6D1G3A2B1B4D8C1B5C5G5H7G4G2H4E7A1A6E1F2H2H3H6
18,0.19,4223613,21997984.38,1733,229664,24823,2509,146,3158852,-34.00,B2
17,0.19,3567045,18675628.27,605826,138592,115164,1421,441,1052085,34.00,C8

D3C3E6D6C4E3D7E7F4B3F8F5B4G3F7C5G4F3C6D8H2H4F6B5C7B8A3B2C8D2F2E2A5B7B1E1E8G7C2A2A1B6
18,3.42,72313504,21144299.42,5737768,2965413,1048528,260386,94903,40630336,50.00,H8
17,0.32,7748804,24139576.32,2501,410555,39724,6621,445,5749339,-50.00,G6

C4C3D3C5C6C7B7E6B5F3C8A8F6A5B3D7F4G6F2E2D1F1C2A2A4G4G7D2G5B1E7F7E1A3C1G8E8F5E3D8H3B6
18,0.42,5297668,12465101.18,480071,358348,259433,5519,2762,2845323,22.00,F8
17,0.14,2659862,18731422.54,17029,183358,36540,1386,184,1880672,-22.00,H4

E6F6D3C5C4D6C6B4F5F4F3E2E7C7G6G2B5B6A5H7H1A4D8G7F7F8H6G3C2B1D1H5B7F2D7A6F1G8D2E8B2C8
18,0.40,7315527,18427020.15,172626,426813,86894,6384,1136,5025926,12.00,H8
17,0.16,2975880,18834683.54,84762,163258,41497,1306,240,2004335,-12.00,E3

