探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C3B3C5D6E3F3C7B6B5C6A7F6F5C4A2A5F2D7E7B7G3G6E6E2E1F4H6D2A8B4A4E8A3G1D1G7F7F1F8B8H1
18,0.79,7169063,9029046.60,1216781,218677,377623,3142,2545,2810523,4.00,A6
17,0.19,3487135,18353342.11,5518,74405,14531,360,22,2668852,-4.00,D8

F5F6C4F4E6C3D3D7G7C5B3B2B1F3B5A5A6D2G4H3F2A2E2G3B4C2A1A7G6G2B6H6H7E3D1C1F1F8C8E1C6F7
18,1.49,24567326,16499211.55,747382,580963,172077,11055,3428,17297829,20.00,H8
17,1.17,21778896,18662293.06,150770,471521,103544,7289,1289,16408202,-20.00,D6

D3C5F6F3F5E3B5G7G2D2C2A5D1G3G4H3E2F1C4B3F7E7G1E1F2B1E6C1B4G5D6F4G8F8G6A3D8C3A2H2A1H6
18,0.40,6708805,16984316.46,556632,145587,109181,2752,352,3470572,46.00,E8
17,0.10,2179224,21576475.25,5545,42213,5796,778,4,1684085,-46.00,C6

D3E3F2C5D6C2C3C4B3E7D1E2D2A3B4B1F8A4F3G3F5C6G4G6B6E1F1H5A5A7A6B5C1B2H4E6A8C7H6H3C8H7
18,0.10,1143084,10886514.29,167302,51800,28729,680,39,499656,42.00,A1
17,0.02,242986,15186625.00,10301,10252,2503,246,2,158190,-42.00,A2

E6F6C4C3C2C5G6E3F4D3E2E7E8B3A2D2D1F5C6B5D6F8G4C7D8H6B7D7A4C8B4F7G7A6A8B6H7H5G8B8H4B2
18,0.09,1631909,17933065.93,10811,50664,5390,435,17,1215039,-14.00,A1
17,0.09,1453739,16152655.56,222618,44314,23825,423,45,519360,14.00,G5

F5F4C3C4E3F6G4F3C5B5E2G2E6C6C7B4A3E1F7E7D6C2B3D7C1B6C8D3G3H5F1E8H4B2H3G1A6A4F8D1F2G8
18,0.21,2652124,12335460.47,443304,102039,53162,1047,219,1046898,20.00,H1
17,0.14,1974898,14521308.82,70405,75631,23722,670,40,1350512,-20.00,D2

D3C3C4E3C2B3A4D6E6A3D7C7F5A5C6D2B8F4F3G6D1G3A2B1B4D8C1B5C5G5H7G4G2H4E7A1A6E1F2H2H3H6
18,0.24,4369636,17982041.15,1992,144063,20572,1578,79,3365215,-34.00,B2
17,0.25,3623509,14552244.98,610262,110707,113629,1310,322,1112745,34.00,C8

D3C3E6D6C4E3D7E7F4B3F8F5B4G3F7C5G4F3C6D8H2H4F6B5C7B8A3B2C8D2F2E2A5B7B1E1E8G7C2A2A1B6
18,4.36,77642924,17791687.44,5841564,1547545,919074,82787,43238,46363673,50.00,H8
17,0.41,8454996,20472145.28,2730,174960,16655,2599,70,6568838,-50.00,G6

C4C3D3C5C6C7B7E6B5F3C8A8F6A5B3D7F4G6F2E2D1F1C2A2A4G4G7D2G5B1E7F7E1A3C1G8E8F5E3D8H3B6
18,0.59,5648608,9573911.86,494114,204804,241320,3141,1330,3264727,22.00,F8
17,0.18,2893594,16347988.70,22613,87362,23750,663,53,2160188,-22.00,H4

E6F6D3C5C4D6C6B4F5F4F3E2E7C7G6G2B5B6A5H7H1A4D8G7F7F8H6G3C2B1D1H5B7F2D7A6F1G8D2E8B2C8
18,0.52,7640007,14806215.12,192340,250449,71698,3147,570,5428757,12.00,H8
17,0.21,3110974,14743952.61,91387,95225,34614,811,101,2170297,-12.00,E3

F5D6C7D7C5B7D3F4E6C4C6D2B8G6E8B6A6A7C3B3A8F7G5C8F6E7B2H5B4A3A4C1E1G7H7C2F3D8G4A5
20,0.35,5249079,14827906.78,13103,216915,40396,3912,250,3946585,4.00,B5
19,0.40,5248228,13120570.00,264832,210747,112933,4231,771,3334710,-4.00,H8

D3C3B3D2E1D6E6F6C2D1C1F3D7C5B4B2A2C6C7A1A3A4G7G6H6C4E3E7B5D8F7G5F8E8G4H4B7H5B6E2
20,1.50,16244328,10829552.00,1219131,685875,448479,20118,10021,9837882,0.00,C8
