探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C3B3C5D6E3F3C7B6B5C6A7F6F5C4A2A5F2D7E7B7G3G6E6E2E1F4H6D2A8B4A4E8A3G1D1G7F7F1F8B8H1
18,0.32,6490853,20283915.63,3678,133999,19680,732,69,4720940,4.00,A6
17,0.17,3783468,22255694.12,3678,45154,9877,146,11,2731083,-4.00,D8

F5F6C4F4E6C3D3D7G7C5B3B2B1F3B5A5A6D2G4H3F2A2E2G3B4C2A1A7G6G2B6H6H7E3D1C1F1F8C8E1C6F7
18,1.24,26527395,21427621.16,20811,329289,63776,3600,488,19227658,20.00,H8
17,1.00,21760798,21848190.76,7730,244140,45020,2045,271,15743154,-20.00,D6

D3C5F6F3F5E3B5G7G2D2C2A5D1G3G4H3E2F1C4B3F7E7G1E1F2B1E6C1B4G5D6F4G8F8G6A3D8C3A2H2A1H6
18,0.24,5365211,22638021.10,1760,75437,9618,930,14,3959249,46.00,E8
17,0.09,2126776,24167909.09,2028,24584,3172,426,1,1572467,-46.00,C6

D3E3F2C5D6C2C3C4B3E7D1E2D2A3B4B1F8A4F3G3F5C6G4G6B6E1F1H5A5A7A6B5C1B2H4E6A8C7H6H3C8H7
18,0.05,1008557,18676981.48,275,26540,1723,138,2,741661,42.00,A1
17,0.01,216476,19679636.36,275,5861,280,78,0,158545,-42.00,A2

E6F6C4C3C2C5G6E3F4D3E2E7E8B3A2D2D1F5C6B5D6F8G4C7D8H6B7D7A4C8B4F7G7A6A8B6H7H5G8B8H4B2
18,0.06,1174884,18949741.94,2835,24310,1863,137,1,843895,-14.00,A1
17,0.05,909884,17840862.75,2835,19994,1724,75,1,651178,14.00,G5

F5F4C3C4E3F6G4F3C5B5E2G2E6C6C7B4A3E1F7E7D6C2B3D7C1B6C8D3G3H5F1E8H4B2H3G1A6A4F8D1F2G8
18,0.12,2221719,18989051.28,2583,50999,6112,231,5,1627243,20.00,H1
17,0.08,1485321,17895433.73,2583,33508,4219,167,0,1096199,-20.00,D2

D3C3C4E3C2B3A4D6E6A3D7C7F5A5C6D2B8F4F3G6D1G3A2B1B4D8C1B5C5G5H7G4G2H4E7A1A6E1F2H2H3H6
18,0.21,4209191,20043766.67,3132,68159,16161,612,34,3127089,-34.00,B2
17,0.13,2366022,18777952.38,2531,42134,5999,334,6,1752515,34.00,C8

D3C3E6D6C4E3D7E7F4B3F8F5B4G3F7C5G4F3C6D8H2H4F6B5C7B8A3B2C8D2F2E2A5B7B1E1E8G7C2A2A1B6
18,1.86,42326401,22756129.57,2701,563896,59004,12180,960,31163663,50.00,H8
17,0.35,8145698,23010446.33,1971,97298,8697,1086,21,6008770,-50.00,G6

C4C3D3C5C6C7B7E6B5F3C8A8F6A5B3D7F4G6F2E2D1F1C2A2A4G4G7D2G5B1E7F7E1A3C1G8E8F5E3D8H3B6
18,0.26,4609656,17729446.15,7625,119561,22136,842,60,3356308,22.00,F8
17,0.12,2385976,19883133.33,7838,47625,10493,284,5,1729771,-22.00,H4

E6F6D3C5C4D6C6B4F5F4F3E2E7C7G6G2B5B6A5H7H1A4D8G7F7F8H6G3C2B1D1H5B7F2D7A6F1G8D2E8B2C8
18,0.38,7295247,19248672.82,6047,125092,16419,670,46,5368869,12.00,H8
17,0.09,1681602,17889382.98,2206,34855,2872,169,3,1228880,-12.00,E3

F5D6C7D7C5B7D3F4E6C4C6D2B8G6E8B6A6A7C3B3A8F7G5C8F6E7B2H5B4A3A4C1E1G7H7C2F3D8G4A5
20,0.30,5031286,16770953.33,5994,119459,25153,1315,72,3658047,4.00,B5
19,0.29,4686517,16272628.47,5994,113433,24888,1223,70,3405404,-4.00,H8

D3C3B3D2E1D6E6F6C2D1C1F3D7C5B4B2A2C6C7A1A3A4G7G6H6C4E3E7B5D8F7G5F8E8G4H4B7H5B6E2
20,0.73,12679291,17274238.42,3128,386621,41342,5406,401,9168174,0.00,C8
19,0.41,7175345,17629840.29,3128,209175,26003,1854,122,5187211,0.00,A8

C4E3F5E6F6B4C3D2A4G4F2E2B2C6F4G2C1B3C5C2E7D7G6E8D8G5D6H7E1B5A5F3G1F8H5C8D1H6G3D3
20,3.67,80005052,21793803.32,8183,886309,115946,24983,2590,59499661,-30.00,H8
19,3.65,74968634,20539351.78,8183,824974,107011,21824,2243,55740388,30.00,C7

C4C3C2E3F3G3F5C6C5B6G2B4B5F4A7B2A1G1A4A6H2E6F2G5H6D3D6H5B7A8E7H3B3C7D2D1B8A3A2G4
20,6.16,124508946,20199374.76,9601,1491015,185604,68388,7412,92155240,-34.00,H4
19,2.15,44729568,20804450.23,8510,513085,63851,9836,797,33029189,34.00,H1

E6D6C3F5G6E7C5C4C6D3F8H7D2E8F3B6D7F4D8C7G5F6A5B8E3H4B5D1C1C8B7G4H5G3F2E2E1A6F7C2
20,0.51,7997216,15711622.79,1620,245361,24179,2950,176,5849835,40.00,A8
19,0.12,2149274,18061126.05,1620,57201,7046,396,8,1570346,-40.00,A4

C4E3F6B4C3D2A4A5B2E6F3G3E1B3F4D3E2F2A6G4H4C1A3G5F5G6C2G1H6H2C6B1E7C5B5G7H3E8
22,4.28,75356271,17610720.03,12644,1498558,196721,77959,6660,55456781,-8.00,D1
21,2.00,34032392,16982231.54,9307,676806,109164,18568,1721,25036890,8.00,A1

F5F6E6F4G5G6G3E7C4F3D6B3H6H3C5H5C3D3D8H7A2E3B2E8D2C6G4B5F7A3C7D1F2F8C1B8G7E1
22,8.60,149752341,17419139.35,4648,3000060,388375,261903,28403,109120638,-6.00,C8
21,5.87,111511958,18996926.41,4648,1884823,266169,104740,11920,81191058,6.00,D7

