探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.12,949616,7913466.67,200187,14658,632,7,-13.83,F4
8,0.14,1078364,7929147.06,230453,17045,985,10,12.11,C3
10,1.69,11919383,7036235.54,2813780,211549,15593,1433,-10.51,F4
10,1.51,10204623,6762506.96,2216312,175389,15022,1079,8.42,C3
12,12.61,93221467,7392075.73,23918867,1976084,173325,136811,-7.68,F4
12,12.17,89328591,7338858.94,20045217,1657927,166165,96839,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.17,1284841,7557888.24,220750,16386,922,5,-9.59,C5
8,0.15,1172117,7973585.03,289850,18032,1509,19,10.52,C6
10,1.55,11528551,7452198.45,2029322,175720,11683,980,-7.81,C5
10,1.26,9697177,7665752.57,2670444,194974,21068,1190,7.47,C6
12,15.82,116799645,7384437.31,21130245,1925885,155056,128675,-7.49,F3
12,17.91,129711011,7242783.57,39334397,2852977,369165,300744,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.05,383071,7817775.51,91522,7337,577,1,16.96,D3
8,0.10,808543,8005376.24,183794,13619,750,12,-17.52,D6
10,0.40,2950540,7357955.11,748673,65821,5126,139,13.49,D3
10,1.23,9250119,7520421.95,2136418,176476,14019,998,-15.50,E3
12,4.43,32953717,7443803.25,8250917,718640,64373,17133,14.34,D3
12,12.16,92828290,7630767.78,21806822,1757389,171550,108134,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.07,604419,8279712.33,213672,18424,915,11,-24.11,C3
8,0.08,670106,8073566.27,97402,10258,573,1,22.51,F5
10,0.69,5502165,7951105.49,2167116,198606,14110,1259,-23.35,C5
10,1.98,15175611,7664450.00,2722877,291644,25360,2733,21.81,C4
12,6.10,47638518,7813435.79,19953406,1773805,178423,109956,-23.45,C5
12,19.94,141903582,7116885.60,24987656,2682567,264670,262484,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.05,422154,8615387.76,116901,9133,291,3,-5.27,F6
8,0.15,1183307,8049707.48,231165,18661,1122,12,4.31,D3
10,0.46,3719336,8085513.04,1137400,94706,4709,269,-5.80,F6
10,1.22,9320709,7639925.41,1968833,181162,14660,1091,2.86,D3
12,4.46,35002262,7842765.40,11471999,995464,76484,33000,-5.52,F6
12,10.62,79203874,7461504.85,16767861,1693864,149400,99075,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.12,994639,8152778.69,239604,20327,956,10,17.08,F3
8,0.12,951971,7803040.98,222804,18633,1057,13,-15.80,D6
10,1.21,9348421,7751592.87,2444357,234483,16894,1748,17.82,H8
10,0.94,7410734,7892155.48,1906058,184732,15619,1181,-14.75,D6
12,10.96,83139870,7586446.76,22387283,2136507,208656,162823,17.96,E2
12,6.67,49997429,7490251.54,11641114,1360860,140107,63886,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.07,598675,8090202.70,151231,12234,635,4,-28.28,E6
8,0.14,1115373,7966950.00,194214,16270,1413,8,27.46,G6
10,0.70,5622050,8031500.00,1578143,134450,7885,587,-24.56,E6
10,1.36,10449168,7688865.34,1916310,169156,14695,900,23.45,C4
12,8.18,63914253,7812523.29,18821639,1555804,130102,82893,-24.23,E6
12,15.35,116725932,7605781.72,21123362,1878980,181269,124059,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.15,1207199,7942098.68,197016,15648,988,7,27.82,C7
8,0.06,521275,8274206.35,116880,8252,425,1,-29.47,B5
10,1.76,13965602,7953076.31,2210608,183711,15399,1064,25.13,E3
10,0.91,7395014,8117468.72,1912717,146102,7357,661,-24.02,C4
12,18.14,135958164,7495350.57,21758676,1882047,182474,123792,25.81,C7
12,6.71,54111180,8066663.69,14377785,1063121,83152,37799,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.12,962128,8223316.24,181481,14778,997,5,23.04,F3
8,0.19,1486954,7994376.34,316948,22694,1240,20,-24.37,H4
10,1.31,10035165,7683893.57,1913567,166065,12620,881,21.16,F3
10,1.52,12003123,7917627.31,2909822,231722,15813,1741,-22.74,C5
12,13.16,101870005,7740881.84,19358814,1604955,133360,87601,22.32,F6
12,9.67,74637554,7720061.44,21148162,1665296,135023,95475,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.08,663428,8090585.37,172152,13590,760,7,-6.53,D6
8,0.05,383135,7981979.17,73327,7117,258,1,4.22,D3
10,0.59,4687615,7878344.54,1424158,125204,8772,522,-6.29,D6
10,0.45,3400010,7555577.78,681251,72362,4080,165,6.27,F8
12,4.47,34140692,7634322.90,11917163,1097987,89130,40241,-6.76,D6
12,3.53,25584177,7247642.21,5216333,591969,41911,11494,5.67,F8

