探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.12,933515,7911144.07,197627,14497,651,6,-13.80,F4
8,0.13,1055418,8118600.00,227560,16929,983,11,12.10,C3
10,1.66,11852301,7161511.18,2778933,211272,15432,1450,-10.50,F4
10,1.57,9950402,6317715.56,2171122,172723,14773,1045,8.40,C3
12,12.52,92000501,7351218.62,23499999,1955672,171218,133785,-7.70,F4
12,12.00,87402598,7284763.96,19701167,1638106,166014,94382,7.30,G3

E6F6F5D6C4G4G7B3F4G3
8,0.13,1077410,8040373.13,185471,13931,702,5,-9.60,C5
8,0.14,1139186,8079333.33,282906,17599,1463,17,10.50,C6
10,1.30,9966931,7660976.94,1748398,153444,9643,749,-7.80,C5
10,1.20,9397693,7824890.09,2605302,191537,20302,1146,7.50,C6
12,13.80,103032962,7463993.19,18642395,1724968,138404,102235,-7.50,F3
12,16.80,125082815,7446292.12,38121911,2779606,354425,284252,8.00,G5

E6F6C4E7E8C3C2C5C6B2
8,0.05,377636,8034808.51,90554,7309,591,1,17.00,D3
8,0.10,795256,7873821.78,181604,13505,766,11,-17.50,D6
10,0.39,2830411,7313723.51,726296,64062,5234,135,13.50,D3
10,1.20,9016338,7538744.15,2086617,173134,14043,972,-15.50,E3
12,4.46,31918305,7154966.38,8045559,703558,64420,16405,14.30,D3
12,12.47,92138230,7389384.07,21783547,1735158,168968,105112,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.08,602893,7631556.96,211985,18260,931,13,-24.10,C3
8,0.09,659159,7406280.90,96147,10154,567,1,22.50,F5
10,0.71,5374720,7538176.72,2113614,193731,13761,1189,-23.30,C5
10,2.09,15162960,7244605.83,2759074,284098,24313,2586,21.80,C4
12,6.75,48101263,7125057.47,20135130,1778830,181567,110772,-23.50,C5
12,18.87,135922572,7201577.41,24045245,2592408,250674,243993,21.70,C4

E6F4G3D6C7F5E3F2C3E7
8,0.05,439302,8135222.22,120296,9013,282,2,-5.30,F6
8,0.16,1229848,7883641.03,238291,18138,1130,10,4.30,D3
10,0.50,3864850,7792036.29,1161537,95015,4732,259,-5.80,F6
10,1.28,9614093,7511010.16,1979352,176663,14384,1017,2.90,D3
12,4.66,34099173,7317419.10,11261602,980626,75645,32016,-5.50,F6
12,10.59,76264471,7201555.34,16347683,1658565,147580,94425,2.70,D3

E6F6D3E3G6G7F5G5H7F4
8,0.12,975832,7869612.90,235805,20100,932,10,17.10,F3
8,0.12,938123,7883386.55,219590,18422,1046,12,-15.80,D6
10,1.23,9210701,7512806.69,2422800,232379,16624,1698,17.80,H8
10,0.95,7255002,7652955.70,1861922,181188,14859,1140,-14.80,D6
12,10.99,81307270,7396949.60,22008593,2114976,204824,159247,18.00,E2
12,6.81,48732151,7157020.27,11385703,1338406,138218,61655,-15.70,D6

F5F6D3C5B5F4G4F3G7C2
8,0.07,579381,8160295.77,147778,12050,630,4,-28.30,E6
8,0.14,1078635,7931139.71,189471,15901,1393,7,27.50,G6
10,0.70,5428983,7755690.00,1532203,131220,7508,555,-24.60,E6
10,1.30,9951759,7631717.02,1826776,162846,14080,835,23.40,C4
12,8.08,61908125,7663793.64,18370304,1526894,128223,79857,-24.20,E6
12,15.48,111879965,7229255.94,20520799,1816327,174316,115628,23.20,C4

E6F4F3D6F5E7C5G4C3G2
8,0.15,1182263,7934651.01,194399,15571,990,7,27.80,C7
8,0.06,510200,8098412.70,114698,8130,403,1,-29.50,B5
10,1.91,13654980,7149204.19,2180784,181668,15060,1059,25.10,E3
10,0.90,7154879,7967571.27,1859652,142536,7090,616,-24.00,C4
12,17.58,130630807,7429803.61,21064494,1822470,176428,115826,25.80,C7
12,6.74,52482540,7790194.45,14053518,1045931,81691,36615,-27.20,C6

F5F4C3D6G4B2E6G3C6E7
8,0.12,951613,7864570.25,181406,14860,1010,6,23.00,F3
8,0.18,1443679,8156378.53,309042,22205,1296,17,-24.40,H4
10,1.37,9736784,7127953.15,1876662,164058,12217,873,21.20,F3
10,1.63,11789976,7228679.34,2870063,230006,16146,1728,-22.70,C5
12,13.87,99773373,7193465.97,19107038,1598891,131108,86748,22.30,F6
12,9.57,73028073,7626952.79,20841574,1652891,132958,93935,-22.60,C5

F5F4C3F6G4F3G3H3F7E6
8,0.08,646132,8076650.00,167958,13292,729,7,-6.50,D6
8,0.05,383388,7667760.00,73623,7083,270,2,4.20,D3
10,0.60,4498697,7448173.84,1372995,121287,8434,492,-6.30,D6
10,0.46,3422341,7423733.19,700182,73772,4331,175,6.30,F8
12,4.47,33227171,7431709.01,11554943,1078627,88224,38674,-6.80,D6
12,3.70,25993984,7025401.08,5389355,606577,43445,12055,5.70,F8

