探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.10,777838,7625862.75,170758,13206,625,6,-14.00,F4
8,0.11,869828,7697592.92,198630,15465,910,9,12.00,C3
10,1.34,9152807,6835554.14,2249536,180320,12182,1046,-11.00,F4
10,1.22,8171182,6675802.29,1862141,153075,12787,778,8.00,G3
12,9.63,68553518,7120224.14,18398795,1611435,130069,89308,-8.00,F4
12,9.17,66159297,7211608.57,16349652,1449097,140231,72622,7.00,G3

E6F6F5D6C4G4G7B3F4G3
8,0.12,927247,7663198.35,168631,13449,642,5,-10.00,C5
8,0.13,971944,7713841.27,252540,16387,1104,14,11.00,C6
10,1.10,8134926,7402116.47,1511611,136417,8198,592,-8.00,C5
10,1.01,7525423,7458298.32,2193131,168658,15059,906,7.00,C6
12,12.49,88973482,7125288.86,16535161,1532687,117977,80527,-7.00,F3
12,13.05,94428060,7233095.37,29539116,2207939,269392,173875,8.00,G5

E6F6C4E7E8C3C2C5C6B2
8,0.04,325038,7927756.10,81937,6755,558,3,17.00,D3
8,0.09,658294,7396561.80,157006,12284,723,9,-18.00,D6
10,0.34,2517388,7514591.04,683635,61224,4703,123,13.00,D3
10,0.99,7128384,7214963.56,1750153,150140,11749,684,-15.00,E3
12,3.56,24993035,7018543.95,6659641,615358,53236,12425,14.00,D3
12,9.49,65957348,6947266.48,16572249,1469935,137790,74992,-14.00,E3

E6F4F3D6G4F6E7F8G7F7
8,0.06,486850,7607031.25,178410,15818,784,7,-24.00,E8
8,0.07,507642,6768560.00,102933,11481,753,4,27.00,D8
10,0.68,4683341,6887266.18,1891623,177292,12510,1024,-23.00,C5
10,1.69,11838518,6988499.41,2218299,237316,19365,1861,22.00,C4
12,5.92,41823855,7068422.34,17873255,1658131,154600,95107,-23.00,C5
12,15.67,107319782,6847430.74,19453516,2245528,204007,178356,22.00,C4

E6F4G3D6C7F5E3F2C3E7
8,0.05,373244,7775916.67,108326,8735,253,3,-5.00,F6
8,0.12,872218,7519120.69,179829,15252,885,6,4.00,D3
10,0.48,3407871,7159392.86,1065339,89520,4028,249,-6.00,F6
10,1.10,7855335,7160742.94,1632378,148931,11184,693,3.00,C4
12,3.95,29058634,7354754.24,9944317,888156,64732,26279,-6.00,F6
12,8.10,56485413,6971786.35,12562811,1339725,114114,60796,3.00,C4

E6F6D3E3G6G7F5G5H7F4
8,0.11,803266,7577981.13,204262,18175,838,8,17.00,F3
8,0.11,790192,7316592.59,188730,16571,891,6,-16.00,D6
10,1.09,7503303,6909118.78,2050143,205471,13593,1345,18.00,H8
10,0.87,6098121,7001287.03,1644021,166640,12836,944,-15.00,D6
12,8.77,62306003,7105257.50,17768240,1791750,168514,112856,18.00,E2
12,5.91,40315134,6823820.92,9530940,1170104,123063,46888,-16.00,D6

F5F6D3C5B5F4G4F3G7C2
8,0.07,510195,7849153.85,134211,11452,572,2,-28.00,E6
8,0.12,895040,7521344.54,166101,14502,1164,4,27.00,G6
10,0.60,4497466,7470873.75,1321390,117681,6482,399,-25.00,E6
10,1.15,8043015,6969683.71,1514438,140918,11704,636,23.00,G6
12,6.67,47896114,7176522.92,14863258,1282261,96488,55148,-24.00,E6
12,12.89,89718823,6958723.57,16642242,1585296,140578,86070,23.00,C4

E6F4F3D6F5E7C5G4C3G2
8,0.13,974866,7557100.78,168196,14257,860,6,28.00,C7
8,0.05,400106,7549169.81,95735,7182,338,1,-29.00,B5
10,1.51,10498073,6947765.06,1776244,156087,11947,753,25.00,D7
10,0.91,6751115,7394430.45,1903538,149214,9035,707,-25.00,C6
12,14.62,99438761,6803883.75,16611996,1519639,135428,79302,26.00,C7
12,5.29,39083788,7392432.00,11043317,867561,63933,24633,-27.00,C6

F5F4C3D6G4B2E6G3C6E7
8,0.10,774832,7906448.98,155263,13074,966,5,23.00,F3
8,0.15,1186297,7804585.53,268554,20217,997,12,-24.00,H4
10,0.98,7449264,7570390.24,1509793,134800,9443,615,21.00,F3
10,1.25,9635277,7739178.31,2434274,204355,13740,1335,-23.00,C5
12,10.07,73411980,7290890.85,14925719,1318602,108897,58553,22.00,F6
12,7.23,53966579,7460129.80,15945922,1341178,102386,60660,-23.00,C5

F5F4C3F6G4F3G3H3F7E6
8,0.06,515614,8184349.21,140677,11477,535,5,-7.00,E7
8,0.04,336503,7647795.45,65484,6701,300,1,7.00,D6
10,0.52,3875499,7525240.78,1230221,110878,7931,406,-6.00,D6
10,0.39,2825205,7225588.24,608629,67404,3937,149,6.00,F8
12,3.83,28469849,7427563.01,10380226,989405,82047,32406,-7.00,D6
12,2.71,19207889,7082554.94,4324228,504039,35560,8153,6.00,F8

