探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.00,9798,3266000.00,2264,105,0,3.00,C6
4,0.00,8936,2978666.67,1817,105,0,24.00,F6
6,0.08,214273,2550869.05,50802,3659,69,9.00,F2
6,0.06,187353,2927390.63,38883,3272,43,20.00,G3
8,1.23,3403493,2769318.96,782502,68879,18898,15.00,F2
8,1.52,4329262,2855713.72,856067,96101,23106,20.00,G3

C5C4E3F4D3C2
4,0.00,6552,3276000.00,1490,32,0,21.00,C3
4,0.00,7526,3763000.00,1800,151,0,20.00,C6
6,0.05,147183,2943660.00,31918,1787,29,17.00,G4
6,0.03,84337,3012035.71,20161,1306,17,26.00,H4
8,1.04,2963804,2855302.50,619344,49024,11902,14.00,B4
8,1.13,3258469,2878506.18,719211,62030,15946,22.00,A4

F4F5E6D3E3F2
4,0.01,15046,3009200.00,2967,156,1,27.00,C6
4,0.00,11823,2955750.00,2507,173,0,-1.00,C5
6,0.12,328122,2711752.07,65679,5877,122,30.00,C6
6,0.09,255639,2748806.45,57803,5078,124,2.00,C5
8,2.60,7258237,2797008.48,1387572,146617,62059,33.00,C6
8,1.63,4599112,2814634.03,1033273,103171,33938,-0.00,E7

F4F5G6G3C6C4
4,0.00,2256,inf,568,7,0,35.00,D3
4,0.00,6240,3120000.00,1411,86,0,2.00,E3
6,0.01,37164,3097000.00,9538,302,4,29.00,F3
6,0.05,140901,2818020.00,28746,2602,21,-1.00,E3
8,0.26,731657,2814065.38,183444,11345,976,33.00,F3
8,0.94,2673993,2829622.22,550844,58069,9143,-0.00,E3

C5C6C7E6D6B8
4,0.00,6004,3002000.00,1519,93,0,62.00,F6
4,0.00,4685,4685000.00,996,40,0,-18.00,C4
6,0.04,112228,2953368.42,28319,2385,17,61.00,F6
6,0.03,82249,2741633.33,19692,1361,13,-11.00,C4
8,0.63,1824730,2905621.02,456286,41902,6513,57.00,F3
8,0.68,1958765,2872089.44,446646,32431,6197,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.02,47466,2966625.00,7239,750,2,66.00,D1
4,0.02,51912,2732210.53,8548,1091,2,-31.00,F8
6,0.48,1375623,2859923.08,198959,26141,1231,74.00,A4
