探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.00,10270,3423333.33,0,0,0,3.00,C6
4,0.00,9326,3108666.67,0,0,0,24.00,F6
6,0.08,238465,2908109.76,80,0,0,9.00,F2
6,0.07,208525,3066544.12,53,0,0,20.00,G3
8,1.34,4009647,2985589.72,2041,93,0,15.00,F2
8,1.80,5277526,2928704.77,1536,79,0,20.00,G3
10,22.70,66822877,2943350.09,36335,3009,38,19.00,F2
10,47.21,136901237,2899835.56,33330,3147,30,14.00,H7

C5C4E3F4D3C2
4,0.00,6699,3349500.00,0,0,0,21.00,C3
4,0.00,7930,3965000.00,0,0,0,20.00,C6
6,0.05,163210,3022407.41,61,0,0,17.00,G4
6,0.03,91493,3154931.03,49,0,0,26.00,H4
8,1.20,3480664,2910254.18,1538,41,0,14.00,B4
8,1.29,3823230,2963744.19,1816,84,0,22.00,A4
10,23.84,69555341,2917712.19,31501,2057,34,19.00,C3
10,42.96,129283409,3009600.51,39465,3837,42,17.00,C6

F4F5E6D3E3F2
4,0.01,16083,3216600.00,0,0,0,27.00,C6
4,0.00,12528,4176000.00,0,0,0,-1.00,C5
6,0.13,388876,3062015.75,94,0,0,30.00,C6
6,0.09,295397,3142521.28,80,0,0,2.00,C5
8,2.94,9062314,3087670.87,2850,204,0,33.00,C6
8,1.74,5477645,3157144.09,2204,127,0,-0.00,E7
10,56.86,176020486,3095736.58,68086,7241,154,34.00,F6
10,21.12,68918596,3262573.19,43760,4004,60,-1.00,E7

F4F5G6G3C6C4
4,0.00,2292,inf,0,0,0,35.00,D3
4,0.00,6519,3259500.00,0,0,0,2.00,E3
6,0.01,39189,3562636.36,23,0,0,29.00,F3
6,0.05,158839,3054596.15,49,0,0,-1.00,E3
8,0.26,835783,3252073.93,563,8,0,33.00,F3
8,1.02,3213283,3147191.97,1404,88,0,-0.00,E3
10,4.54,14522701,3202359.65,9880,439,4,33.00,F3
10,19.06,59678000,3131059.81,29384,2960,24,4.00,E3

C5C6C7E6D6B8
4,0.00,6245,6245000.00,0,0,0,62.00,F6
