探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.01,9980,1996000.00,410,14,0,3.00,C6
4,0.00,9127,2281750.00,340,9,0,24.00,F6
6,0.10,220559,2162343.14,10042,757,1,9.00,F2
6,0.09,193392,2125186.81,8138,580,2,20.00,G3
8,1.61,3544772,2204460.20,163936,14504,852,15.00,F2
8,2.01,4532974,2254089.51,186694,19600,1066,20.00,G3

C5C4E3F4D3C2
4,0.00,6644,3322000.00,309,3,0,21.00,C3
4,0.00,7794,2598000.00,291,6,0,20.00,C6
6,0.07,151411,2259865.67,7595,475,4,17.00,G4
6,0.04,87339,2298394.74,4083,149,2,26.00,H4
8,1.38,3082304,2235173.31,149929,12629,707,14.00,B4
8,1.49,3404655,2285003.36,156422,12365,774,22.00,A4

F4F5E6D3E3F2
4,0.01,15475,1934375.00,551,24,0,27.00,C6
4,0.01,12177,2435400.00,412,16,0,-1.00,C5
6,0.16,341972,2192128.21,13989,1303,7,30.00,C6
6,0.12,265622,2289844.83,10681,788,6,2.00,C5
8,3.41,7625790,2236958.05,332578,35355,3480,33.00,C6
8,2.09,4808195,2301673.05,212548,18579,1394,-0.00,E7

F4F5G6G3C6C4
4,0.00,2292,inf,113,0,0,35.00,D3
4,0.00,6447,3223500.00,266,4,0,2.00,E3
6,0.02,37854,2365875.00,1947,48,0,29.00,F3
6,0.07,146869,2225287.88,6411,457,1,-1.00,E3
8,0.32,755815,2361921.88,38469,2384,41,33.00,F3
8,1.23,2807180,2284117.17,131532,12664,526,-0.00,E3

C5C6C7E6D6B8
4,0.00,6165,3082500.00,281,3,0,62.00,F6
4,0.00,4770,2385000.00,193,1,0,-18.00,C4
6,0.05,116965,2249326.92,6365,334,0,61.00,F6
6,0.04,85216,2185025.64,4347,256,0,-11.00,C4
8,0.82,1903742,2327312.96,108145,8447,323,57.00,F3
8,0.88,2025919,2299567.54,111450,8750,392,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.02,50115,2088125.00,916,68,0,66.00,D1
4,0.02,54356,2363304.35,1164,137,0,-31.00,F8
6,0.67,1465453,2187243.28,32326,4373,35,74.00,A4
6,0.61,1406676,2306026.23,40057,5912,55,-40.00,E3
8,15.61,34127522,2185700.14,886668,134837,24894,78.00,A4
8,12.32,28416517,2305599.76,914171,139311,26545,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.01,29308,2093428.57,911,23,0,20.00,C6
4,0.00,6663,3331500.00,226,2,0,22.00,A5
6,0.33,733166,2195107.78,28229,2713,21,20.00,C2
6,0.14,331876,2422452.55,12880,1181,2,23.00,A5
8,7.39,16132206,2182091.98,682903,93501,14601,26.00,B6
8,2.07,5092014,2455165.86,222614,21432,1547,18.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,4157,4157000.00,195,12,0,-90.00,E3
4,0.01,16289,2327000.00,599,26,0,144.00,G6
6,0.04,97731,2505923.08,4269,386,0,-97.00,C1
6,0.18,378322,2137412.43,12318,1440,5,144.00,A8
8,0.92,2340618,2541387.62,98783,14302,308,-105.00,C1
8,5.53,11954861,2161819.35,331360,64908,3352,154.00,B3

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,5780,2890000.00,287,13,0,132.00,A8
4,0.00,9459,2364750.00,353,26,0,-105.00,C3
6,0.05,119996,2448897.96,5848,630,0,145.00,A8
6,0.09,203446,2260511.11,8781,796,1,-114.00,C4
8,0.88,2081395,2357185.73,100566,11658,297,153.00,A8
8,1.70,3876250,2274794.60,176084,19647,969,-119.00,C5

D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.01,22378,2486444.44,573,20,0,-11.00,H6
4,0.01,23739,2373900.00,696,96,0,45.00,G3
6,0.27,588101,2210906.02,19430,2532,18,6.00,H6
6,0.23,524431,2300135.96,20339,2637,20,32.00,H5
8,5.67,12608964,2224195.45,479635,69272,7109,15.00,H6
8,4.16,9517310,2290567.99,420644,59789,5541,24.00,C4

C5C4E3E6C6F4G3E2D2F6D3C2B3A2D6G4C1B6C3B2F5H2G5F3C7B5
4,0.03,57341,2205423.08,1185,53,0,155.00,D1
4,0.02,40856,2553500.00,1001,100,0,-125.00,D7
6,0.82,1777058,2161871.05,46973,6272,69,169.00,D1
6,0.39,1010390,2610826.87,33014,5967,29,-129.00,E1
8,24.21,52088857,2151098.78,1473665,276604,70770,178.00,D1
8,8.51,22506542,2643785.03,860598,160633,23924,-143.00,E1

D6C4C3C6C5B4C7B7A7C2B6D7F3B8A3B5D3A5C8E2D1F6F5F4D8F2
4,0.01,11797,2359400.00,519,27,0,104.00,C1
4,0.00,9602,3200666.67,374,10,0,-50.00,B3
6,0.10,215502,2221670.10,11150,1417,2,108.00,C1
6,0.14,344032,2492985.51,12295,1491,7,-63.00,F1
8,1.52,3365925,2207163.93,191147,29913,1151,118.00,A8
8,0.34,890411,2634352.07,48922,4579,68,-87.00,E6

C5C6F4F3E3C4F2G1D2G4B5F6F1G2E6F7G3A5H2H1G7G6G5D3D6H3
4,0.01,31201,2400076.92,997,86,0,-91.00,B6
4,0.02,47789,2172227.27,1442,95,0,138.00,E1
6,0.31,731252,2381928.34,29006,3622,28,-111.00,B6
6,0.54,1200688,2235918.06,47971,6039,79,160.00,E1
8,5.66,13539019,2392475.53,570158,85627,10484,-128.00,A6
8,11.04,24492103,2218286.66,1043963,220747,35386,176.00,E1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.01,26838,2439818.18,918,38,0,40.00,A3
4,0.02,36337,2271062.50,1051,73,0,13.00,H6
6,0.25,601150,2385515.87,25996,3496,18,38.00,C5
6,0.27,606535,2254776.95,22579,2874,12,14.00,B5
8,5.34,12571483,2352888.45,608396,111943,11789,34.00,C5
8,5.04,11840944,2349393.65,487175,75929,7419,14.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.02,44019,2316789.47,1271,128,0,158.00,H1
4,0.01,22333,2233300.00,768,85,0,-107.00,G8
6,0.34,773148,2260666.67,29742,6262,24,151.00,D8
6,0.29,695958,2433419.58,25334,2232,15,-119.00,D3
8,6.41,14476325,2258397.04,643077,135307,13164,175.00,D8
8,4.84,11786000,2437138.13,533371,63802,8855,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,19976,2497000.00,861,46,0,2.00,A6
4,0.01,19104,2388000.00,566,41,0,32.00,E7
6,0.15,335434,2281863.95,19606,1947,4,14.00,H6
6,0.09,219156,2490409.09,9797,1222,0,13.00,G1
8,1.64,3859816,2356420.02,259801,34795,2100,17.00,H6
8,1.27,3068840,2420220.82,171845,29197,929,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,14405,2881000.00,653,40,0,145.00,H8
4,0.01,11445,2289000.00,473,48,0,-73.00,B4
6,0.06,143414,2472655.17,8400,1505,1,151.00,H8
6,0.05,123204,2324603.77,6702,1566,0,-115.00,B4
8,0.59,1441988,2427589.23,94363,18262,272,186.00,H8
8,0.65,1459379,2252128.09,88423,21764,212,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,4914,2457000.00,336,17,0,-65.00,A5
4,0.00,5997,2998500.00,394,15,0,109.00,A3
6,0.01,40707,2713800.00,3831,476,0,-58.00,A8
6,0.04,94450,2361250.00,7165,1198,2,102.00,B3
8,0.08,215145,2656111.11,24547,3703,20,-75.00,A8
8,0.27,620357,2323434.46,55221,10853,96,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3476,3476000.00,243,3,0,167.00,G7
4,0.00,904,inf,55,4,0,-146.00,G4
6,0.02,40207,2010350.00,3291,253,0,213.00,G7
6,0.00,9113,2278250.00,716,59,0,-234.00,G8
8,0.19,406125,2148809.52,34465,4516,40,326.00,E1
8,0.02,64712,2941454.55,6912,580,2,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.02,38031,2376937.50,1004,155,0,35.00,A1
4,0.01,23721,2156454.55,699,65,0,22.00,A3
6,0.27,624061,2294341.91,25397,5573,22,29.00,A1
6,0.16,365493,2270142.86,16550,3408,8,12.00,A3
8,3.85,8869218,2303094.78,449211,106469,6686,32.00,A1
8,1.76,4021178,2288661.35,234980,45930,1781,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4193,4193000.00,261,19,0,11.00,F7
4,0.00,1737,inf,129,1,0,69.00,E3
6,0.01,29052,2421000.00,2665,417,0,38.00,E3
6,0.00,7089,3544500.00,881,124,0,33.00,F8
8,0.04,107424,2387200.00,13943,2216,10,38.00,E3
8,0.01,20858,2607250.00,3407,763,0,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1601,inf,158,28,0,-92.00,F8
4,0.00,1410,inf,144,5,0,129.00,H6
6,0.00,7007,3503500.00,976,251,0,-114.00,F8
6,0.00,7537,3768500.00,1157,114,1,134.00,H6
8,0.01,27760,2776000.00,5770,1428,1,-121.00,F8
