探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.00,9798,2449500.00,2264,105,0,3.00,C6
4,0.00,8976,2244000.00,3851,232,0,24.00,F6
6,0.10,214273,2060317.31,50802,3659,69,9.00,F2
6,0.09,189667,2061597.83,85149,7846,197,20.00,G3
8,1.64,3403493,2075300.61,782502,68879,18898,15.00,F2
8,2.15,4426122,2063460.14,1532787,206330,78166,20.00,G3

C5C4E3F4D3C2
4,0.00,6552,2184000.00,1490,32,0,21.00,C3
4,0.00,7536,2512000.00,3096,187,0,20.00,C6
6,0.07,147183,2044208.33,31918,1787,29,17.00,G4
6,0.04,85531,2036452.38,49544,3708,94,26.00,H4
8,1.46,2963804,2031394.11,619344,49024,11902,14.00,B4
8,1.66,3373527,2037153.99,1258384,160738,53072,22.00,A4

F4F5E6D3E3F2
4,0.01,15046,2149428.57,2967,156,1,27.00,C6
4,0.01,11874,1979000.00,5213,365,1,-1.00,C5
6,0.17,328122,1953107.14,65679,5877,122,30.00,C6
6,0.13,263744,2028800.00,118000,14554,445,2.00,C5
8,3.71,7258237,1953765.01,1387572,146617,62059,33.00,C6
8,2.43,4835849,1986790.88,2266456,351316,179889,-0.00,E7

F4F5G6G3C6C4
4,0.00,2256,2256000.00,568,7,0,35.00,D3
4,0.00,6251,2083666.67,1790,100,0,2.00,E3
6,0.02,37164,2064666.67,9538,302,4,29.00,F3
6,0.07,143312,1936648.65,34858,3870,40,-1.00,E3
8,0.37,731657,1972121.29,183444,11345,976,33.00,F3
8,1.41,2763954,1957474.50,674839,110896,15469,-0.00,E3

C5C6C7E6D6B8
4,0.00,6004,3002000.00,1519,93,0,62.00,F6
4,0.00,4685,2342500.00,2377,132,0,-18.00,C4
6,0.05,112228,2078296.30,28319,2385,17,61.00,F6
6,0.04,83458,2035560.98,45021,4420,63,-11.00,C4
8,0.90,1824730,2018506.64,456286,41902,6513,57.00,F3
8,1.00,2012066,2010055.94,845882,99980,23249,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.02,47466,2063739.13,7239,750,2,66.00,D1
4,0.03,52486,2018692.31,15050,2009,10,-31.00,F8
6,0.70,1375623,1956789.47,198959,26141,1231,74.00,A4
6,0.68,1382828,2021678.36,453578,106739,6741,-40.00,E3
8,16.29,31895478,1957738.64,4185838,655420,638646,78.00,A4
8,13.68,28197609,2061379.41,7706693,2221350,2803381,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.01,28136,2009714.29,4279,294,0,20.00,C6
4,0.00,6621,2207000.00,5853,341,2,22.00,A5
6,0.35,693590,1993074.71,112726,11763,373,20.00,C2
6,0.16,327938,2075556.96,192772,23894,1137,23.00,A5
8,7.59,15150968,1996174.97,2387091,301143,192555,26.00,B6
8,2.42,5068490,2092687.86,3423596,593380,427854,18.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,4042,4042000.00,1530,88,0,-90.00,E3
4,0.01,15464,2209142.86,3555,461,0,144.00,G6
6,0.04,93096,2216571.43,31783,3462,35,-97.00,C1
6,0.18,353872,1999276.84,75396,13422,192,144.00,A8
8,1.03,2206703,2138278.10,682613,98398,14559,-105.00,C1
8,5.53,11073166,2002018.80,1947097,543449,128229,154.00,B3

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,5464,2732000.00,1507,236,0,132.00,A8
4,0.00,9373,2343250.00,3010,336,0,-105.00,C3
6,0.05,113286,2097888.89,28749,4004,22,145.00,A8
6,0.10,201181,1991891.09,64196,9097,135,-114.00,C4
8,0.95,1956806,2057629.86,469917,69297,6865,153.00,A8
8,1.88,3837809,2040302.50,1154098,199709,45614,-119.00,C5

D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.01,21049,2104900.00,3647,500,0,-11.00,H6
4,0.01,23413,1801000.00,7655,974,3,45.00,G3
6,0.28,552483,1987348.92,100476,14736,336,6.00,H6
6,0.26,519479,1967723.48,192352,32988,1240,32.00,H5
8,5.88,11830845,2012390.71,2067109,322083,142395,15.00,H6
8,4.60,9572496,2079621.12,3549383,762471,479294,24.00,C4

C5C4E3E6C6F4G3E2D2F6D3C2B3A2D6G4C1B6C3B2F5H2G5F3C7B5
4,0.03,54258,2009555.56,6990,706,0,155.00,D1
4,0.02,39568,2198222.22,17438,3119,9,-125.00,D7
6,0.83,1640653,1971938.70,209949,31531,1481,169.00,D1
6,0.45,1046519,2341205.82,483851,158944,7921,-129.00,E1
8,24.06,47197904,1961349.07,5158079,1123663,1033509,178.00,D1
8,10.61,24267952,2288134.26,8974541,4262275,4182879,-143.00,E1

D6C4C3C6C5B4C7B7A7C2B6D7F3B8A3B5D3A5C8E2D1F6F5F4D8F2
4,0.01,11461,1910166.67,2019,152,1,104.00,C1
4,0.00,9303,2325750.00,4709,412,1,-50.00,B3
6,0.11,201787,1801669.64,34027,4353,36,108.00,C1
6,0.16,326404,2014839.51,121382,21824,450,-63.00,F1
8,1.57,3134319,1991308.13,528392,73275,8557,118.00,A8
8,0.40,905439,2292250.63,796872,147102,20785,-87.00,E6

C5C6F4F3E3C4F2G1D2G4B5F6F1G2E6F7G3A5H2H1G7G6G5D3D6H3
4,0.01,30133,2152357.14,6755,903,1,-91.00,B6
4,0.02,45989,1999521.74,14508,1812,6,138.00,E1
6,0.34,693275,2069477.61,165285,25012,828,-111.00,B6
6,0.58,1163458,2012903.11,358499,61243,4077,160.00,E1
8,6.08,12652838,2080716.66,2896883,521257,290605,-128.00,A6
8,11.81,23803015,2016008.72,5677791,1526406,1349502,176.00,E1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.01,25781,2148416.67,5643,594,2,40.00,A3
4,0.02,35592,1977333.33,11694,1197,7,13.00,H6
6,0.28,563586,2012807.14,127419,20983,464,38.00,C5
6,0.29,596274,2035064.85,246627,49718,1914,14.00,B5
8,5.54,11729468,2117997.11,2555395,522914,220479,34.00,C5
8,5.58,11599452,2077265.76,4476072,1131264,765331,14.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.02,40772,2038600.00,7275,1239,3,158.00,H1
4,0.01,21015,2101500.00,11601,2197,5,-107.00,G8
6,0.35,717487,2044122.51,129147,25196,556,151.00,D8
6,0.33,689482,2108507.65,295663,53089,2859,-119.00,D3
8,6.57,13511585,2057810.69,2440616,429902,204016,175.00,D8
8,5.45,11849014,2174530.01,4712200,1164402,897772,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,18865,2096111.11,3987,317,0,2.00,A6
4,0.01,18539,2059888.89,7132,580,2,32.00,E7
6,0.15,315127,2100846.67,75857,9730,169,14.00,H6
6,0.10,214401,2144010.00,128233,20721,494,13.00,G1
8,1.70,3600250,2114063.42,918383,139979,26636,17.00,H6
8,1.39,3055536,2206163.18,1638640,374171,90197,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,13199,2199833.33,3339,741,1,145.00,H8
