探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.00,9798,2449500.00,2264,105,0,3.00,C6
4,0.00,8936,2234000.00,3851,210,0,24.00,F6
6,0.11,214273,2021443.40,50802,3659,69,9.00,F2
6,0.09,187353,2036445.65,85115,6931,196,20.00,G3
8,1.68,3403493,2024683.52,782502,68879,18898,15.00,F2
8,2.14,4329262,2022074.73,1529646,164980,77576,20.00,G3

C5C4E3F4D3C2
4,0.00,6552,2184000.00,1490,32,0,21.00,C3
4,0.00,7526,2508666.67,3096,183,0,20.00,C6
6,0.07,147183,2016205.48,31918,1787,29,17.00,G4
6,0.05,84337,1833413.04,49527,3093,94,26.00,H4
8,1.51,2963804,1962784.11,619344,49024,11902,14.00,B4
8,1.62,3258469,2010159.78,1253732,111054,52296,22.00,A4

F4F5E6D3E3F2
4,0.01,15046,2149428.57,2967,156,1,27.00,C6
4,0.01,11823,2364600.00,5213,329,1,-1.00,C5
6,0.17,328122,1953107.14,65679,5877,122,30.00,C6
6,0.13,255639,1981697.67,117692,10955,438,2.00,C5
8,3.67,7258237,1975568.05,1387572,146617,62059,33.00,C6
8,2.23,4599112,2063307.31,2253272,249788,176409,-0.00,E7

F4F5G6G3C6C4
4,0.00,2256,2256000.00,568,7,0,35.00,D3
4,0.00,6240,2080000.00,1790,93,0,2.00,E3
6,0.02,37164,2064666.67,9538,302,4,29.00,F3
6,0.07,140901,2012871.43,34796,2904,39,-1.00,E3
8,0.36,731657,2038041.78,183444,11345,976,33.00,F3
8,1.29,2673993,2074470.91,672403,69414,15098,-0.00,E3

C5C6C7E6D6B8
4,0.00,6004,3002000.00,1519,93,0,62.00,F6
4,0.00,4685,2342500.00,2377,133,0,-18.00,C4
6,0.05,112228,2078296.30,28319,2385,17,61.00,F6
6,0.04,82249,2056225.00,44997,3746,63,-11.00,C4
8,0.87,1824730,2087791.76,456286,41902,6513,57.00,F3
8,0.94,1958765,2086011.71,843903,74333,23064,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.02,47466,2063739.13,7239,750,2,66.00,D1
4,0.03,51912,2076480.00,15050,1841,10,-31.00,F8
6,0.68,1375623,2025954.34,198959,26141,1231,74.00,A4
6,0.64,1315174,2067883.65,452119,71972,6590,-40.00,E3
8,15.95,31895478,1999591.12,4185838,655420,638646,78.00,A4
8,13.08,26677846,2040214.59,7670854,1556070,2740131,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.01,28136,2009714.29,4279,294,0,20.00,C6
4,0.00,6620,2206666.67,5853,342,2,22.00,A5
6,0.35,693590,1970426.14,112726,11763,373,20.00,C2
6,0.15,319870,2063677.42,192376,19607,1126,23.00,A5
8,7.64,15150968,1983630.27,2387091,301143,192555,26.00,B6
8,2.31,4851546,2100236.36,3415750,461250,424411,18.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,4042,4042000.00,1530,88,0,-90.00,E3
4,0.01,15417,1927125.00,3555,447,0,144.00,G6
6,0.04,93096,2165023.26,31783,3462,35,-97.00,C1
6,0.17,350095,2023670.52,75296,12015,191,144.00,A8
8,1.08,2206703,2041353.38,682613,98398,14559,-105.00,C1
8,5.42,10799743,1992204.94,1939082,441936,126560,154.00,B3

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,5464,2732000.00,1507,236,0,132.00,A8
4,0.00,9262,2315500.00,3010,324,0,-105.00,C3
6,0.05,113286,2097888.89,28749,4004,22,145.00,A8
6,0.10,195171,1951710.00,63954,7599,131,-114.00,C4
8,0.94,1956806,2075085.90,469917,69297,6865,153.00,A8
8,1.84,3689025,2007086.51,1145820,151015,44472,-119.00,C5

D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.01,21049,2104900.00,3647,500,0,-11.00,H6
4,0.01,23247,2113363.64,7655,934,3,45.00,G3
6,0.27,552483,2031187.50,100476,14736,336,6.00,H6
6,0.25,504550,2018200.00,191802,25773,1219,32.00,H5
8,5.88,11830845,2011706.34,2067109,322083,142395,15.00,H6
8,4.55,9090771,1999729.65,3532784,541428,469548,24.00,C4

C5C4E3E6C6F4G3E2D2F6D3C2B3A2D6G4C1B6C3B2F5H2G5F3C7B5
4,0.03,54258,1937785.71,6990,706,0,155.00,D1
4,0.02,38552,2141777.78,17438,2622,9,-125.00,D7
6,0.86,1640653,1907736.05,209949,31531,1481,169.00,D1
6,0.45,945248,2119390.13,482045,85437,7563,-129.00,E1
8,24.10,47197904,1958744.36,5158079,1123663,1033509,178.00,D1
8,9.74,21245348,2181247.23,8914561,2454380,3987247,-143.00,E1

D6C4C3C6C5B4C7B7A7C2B6D7F3B8A3B5D3A5C8E2D1F6F5F4D8F2
4,0.01,11461,2292200.00,2019,152,1,104.00,C1
4,0.00,9276,2319000.00,4709,394,1,-50.00,B3
6,0.10,201787,1997891.09,34027,4353,36,108.00,C1
6,0.15,321858,2117486.84,121353,19010,447,-63.00,F1
8,1.63,3134319,1922895.09,528392,73275,8557,118.00,A8
8,0.41,851660,2097684.73,796344,105233,20671,-87.00,E6

C5C6F4F3E3C4F2G1D2G4B5F6F1G2E6F7G3A5H2H1G7G6G5D3D6H3
4,0.01,30133,2152357.14,6755,903,1,-91.00,B6
4,0.02,45819,1992130.43,14508,1773,6,138.00,E1
6,0.33,693275,2081906.91,165285,25012,828,-111.00,B6
6,0.56,1135120,2019786.48,357836,50875,4014,160.00,E1
8,5.99,12652838,2113385.33,2896883,521257,290605,-128.00,A6
8,11.43,22821933,1995971.05,5658395,1180016,1324480,176.00,E1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.01,25781,2148416.67,5643,594,2,40.00,A3
4,0.02,35352,2079529.41,11694,1060,7,13.00,H6
6,0.27,563586,2079653.14,127419,20983,464,38.00,C5
6,0.28,579996,2042239.44,246432,39657,1904,14.00,B5
8,5.57,11729468,2104695.50,2555395,522914,220479,34.00,C5
8,5.46,11206810,2051026.72,4464710,922304,759018,14.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.02,40772,2038600.00,7275,1239,3,158.00,H1
4,0.01,20764,2076400.00,11601,2030,5,-107.00,G8
6,0.36,717487,2009767.51,129147,25196,556,151.00,D8
6,0.32,668334,2062759.26,294820,42571,2820,-119.00,D3
8,6.77,13511585,1996392.58,2440616,429902,204016,175.00,D8
8,5.38,11181098,2079430.54,4678455,851983,875852,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,18865,2096111.11,3987,317,0,2.00,A6
4,0.01,18438,2048666.67,7132,555,2,32.00,E7
6,0.15,315127,2086933.77,75857,9730,169,14.00,H6
6,0.10,208051,2144855.67,128154,17336,493,13.00,G1
8,1.76,3600250,2050256.26,918383,139979,26636,17.00,H6
8,1.36,2878064,2111565.66,1633868,273881,89037,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,13199,1649875.00,3339,741,1,145.00,H8
