探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.11,880075,8000681.82,187438,14658,641,7,-13.83,F4
8,0.15,1137782,7687716.22,233159,17045,985,10,12.11,C3
10,1.56,11919421,7640654.49,2813780,211549,15593,1433,-10.51,F4
10,1.55,10204621,6583626.45,2216311,175389,15022,1079,8.42,C3
12,17.43,93252033,5349474.13,23929066,1976084,172983,136790,-7.68,F4
12,16.37,89004436,5437709.92,19983622,1657927,166191,96835,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.19,1284841,6657207.25,220750,16386,922,5,-9.59,C5
8,0.19,1172117,6301704.30,289850,18032,1509,19,10.52,C6
10,1.74,11528551,6621798.39,2029322,175720,11683,980,-7.81,C5
10,1.40,9697177,6951381.36,2670444,194974,21068,1190,7.47,C6
12,17.59,117283586,6668386.74,21178858,1925885,155236,128679,-7.49,F3
12,18.34,129735834,7073927.70,39337238,2852977,369023,300732,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.05,383071,7227754.72,91522,7337,577,1,16.96,D3
8,0.11,808543,7627764.15,183794,13619,750,12,-17.52,D6
10,0.42,2950576,6975356.97,748667,65821,5126,139,13.49,D3
10,1.30,9250119,7099093.63,2136418,176476,14019,998,-15.50,E3
12,5.04,33918890,6732610.16,8325978,718640,64944,17148,14.34,D3
12,13.53,92746135,6856878.23,21749813,1757389,171565,108137,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.09,604419,6569771.74,213672,18424,915,11,-24.11,C3
8,0.09,670106,7128787.23,97402,10258,573,1,22.51,F5
10,0.76,5502269,7220825.46,2167128,198606,14110,1259,-23.35,C5
10,2.24,15175611,6768782.78,2722877,291644,25360,2733,21.81,C4
12,7.03,47172926,6710231.29,19849512,1773805,178482,109888,-23.45,C5
12,21.42,141486074,6606559.30,24912293,2682567,264175,262481,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.06,422154,6808935.48,116901,9133,291,3,-5.27,F6
8,0.17,1183307,7171557.58,231165,18661,1122,12,4.31,D3
10,0.53,3719336,6991233.08,1137400,94706,4709,269,-5.80,F6
10,1.36,9320709,6843398.68,1968833,181162,14660,1091,2.86,D3
12,4.99,35002412,7008893.07,11471900,995464,76484,33000,-5.52,F6
12,12.09,79213873,6552015.96,16767605,1693864,149422,99078,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.13,994649,7592740.46,239605,20327,956,10,17.08,F3
8,0.13,951971,7379620.16,222804,18633,1057,13,-15.80,D6
10,1.31,9310429,7118064.98,2442379,234483,16947,1748,17.82,H8
10,1.08,7416525,6892681.23,1908345,184732,15608,1180,-14.75,D6
12,12.61,83665248,6633781.16,22466525,2136507,209046,162828,17.96,E2
12,7.50,49904273,6654790.37,11614972,1360860,139951,63879,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.09,598675,6803125.00,151231,12234,635,4,-28.28,E6
8,0.17,1115373,6410189.66,194214,16270,1413,8,27.46,G6
10,0.83,5622048,6765400.72,1578142,134450,7885,587,-24.56,E6
10,1.46,10449168,7181558.76,1916310,169156,14695,900,23.45,C4
12,9.18,63557649,6926509.26,18789439,1555804,129442,82873,-24.23,E6
12,17.38,116387432,6695859.62,21115077,1878980,180452,123960,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.16,1207199,7451845.68,197016,15648,988,7,27.82,C7
8,0.07,521275,7898106.06,116880,8252,425,1,-29.47,B5
10,2.02,13965602,6900000.99,2210608,183711,15399,1064,25.13,E3
10,1.01,7394995,7336304.56,1912714,146102,7357,661,-24.02,C4
12,20.01,135430701,6766798.29,21741351,1882047,182113,123770,25.81,C7
12,7.74,54062052,6981153.41,14367031,1063121,82909,37778,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.13,962128,7458356.59,181481,14778,997,5,23.04,F3
8,0.20,1486954,7586500.00,316948,22694,1240,20,-24.37,H4
10,1.43,10035165,7012693.92,1913567,166065,12620,881,21.16,F3
10,1.74,12003123,6898346.55,2909822,231722,15813,1741,-22.74,C5
12,14.66,101925921,6951232.42,19383888,1604955,133474,87611,22.32,F6
12,10.47,74611506,7124857.33,21147023,1665296,134950,95482,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.09,663428,7133634.41,172152,13590,760,7,-6.53,D6
8,0.06,383135,6841696.43,73327,7117,258,1,4.22,D3
10,0.65,4687576,7256309.60,1424158,125204,8772,522,-6.29,D6
10,0.49,3400022,6910613.82,681250,72362,4080,165,6.27,F8
12,5.15,34137404,6624763.05,11925480,1097987,88985,40241,-6.76,D6
12,4.08,25505292,6245174.34,5218053,591969,41605,11491,5.67,F8

