探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.12,880075,7522008.55,187438,14658,641,7,-13.83,F4
8,0.15,1137782,7687716.22,233159,17045,985,10,12.11,C3
10,1.73,11919421,6905805.91,2813780,211549,15593,1433,-10.51,F4
10,1.47,10204621,6956115.20,2216311,175389,15022,1079,8.42,C3
12,13.84,93252033,6737863.66,23929066,1976084,172983,136790,-7.68,F4
12,12.73,89004436,6992806.10,19983622,1657927,166191,96835,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.16,1284841,7931117.28,220750,16386,922,5,-9.59,C5
8,0.15,1172117,7866557.05,289850,18032,1509,19,10.52,C6
10,1.56,11528551,7380634.44,2029322,175720,11683,980,-7.81,C5
10,1.29,9697177,7517191.47,2670444,194974,21068,1190,7.47,C6
12,16.23,117283586,7225009.92,21178858,1925885,155236,128679,-7.49,F3
12,17.89,129735834,7252674.08,39337238,2852977,369023,300732,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.05,383071,7511196.08,91522,7337,577,1,16.96,D3
8,0.11,808543,7284171.17,183794,13619,750,12,-17.52,D6
10,0.41,2950576,7179017.03,748667,65821,5126,139,13.49,D3
10,1.25,9250119,7417898.16,2136418,176476,14019,998,-15.50,E3
12,4.66,33918890,7286549.95,8325978,718640,64944,17148,14.34,D3
12,12.75,92746135,7276489.49,21749813,1757389,171565,108137,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.08,604419,7952881.58,213672,18424,915,11,-24.11,C3
8,0.09,670106,7128787.23,97402,10258,573,1,22.51,F5
10,0.72,5502269,7631441.05,2167128,198606,14110,1259,-23.35,C5
10,2.11,15175611,7182021.30,2722877,291644,25360,2733,21.81,C4
12,6.40,47172926,7371921.55,19849512,1773805,178482,109888,-23.45,C5
12,19.96,141486074,7086705.43,24912293,2682567,264175,262481,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.05,422154,7965169.81,116901,9133,291,3,-5.27,F6
8,0.16,1183307,7585301.28,231165,18661,1122,12,4.31,D3
10,0.48,3719336,7781037.66,1137400,94706,4709,269,-5.80,F6
10,1.26,9320709,7391521.81,1968833,181162,14660,1091,2.86,D3
12,4.66,35002412,7512859.41,11471900,995464,76484,33000,-5.52,F6
12,11.12,79213873,7126113.08,16767605,1693864,149422,99078,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.13,994649,7957192.00,239605,20327,956,10,17.08,F3
8,0.12,951971,7933091.67,222804,18633,1057,13,-15.80,D6
10,1.26,9310429,7389229.37,2442379,234483,16947,1748,17.82,H8
10,1.05,7416525,7029881.52,1908345,184732,15608,1180,-14.75,D6
12,11.76,83665248,7115601.97,22466525,2136507,209046,162828,17.96,E2
12,7.13,49904273,6996253.05,11614972,1360860,139951,63879,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.08,598675,7775000.00,151231,12234,635,4,-28.28,E6
8,0.15,1115373,7587571.43,194214,16270,1413,8,27.46,G6
10,0.73,5622048,7649044.90,1578142,134450,7885,587,-24.56,E6
10,1.43,10449168,7322472.32,1916310,169156,14695,900,23.45,C4
12,8.78,63557649,7238087.80,18789439,1555804,129442,82873,-24.23,E6
12,16.34,116387432,7122417.97,21115077,1878980,180452,123960,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.17,1207199,7316357.58,197016,15648,988,7,27.82,C7
8,0.07,521275,6950333.33,116880,8252,425,1,-29.47,B5
10,1.94,13965602,7187649.00,2210608,183711,15399,1064,25.13,E3
10,1.02,7394995,7278538.39,1912714,146102,7357,661,-24.02,C4
12,18.90,135430701,7166403.91,21741351,1882047,182113,123770,25.81,C7
12,7.23,54062052,7474360.85,14367031,1063121,82909,37778,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.12,962128,7759096.77,181481,14778,997,5,23.04,F3
8,0.19,1486954,7867481.48,316948,22694,1240,20,-24.37,H4
10,1.37,10035165,7314260.20,1913567,166065,12620,881,21.16,F3
10,1.62,12003123,7404764.34,2909822,231722,15813,1741,-22.74,C5
12,14.16,101925921,7198158.26,19383888,1604955,133474,87611,22.32,F6
12,10.13,74611506,7364673.38,21147023,1665296,134950,95482,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.09,663428,7714279.07,172152,13590,760,7,-6.53,D6
8,0.05,383135,7095092.59,73327,7117,258,1,4.22,D3
10,0.65,4687576,7167547.40,1424158,125204,8772,522,-6.29,D6
10,0.48,3400022,7068652.81,681250,72362,4080,165,6.27,F8
12,4.72,34137404,7229437.53,11925480,1097987,88985,40241,-6.76,D6
12,3.78,25505292,6747431.75,5218053,591969,41605,11491,5.67,F8

