探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.12,880075,7522008.55,187438,14658,641,7,-13.83,F4
8,0.15,1137782,7793027.40,233159,17045,985,10,12.11,C3
10,1.73,11919421,6897813.08,2813780,211549,15593,1433,-10.51,F4
10,1.46,10204621,6994257.03,2216311,175389,15022,1079,8.42,C3
12,12.54,93252033,7434587.66,23929066,1976084,172983,136790,-7.68,F4
12,12.64,89004436,7039819.35,19983622,1657927,166191,96835,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.17,1284841,7786915.15,220750,16386,922,5,-9.59,C5
8,0.14,1172117,8139701.39,289850,18032,1509,19,10.52,C6
10,1.56,11528551,7375912.35,2029322,175720,11683,980,-7.81,C5
10,1.30,9697177,7447908.60,2670444,194974,21068,1190,7.47,C6
12,16.17,117283586,7254953.98,21178858,1925885,155236,128679,-7.49,F3
12,17.87,129735834,7260792.14,39337238,2852977,369023,300732,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.05,383071,7817775.51,91522,7337,577,1,16.96,D3
8,0.10,808543,7774451.92,183794,13619,750,12,-17.52,D6
10,0.40,2950576,7339741.29,748667,65821,5126,139,13.49,D3
10,1.31,9250119,7039664.38,2136418,176476,14019,998,-15.50,E3
12,4.67,33918890,7258482.77,8325978,718640,64944,17148,14.34,D3
12,12.76,92746135,7266228.06,21749813,1757389,171565,108137,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.07,604419,8167824.32,213672,18424,915,11,-24.11,C3
8,0.09,670106,7614840.91,97402,10258,573,1,22.51,F5
10,0.73,5502269,7537354.79,2167128,198606,14110,1259,-23.35,C5
10,2.06,15175611,7352524.71,2722877,291644,25360,2733,21.81,C4
12,6.29,47172926,7494904.04,19849512,1773805,178482,109888,-23.45,C5
12,20.11,141486074,7036307.64,24912293,2682567,264175,262481,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.05,422154,7817666.67,116901,9133,291,3,-5.27,F6
8,0.16,1183307,7304364.20,231165,18661,1122,12,4.31,D3
10,0.52,3719336,7152569.23,1137400,94706,4709,269,-5.80,F6
10,1.28,9320709,7270443.84,1968833,181162,14660,1091,2.86,D3
12,4.74,35002412,7379804.34,11471900,995464,76484,33000,-5.52,F6
12,11.27,79213873,7031857.35,16767605,1693864,149422,99078,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.13,994649,7770695.31,239605,20327,956,10,17.08,F3
8,0.12,951971,7677185.48,222804,18633,1057,13,-15.80,D6
10,1.26,9310429,7400976.95,2442379,234483,16947,1748,17.82,H8
10,0.99,7416525,7453793.97,1908345,184732,15608,1180,-14.75,D6
12,11.91,83665248,7024789.92,22466525,2136507,209046,162828,17.96,E2
12,7.07,49904273,7060593.24,11614972,1360860,139951,63879,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.08,598675,7775000.00,151231,12234,635,4,-28.28,E6
8,0.16,1115373,6842779.14,194214,16270,1413,8,27.46,G6
10,0.78,5622048,7207753.85,1578142,134450,7885,587,-24.56,E6
10,1.42,10449168,7363754.76,1916310,169156,14695,900,23.45,C4
12,8.69,63557649,7311359.60,18789439,1555804,129442,82873,-24.23,E6
12,16.14,116387432,7209777.12,21115077,1878980,180452,123960,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.15,1207199,7838954.55,197016,15648,988,7,27.82,C7
8,0.06,521275,8144921.88,116880,8252,425,1,-29.47,B5
10,1.84,13965602,7594128.33,2210608,183711,15399,1064,25.13,E3
10,0.95,7394995,7800627.64,1912714,146102,7357,661,-24.02,C4
12,18.88,135430701,7174376.28,21741351,1882047,182113,123770,25.81,C7
12,7.16,54062052,7550565.92,14367031,1063121,82909,37778,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.14,962128,7126874.07,181481,14778,997,5,23.04,F3
8,0.20,1486954,7586500.00,316948,22694,1240,20,-24.37,H4
10,1.45,10035165,6930362.57,1913567,166065,12620,881,21.16,F3
10,1.63,12003123,7368399.63,2909822,231722,15813,1741,-22.74,C5
12,13.93,101925921,7314907.49,19383888,1604955,133474,87611,22.32,F6
12,10.32,74611506,7227696.02,21147023,1665296,134950,95482,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.10,663428,6568594.06,172152,13590,760,7,-6.53,D6
8,0.05,383135,7367980.77,73327,7117,258,1,4.22,D3
10,0.64,4687576,7312911.08,1424158,125204,8772,522,-6.29,D6
10,0.50,3400022,6841090.54,681250,72362,4080,165,6.27,F8
12,4.76,34137404,7167206.38,11925480,1097987,88985,40241,-6.76,D6
12,3.73,25505292,6841548.28,5218053,591969,41605,11491,5.67,F8

