探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.11,880075,8074082.57,187438,14658,641,7,-13.83,F4
8,0.14,1137782,8366044.12,233159,17045,985,10,12.11,C3
10,1.79,11919421,6647752.93,2813780,211549,15593,1433,-10.51,F4
10,1.33,10204621,7649640.93,2216311,175389,15022,1079,8.42,C3
12,12.13,93252033,7687719.13,23929066,1976084,172983,136790,-7.68,F4
12,11.68,89004436,7620242.81,19983622,1657927,166191,96835,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.15,1284841,8343123.38,220750,16386,922,5,-9.59,C5
8,0.14,1172117,8312886.52,289850,18032,1509,19,10.52,C6
10,1.54,11528551,7490936.32,2029322,175720,11683,980,-7.81,C5
10,1.27,9697177,7629564.91,2670444,194974,21068,1190,7.47,C6
12,15.46,117283586,7585279.14,21178858,1925885,155236,128679,-7.49,F3
12,16.98,129735834,7638259.29,39337238,2852977,369023,300732,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.05,383071,7980645.83,91522,7337,577,1,16.96,D3
8,0.10,808543,8085430.00,183794,13619,750,12,-17.52,D6
10,0.40,2950576,7469812.66,748667,65821,5126,139,13.49,D3
10,1.23,9250119,7544958.40,2136418,176476,14019,998,-15.50,E3
12,4.54,33918890,7476061.27,8325978,718640,64944,17148,14.34,D3
12,12.23,92746135,7584734.63,21749813,1757389,171565,108137,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.08,604419,7555237.50,213672,18424,915,11,-24.11,C3
8,0.09,670106,7445622.22,97402,10258,573,1,22.51,F5
10,0.71,5502269,7793582.15,2167128,198606,14110,1259,-23.35,C5
10,2.06,15175611,7352524.71,2722877,291644,25360,2733,21.81,C4
12,6.21,47172926,7595061.34,19849512,1773805,178482,109888,-23.45,C5
12,20.29,141486074,6974223.59,24912293,2682567,264175,262481,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.05,422154,8443080.00,116901,9133,291,3,-5.27,F6
8,0.15,1183307,7784914.47,231165,18661,1122,12,4.31,D3
10,0.47,3719336,7998572.04,1137400,94706,4709,269,-5.80,F6
10,1.22,9320709,7627421.44,1968833,181162,14660,1091,2.86,D3
12,4.50,35002412,7769680.80,11471900,995464,76484,33000,-5.52,F6
12,10.75,79213873,7371475.25,16767605,1693864,149422,99078,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.13,994649,7592740.46,239605,20327,956,10,17.08,F3
8,0.11,951971,8350622.81,222804,18633,1057,13,-15.80,D6
10,1.22,9310429,7625248.98,2442379,234483,16947,1748,17.82,H8
10,0.96,7416525,7693490.66,1908345,184732,15608,1180,-14.75,D6
12,11.62,83665248,7197629.73,22466525,2136507,209046,162828,17.96,E2
12,6.83,49904273,7306628.55,11614972,1360860,139951,63879,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.08,598675,7300914.63,151231,12234,635,4,-28.28,E6
8,0.15,1115373,7386576.16,194214,16270,1413,8,27.46,G6
10,0.71,5622048,7863004.20,1578142,134450,7885,587,-24.56,E6
10,1.35,10449168,7728674.56,1916310,169156,14695,900,23.45,C4
12,8.38,63557649,7588973.01,18789439,1555804,129442,82873,-24.23,E6
12,15.76,116387432,7387333.04,21115077,1878980,180452,123960,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.15,1207199,8047993.33,197016,15648,988,7,27.82,C7
8,0.06,521275,8274206.35,116880,8252,425,1,-29.47,B5
10,1.78,13965602,7828252.24,2210608,183711,15399,1064,25.13,E3
10,0.93,7394995,7917553.53,1912714,146102,7357,661,-24.02,C4
12,18.46,135430701,7335646.25,21741351,1882047,182113,123770,25.81,C7
12,7.28,54062052,7425086.11,14367031,1063121,82909,37778,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.14,962128,6775549.30,181481,14778,997,5,23.04,F3
8,0.21,1486954,7183352.66,316948,22694,1240,20,-24.37,H4
10,1.33,10035165,7545236.84,1913567,166065,12620,881,21.16,F3
10,1.52,12003123,7870900.33,2909822,231722,15813,1741,-22.74,C5
12,13.90,101925921,7334383.03,19383888,1604955,133474,87611,22.32,F6
12,9.53,74611506,7831584.55,21147023,1665296,134950,95482,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.08,663428,8090585.37,172152,13590,760,7,-6.53,D6
8,0.05,383135,7981979.17,73327,7117,258,1,4.22,D3
10,0.60,4687576,7838755.85,1424158,125204,8772,522,-6.29,D6
10,0.46,3400022,7456188.60,681250,72362,4080,165,6.27,F8
12,4.49,34137404,7609764.60,11925480,1097987,88985,40241,-6.76,D6
12,3.68,25505292,6923260.59,5218053,591969,41605,11491,5.67,F8

