探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.11,953591,8514205.36,200411,14622,720,6,-13.83,F4
8,0.13,1077103,8414867.19,229683,16861,1090,10,12.11,C3
10,1.54,12078959,7823159.97,2849667,213270,16566,1466,-10.51,F4
10,1.31,10167966,7785578.87,2206267,174151,15838,1062,8.42,C3
12,12.61,92809277,7357640.48,23767823,1958546,178857,134412,-7.68,F4
12,12.09,89269197,7381279.73,19984120,1648713,173677,95926,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.15,1280670,8316038.96,219815,16314,953,5,-9.59,C5
8,0.14,1132647,8267496.35,279286,17333,1574,19,10.52,C6
10,1.49,11474569,7711403.90,2019632,174583,12190,970,-7.81,C5
10,1.23,9454460,7667850.77,2597210,189577,21076,1128,7.47,C6
12,15.66,115941063,7403643.87,20988758,1910558,160785,126629,-7.49,F3
12,17.71,128609734,7261573.82,39002653,2827401,374126,295396,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.05,381335,7626700.00,91086,7288,597,1,16.96,D3
8,0.10,802571,8025710.00,182621,13525,794,12,-17.52,D6
10,0.39,2932746,7462458.02,743513,65299,5294,134,13.49,D3
10,1.23,9109231,7393856.33,2105725,174063,14391,973,-15.50,E3
12,4.47,33250995,7433712.27,8190427,708215,66969,16666,14.34,D3
12,12.51,91638751,7328168.81,21549936,1734128,174284,105164,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.09,600320,7062588.24,212235,18279,918,11,-24.11,C3
8,0.08,669139,8160231.71,97472,10198,608,1,22.51,F5
10,0.78,5457487,6987819.46,2146011,196582,14252,1239,-23.35,C5
10,2.02,14989638,7405947.63,2690544,288168,26417,2687,21.81,C4
12,6.86,46831883,6823820.92,19586792,1741179,182203,106178,-23.45,C5
12,19.65,139965049,7122540.79,24702733,2647373,272686,255517,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.05,422218,8278784.31,116612,9085,310,3,-5.27,F6
8,0.16,1171931,7464528.66,228590,18319,1288,11,4.31,D3
10,0.50,3709378,7463537.22,1132734,94219,4872,272,-5.80,F6
10,1.27,9300624,7346464.45,1969288,180278,16316,1081,2.86,D3
12,4.77,34460696,7230527.91,11297742,979780,78298,32007,-5.52,F6
12,11.21,78512929,7005079.32,16566759,1670330,157622,96882,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.13,993584,7762375.00,239611,20318,999,10,17.08,F3
8,0.12,949749,7784827.87,222714,18518,1105,12,-15.80,D6
10,1.27,9302033,7312919.03,2426817,232808,17378,1722,17.82,H8
10,1.03,7428802,7184528.05,1917931,185683,16090,1196,-14.75,D6
12,11.66,82410247,7067168.08,22144470,2108825,211776,158971,17.96,E2
12,7.29,49159798,6744381.67,11463482,1342821,141863,62147,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.08,601710,7337926.83,151716,12240,661,4,-28.28,E6
8,0.14,1121576,8127362.32,195781,16340,1392,7,27.46,G6
10,0.74,5554498,7516235.45,1554190,132247,8205,557,-24.56,E6
10,1.37,10424818,7598263.85,1917434,168827,14965,898,23.45,C4
12,8.71,62655042,7195112.77,18562611,1540028,125237,81119,-24.23,E6
12,15.71,115526406,7354622.23,21079585,1872595,187340,123128,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.16,1142870,7326089.74,187197,15452,1024,7,27.82,C7
8,0.06,508679,8204500.00,113588,8223,443,1,-29.47,B5
10,1.76,12797171,7287682.80,2014247,179803,16180,1040,25.13,E3
10,1.00,7452715,7445269.73,1933573,145814,8191,652,-24.02,C4
12,17.64,133167752,7547053.10,21385406,1852024,187136,119848,25.81,C7
12,7.05,53720929,7616748.76,14246586,1052505,86212,37025,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.11,934699,8271672.57,178275,14443,1155,5,23.04,F3
8,0.19,1490501,7928196.81,316323,22521,1358,21,-24.37,H4
10,1.34,10220669,7627364.93,1940519,167489,14691,918,21.16,F3
10,1.56,11887697,7595972.52,2868115,227571,16477,1702,-22.74,C5
12,13.18,100259785,7609850.85,19125208,1569825,143889,84025,22.32,F6
12,10.20,74135943,7269655.13,20956936,1645942,141148,93510,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.08,661289,8064500.00,171379,13503,800,7,-6.53,D6
8,0.05,378743,7574860.00,72371,6938,358,1,4.22,D3
10,0.64,4658763,7245354.59,1415397,124243,9019,507,-6.29,D6
10,0.47,3378210,7249377.68,675511,70815,4771,161,6.27,F8
12,4.84,33174194,6857005.79,11591345,1067510,90420,38041,-6.76,D6
12,3.67,25077931,6836949.56,5135593,579709,45819,11118,5.67,F8

