探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.19,1647012,8760702.13,2718,27889,5047,62,3,363587,-10.51,F4
10,0.28,2437846,8644843.97,1764,54385,13429,125,22,648455,8.42,C3
12,1.91,16355648,8545270.64,6734,301388,67095,2741,405,3603094,-7.68,F4
12,1.82,15944865,8765731.17,4355,392755,43412,4600,320,4425223,7.34,G3
14,13.03,109229614,8383576.18,8749,2045655,455794,120391,19739,24713342,-6.26,F4
14,20.50,174482172,8511740.67,9631,4097316,1380385,467208,150049,52943509,5.23,B5

E6F6F5D6C4G4G7B3F4G3
10,0.18,1612689,8717237.84,2592,25144,4053,63,5,301176,-7.81,C5
10,0.54,4544358,8462491.62,7449,92707,35827,349,77,1332758,7.47,C6
12,3.73,30697654,8229934.05,11513,458661,141129,6355,1517,5853442,-7.49,F3
12,3.35,28286452,8436162.24,9869,714763,245579,15147,4628,9229669,8.03,G5
14,30.23,248237233,8212705.39,9111,3617784,701533,365900,55516,46031293,-6.28,F3
14,26.39,226715134,8592250.97,26176,5486965,1721149,821375,222037,79929547,6.01,G5

E6F6C4E7E8C3C2C5C6B2
10,0.05,452142,8530981.13,1172,10683,1183,46,0,110478,13.49,D3
10,0.29,2465532,8531252.60,2949,44892,11580,131,16,587187,-15.50,E3
12,0.87,7296849,8406508.06,5891,145718,31553,736,127,1722004,14.34,D3
12,1.70,14439196,8478682.33,2516,290284,58466,2603,473,3479735,-14.50,E3
14,6.75,56098042,8315748.89,12225,1092244,238370,35344,4880,12848292,13.57,D3
14,10.89,90133855,8272955.94,11499,1889367,252438,102367,7256,22012137,-13.40,D6

E6F4F3D6G4F6E7F8G7F7
10,0.15,1373986,8921987.01,1368,54481,13354,171,22,554126,-23.35,C5
10,0.28,2394592,8521679.72,873,50141,6842,109,7,493359,21.81,C4
12,1.17,10433594,8894794.54,4741,449718,92764,6129,966,4404001,-23.45,C5
12,2.25,18411828,8197608.19,1847,402401,50464,5016,383,3662177,21.69,C4
14,8.99,77664988,8639042.05,3579,3300362,578035,307043,43111,33688840,-22.13,C5
14,17.67,139803631,7911920.26,2626,3097313,411907,271047,23587,29056688,20.82,C4

E6F4G3D6C7F5E3F2C3E7
10,0.07,588141,8778223.88,940,14901,1662,35,1,174358,-5.80,F6
10,0.23,1924770,8554533.33,1179,33003,5174,63,4,390286,2.86,D3
12,0.79,6895297,8728224.05,3253,190663,25918,1127,100,2089881,-5.52,F6
12,1.69,14027308,8310016.59,1798,286160,23758,2453,124,2986270,2.71,D3
14,4.16,35261836,8478440.97,1523,1186082,107988,40858,2363,11784416,-5.52,F6
