探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
10,0.13,1066178,8264945.74,1729,25717,3623,83,3,270783,0.92,F6
10,0.31,2577965,8397280.13,1994,57841,16473,166,28,652720,-2.63,D3
12,1.14,9150759,8048160.95,4277,249287,42457,1965,249,2430582,0.75,F6
12,1.83,14783918,8065421.71,2646,415195,72302,5080,601,4033338,-2.30,F7
14,8.65,66891019,7734854.19,8992,1846618,259586,98533,12467,17579123,-0.29,F6
14,15.06,116926733,7764574.87,6626,3400091,538964,324817,38569,33823162,-2.13,F7

E6F6G6F4F3F2C4C3G2E3
10,0.52,4600854,8881957.53,8170,69833,23345,195,49,1197460,-24.44,F5
10,1.01,8699741,8613604.95,7528,85440,33917,264,61,1570568,25.00,G3
12,4.61,39926391,8666462.12,15278,751042,213844,16605,4812,11330657,-23.44,F5
12,7.04,57546587,8174231.11,11090,695795,165845,14305,2868,10500692,23.57,G3
14,31.46,264797114,8415608.26,24949,5251302,1165610,752756,168797,83644675,-21.37,F5
14,64.66,522757325,8085209.80,31303,5632332,1419336,863538,174377,95014450,23.11,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
10,0.11,752963,6907917.43,581,28067,3851,84,2,177512,22.36,E6
10,0.10,742586,7352336.63,497,45359,9314,136,16,314163,-20.06,F8
12,0.52,3504767,6701275.33,874,164152,21101,981,89,880178,25.11,E6
12,0.43,3035619,7125866.20,1197,229896,41663,1816,280,1303099,-25.37,F8
14,2.39,14884557,6217442.36,1983,843610,109830,22220,2428,4081877,24.71,E6
14,2.44,16742631,6873001.23,2620,1379049,243636,56771,9364,7300436,-24.74,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
10,0.25,1883870,7535480.00,2734,66826,19931,237,49,626628,7.10,D3
10,0.41,3121583,7576657.77,1479,84809,18119,259,43,697839,-7.35,F7
12,1.57,11623218,7417497.13,4024,506713,124248,7744,1920,4225737,7.91,D3
12,2.12,15415661,7285284.03,2525,523907,68567,8241,1016,3663386,-6.61,A6
14,9.68,69875794,7216337.29,7901,3357498,670021,317034,66094,26980804,5.63,D3
14,12.99,89256323,6870098.75,3177,3414727,422356,328078,40163,22755184,-5.29,F7

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
10,0.00,4282,inf,373,75,10,20,0,2136,4.00,H5
9,0.00,2723,inf,373,41,9,18,0,1006,-4.00,A8
10,0.00,4282,inf,373,75,10,20,0,2136,4.00,H5
9,0.00,2723,inf,373,41,9,18,0,1006,-4.00,A8
10,0.00,4282,inf,373,75,10,20,0,2136,4.00,H5
9,0.00,2723,inf,373,41,9,18,0,1006,-4.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
10,0.00,3361,inf,226,55,9,10,0,1969,-10.00,B1
9,0.00,2695,inf,226,33,0,7,0,1492,10.00,A4
10,0.00,3361,inf,226,55,9,10,0,1969,-10.00,B1
9,0.00,2695,inf,226,33,0,7,0,1492,10.00,A4
10,0.00,3361,inf,226,55,9,10,0,1969,-10.00,B1
9,0.00,2695,inf,226,33,0,7,0,1492,10.00,A4

