探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.29,1991566,6915159.72,2649,33374,9808,61,3,462338,-10.51,F4
10,0.45,3092302,6856545.45,1191,58500,21511,106,18,813906,8.42,C3
12,2.21,14290206,6460310.13,6423,272520,77467,2284,343,3234987,-7.68,F4
12,1.96,13697072,6981178.39,1442,279225,58784,2323,199,3725945,7.34,G3
14,14.20,93741520,6600121.10,10869,1906370,617044,105095,22197,22952139,-6.26,F4
14,29.08,197931347,6805974.38,7321,4247405,1592695,500745,162568,61316977,5.23,B5

E6F6F5D6C4G4G7B3F4G3
10,0.20,1398535,7027814.07,1783,20886,3136,31,1,249254,-7.81,C5
10,0.63,4374454,6987945.69,5713,87619,37306,313,84,1302375,7.47,C6
12,3.32,22857739,6878645.50,4548,354929,90560,3723,675,4341077,-7.49,F3
12,4.12,28354985,6878938.62,14258,655276,380067,12695,5889,9616209,8.03,G5
14,35.27,232999122,6606905.29,18023,3348504,943126,314300,62112,43001266,-6.28,F3
14,37.53,254761399,6788930.31,20050,5739487,3019801,896256,351870,94262769,6.01,G5

E6F6C4E7E8C3C2C5C6B2
10,0.07,475933,6703281.69,969,10434,2016,36,1,116857,13.49,D3
10,0.33,2284256,6859627.63,3279,43329,14073,108,17,561516,-15.50,E3
12,0.97,6563163,6766147.42,2054,130784,32139,589,118,1564248,14.34,D3
12,3.15,20989047,6671661.47,10711,361126,167660,3945,1551,4931047,-14.50,E3
14,8.22,54137231,6588442.38,7688,1047063,273150,31984,4582,12546026,13.57,D3
14,12.04,78513617,6519440.09,11948,1712246,465739,84925,9762,19917605,-13.40,D6

E6F4F3D6G4F6E7F8G7F7
10,0.21,1477132,6902485.98,2370,54999,20395,201,26,592590,-23.35,C5
10,0.38,2566698,6808217.51,1438,49023,10482,132,13,492897,21.81,C4
12,1.62,11023290,6791922.37,4291,441250,175312,6054,1467,4696093,-23.45,C5
12,2.95,18938707,6424256.11,2282,379253,72977,4469,367,3573291,21.69,C4
14,13.12,83845290,6392596.07,9105,3258799,1306695,299304,76141,36404616,-22.13,C5
14,20.52,130116938,6342217.68,5331,2495018,548278,177999,17605,24462009,20.82,C4

E6F4G3D6C7F5E3F2C3E7
10,0.10,725814,7482618.56,2064,16316,3642,47,1,208591,-5.80,F6
10,0.26,1853283,7211217.90,742,30849,5052,48,2,363207,2.86,D3
12,0.90,6413704,7110536.59,4916,173480,35133,1003,108,1951963,-5.52,F6
12,2.03,14122651,6970706.32,1024,270140,39574,2184,121,2916680,2.71,D3
14,7.34,50577365,6888772.13,7455,1494311,374745,64408,8175,16402663,-5.52,F6
14,16.39,110353994,6735062.19,2059,2064562,413003,122598,10010,22395383,3.20,D3

E6F6D3E3G6G7F5G5H7F4
10,0.39,2740289,7044444.73,3689,73120,30681,262,62,792621,17.82,H8
10,0.25,1719865,6963016.19,3982,44841,15111,149,9,447612,-14.75,D6
12,1.71,11766069,6896875.15,5828,336106,138281,3488,815,3453429,17.96,E2
12,1.83,12479877,6815880.39,4558,343629,75336,3561,439,3195068,-15.74,D6
14,15.34,99260338,6470265.17,12371,2889359,1214054,236627,62122,30402529,15.23,E2
14,12.05,79581352,6603165.62,9084,2193262,510289,138492,16953,20226864,-15.38,D6

F5F6D3C5B5F4G4F3G7C2
10,0.25,1867044,7528403.23,3039,41274,15431,107,10,577836,-24.56,E6
10,0.49,3561603,7224346.86,3035,59540,24034,158,51,758119,23.45,C4
12,2.20,15932058,7238554.29,7296,373668,157317,4232,1316,5079643,-24.23,E6
12,4.45,31310833,7032981.36,9357,533845,230113,8544,2870,6633492,23.23,C4
14,24.91,179370374,7199292.55,18128,4152831,1419570,478337,107273,60203819,-22.95,E6
14,44.09,302620993,6864021.80,16454,4591926,1553179,583599,129336,61332226,21.66,C4

E6F4F3D6F5E7C5G4C3G2
