探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.29,1993471,6945891.99,2769,33374,9972,61,3,462387,-10.51,F4
10,0.44,3093208,7030018.18,1240,58500,21691,106,18,813906,8.42,C3
12,2.67,18096970,6788060.77,7527,310821,67144,2963,416,3833243,-7.68,F4
12,2.28,15653072,6871410.01,3271,386593,37622,4492,287,4281283,7.34,G3
14,19.31,131648355,6819038.38,9412,2224276,454042,141450,20737,28215627,-6.26,F4
14,23.30,158444322,6800769.25,11461,3715795,1214315,386324,114516,46455730,5.23,B5

E6F6F5D6C4G4G7B3F4G3
10,0.21,1398637,6566370.89,1793,20886,3216,31,1,249254,-7.81,C5
10,0.65,4375982,6753058.64,5820,87620,37545,314,85,1302393,7.47,C6
12,4.83,31247219,6472083.47,10533,462422,140780,6409,1595,5931791,-7.49,F3
12,4.04,27297184,6753385.45,10363,681322,250239,13857,4692,8812639,8.03,G5
14,39.38,266846380,6776190.45,9836,3778222,803122,399068,65075,48643711,-6.28,F3
14,32.13,224160953,6977772.86,18715,5482146,1669069,819382,213295,79439497,6.01,G5

E6F6C4E7E8C3C2C5C6B2
10,0.07,476275,7108582.09,986,10434,2091,36,1,116857,13.49,D3
10,0.30,2284451,7490003.28,3293,43329,14237,108,17,561516,-15.50,E3
12,0.91,6537601,7215895.14,3808,134804,28090,638,109,1548658,14.34,D3
12,2.03,14652823,7225257.89,2346,297236,59547,2633,482,3552277,-14.50,E3
14,7.43,52684771,7086048.55,12612,1042175,231818,31867,4589,12084517,13.57,D3
14,12.26,87932261,7174629.65,4585,1883163,215548,102108,6240,21919716,-13.40,D6

E6F4F3D6G4F6E7F8G7F7
10,0.20,1477422,7387110.00,2380,54999,20616,201,26,592590,-23.35,C5
10,0.35,2566866,7271575.07,1438,49023,10650,132,13,492897,21.81,C4
