探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.32,2220234,7048361.90,3336,33194,11637,78,5,503203,-10.51,F4
10,0.47,3269662,7031531.18,1604,59765,23406,109,19,851749,8.42,C3
12,2.51,16141246,6438470.68,7131,293115,82284,2602,405,3569075,-7.68,F4
12,2.00,14523972,7254731.27,1806,292517,61881,2535,194,3930931,7.34,G3
14,16.57,106658562,6435293.95,11617,2063393,651807,122050,24347,25146922,-6.26,F4
14,29.41,204115874,6939176.41,7899,4327472,1631695,518361,169185,62867908,5.23,B5

E6F6F5D6C4G4G7B3F4G3
10,0.22,1461764,6736239.63,2354,20909,5067,43,0,277835,-7.81,C5
10,0.60,3799485,6290538.08,6292,78404,32433,263,62,1156129,7.47,C6
12,3.45,22507363,6527657.48,4588,349003,94984,3696,699,4315326,-7.49,F3
12,4.36,28828466,6619624.80,15167,654598,385417,12827,5839,9619718,8.03,G5
14,33.96,229896618,6770227.58,15185,3302293,893455,305786,56769,42352654,-6.28,F3
14,37.58,260294034,6926213.62,20909,5794656,3046774,911881,355794,95344088,6.01,G5

E6F6C4E7E8C3C2C5C6B2
10,0.07,449101,6804560.61,1179,10062,2934,48,0,113760,13.49,D3
10,0.33,2324414,6980222.22,3997,42140,14471,123,16,561886,-15.50,E3
12,0.91,6194413,6799575.19,2266,125429,33035,533,104,1500183,14.34,D3
12,3.12,21578338,6911703.40,11122,366847,167223,4045,1595,5028734,-14.50,E3
14,7.54,51108715,6777445.30,7933,997740,268954,29082,4372,11983765,13.57,D3
14,13.19,85261241,6463101.96,12326,1797226,471690,93267,10440,21266055,-13.40,D6

E6F4F3D6G4F6E7F8G7F7
10,0.21,1451109,7010188.41,2409,51599,21357,198,20,575206,-23.35,C5
10,0.39,2735059,7012971.79,1484,51666,13818,128,9,557485,21.81,C4
12,1.75,10970700,6272555.75,4076,436125,177779,5880,1414,4663745,-23.45,C5
12,3.06,19544060,6393215.57,2279,402977,82991,4958,481,3825232,21.69,C4
14,13.59,87589394,6445609.98,9825,3412613,1335670,327644,83423,38130183,-22.13,C5
14,21.63,133362825,6164786.44,5197,2695031,568384,206509,21079,26226632,20.82,C4

E6F4G3D6C7F5E3F2C3E7
10,0.11,775101,7176861.11,1910,17019,4536,48,2,221327,-5.80,F6
10,0.30,2193822,7192859.02,1373,35591,8031,68,6,449992,2.86,D3
12,0.96,6540130,6819739.31,4762,176172,39227,964,112,1977076,-5.52,F6
12,2.18,15110453,6925047.20,1627,289966,45650,2528,154,3183584,2.71,D3
14,7.88,51908118,6587324.62,7314,1525624,399409,66858,8719,16617704,-5.52,F6
14,17.93,117820417,6571133.13,2690,2230925,444254,142136,11571,24364992,3.20,D3

E6F6D3E3G6G7F5G5H7F4
10,0.40,2764098,6927563.91,4246,72512,33506,297,52,804737,17.82,H8
10,0.27,1862410,6897814.81,5915,43943,18452,188,12,472592,-14.75,D6
12,1.72,11463044,6680095.57,6341,335122,135896,3469,774,3427911,17.96,E2
12,1.85,12302411,6632027.49,4717,336315,81834,3390,468,3148000,-15.74,D6
14,15.28,95806781,6270487.66,12700,2821197,1194976,225584,61184,29756917,15.23,E2
14,12.77,79385045,6217500.39,11562,2254150,559273,145634,19703,20745520,-15.38,D6

F5F6D3C5B5F4G4F3G7C2
10,0.27,1956232,7245303.70,4045,41534,17522,125,13,596322,-24.56,E6
10,0.56,3948257,7000455.67,2904,64422,25807,191,46,847614,23.45,C4
12,2.27,15988254,7043283.70,8300,370872,160351,4191,1361,5087295,-24.23,E6
12,4.81,32832864,6827378.67,9181,552151,236673,8926,3034,6926809,23.23,C4
14,25.78,178946688,6942376.16,18095,4148831,1413701,477569,106513,60094819,-22.95,E6
14,52.23,345957912,6623739.46,16339,5125239,1589235,721482,142461,70028439,21.66,C4

E6F4F3D6F5E7C5G4C3G2
10,0.30,2109736,6962825.08,1989,29453,6472,67,3,384193,25.13,E3
10,0.17,1209434,6990947.98,2101,18895,3693,40,1,272843,-24.02,C4
12,3.25,21450779,6610409.55,5162,337226,104479,3415,608,4208283,25.81,C7
12,1.90,12701713,6695684.24,7677,296375,119443,2662,765,4101060,-27.24,C6
14,36.05,228667738,6343599.69,18052,3134630,972504,276940,49293,42853069,24.79,C7
14,13.48,93738334,6955946.42,10768,2344656,863614,157206,42222,32049161,-25.70,C6

F5F4C3D6G4B2E6G3C6E7
10,0.45,3215589,7226042.70,5364,42844,21567,121,9,665042,21.16,F3
10,0.64,4554857,7094792.83,7483,74160,30548,248,37,1147522,-22.74,C5
12,1.69,11656815,6897523.67,5557,195295,46998,1226,72,2259191,22.32,F6
12,1.18,7823250,6607474.66,5182,184829,44812,1139,95,2183429,-22.57,C5
14,16.75,111597587,6660951.83,9475,1908221,405378,105210,11602,21326499,20.64,F6
14,8.20,54150705,6601329.39,5662,1470556,266281,62810,4388,16389399,-22.03,C5

F5F4C3F6G4F3G3H3F7E6
10,0.16,1010749,6397145.57,1411,22726,10630,61,4,292420,-6.29,D6
10,0.20,1374193,6905492.46,1410,24870,9064,45,4,304302,6.27,F8
12,1.12,7538286,6718614.97,3987,225675,97285,1694,450,2528805,-6.76,D6
12,1.18,7801476,6600233.50,2143,167176,52488,891,160,1755568,5.67,F8
14,6.39,41417420,6485659.25,6026,1328612,561692,51357,14171,14524948,-6.76,D6
14,9.65,61819701,6406186.63,2711,1293931,273950,48875,4026,13035463,3.83,D3

