探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.23,1678144,7171555.56,2833,28146,5095,62,2,368244,-10.51,F4
10,0.34,2421630,7060145.77,1610,54858,13584,120,20,648340,8.42,C3
12,2.59,16824982,6488616.27,7008,310047,70855,2899,454,3712343,-7.68,F4
12,2.41,15949298,6607000.00,4418,394386,43537,4632,314,4441338,7.34,G3
14,16.58,111242632,6709851.74,8805,2113994,483696,128493,22573,25637184,-6.26,F4
14,26.98,183043294,6785161.21,10621,4254980,1497008,503016,171542,56262098,5.23,B5

E6F6F5D6C4G4G7B3F4G3
10,0.23,1661727,7071178.72,2955,25690,4555,76,5,311463,-7.81,C5
10,0.54,3678601,6850281.19,6523,81363,28143,281,51,1124497,7.47,C6
12,4.44,30684951,6909468.81,11716,457634,141355,6325,1527,5839895,-7.49,F3
12,4.28,29267314,6846155.32,10032,746203,259103,16510,5132,9591400,8.03,G5
14,35.77,240158882,6713411.85,12524,3504502,721576,344422,58441,44512595,-6.28,F3
14,33.25,228031081,6857252.69,26267,5552022,1766162,839248,237239,80791725,6.01,G5

E6F6C4E7E8C3C2C5C6B2
10,0.07,470385,6443630.14,1254,11054,1361,50,0,113565,13.49,D3
10,0.30,2066994,6959575.76,922,40593,9352,86,13,508904,-15.50,E3
12,1.08,7297719,6757147.22,5946,145428,31530,738,128,1721578,14.34,D3
12,2.20,14436853,6550296.28,2650,289927,58658,2595,472,3477896,-14.50,E3
14,8.64,56175937,6498835.84,10272,1122741,236311,37175,5021,13057759,13.57,D3
14,11.63,75351566,6478511.39,5026,1673505,191068,80720,5086,18817233,-13.40,D6

E6F4F3D6G4F6E7F8G7F7
10,0.23,1469343,6388447.83,1791,56988,14853,187,22,589480,-23.35,C5
10,0.40,2431043,6154539.24,967,51944,7654,120,11,508539,21.81,C4
12,1.50,10522754,6991863.12,4791,455679,94701,6303,1006,4445989,-23.45,C5
12,2.69,18438032,6849194.65,1969,404052,50972,5070,391,3673948,21.69,C4
14,10.96,77663182,7086056.75,3946,3309617,584274,308910,42734,33610505,-22.13,C5
14,20.11,135941687,6759904.87,2977,2883003,400984,236606,21363,27389114,20.82,C4

E6F4G3D6C7F5E3F2C3E7
10,0.08,591130,7297901.23,808,15626,1823,40,1,179451,-5.80,F6
10,0.29,2075430,7181418.69,1599,36196,5500,78,4,428926,2.86,D3
12,0.94,6837834,7274291.49,3465,188871,25940,1114,98,2071099,-5.52,F6
12,1.88,13413247,7134705.85,1756,276927,25061,2321,134,2869897,2.71,D3
14,5.20,36820655,7080895.19,2237,1196897,108602,41644,2351,12021146,-5.52,F6
14,16.05,109900526,6848238.16,4053,2164661,290232,134277,10072,23063213,3.20,D3

E6F6D3E3G6G7F5G5H7F4
10,0.34,2478320,7204418.60,3547,69640,25262,260,39,719910,17.82,H8
10,0.25,1770098,7166388.66,4180,48233,12795,168,9,469235,-14.75,D6
12,1.82,12480427,6864921.34,5535,400965,90936,4733,616,3666693,17.96,E2
12,1.76,12268479,6970726.70,4501,339624,66956,3573,375,3145957,-15.74,D6
