探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.19,953591,5126833.33,200411,14622,720,6,-13.83,F4
8,0.22,1077103,4986587.96,229683,16861,1090,10,12.11,C3
10,2.53,12078959,4772405.77,2849667,213270,16566,1466,-10.51,F4
10,2.11,10167966,4809823.08,2206267,174151,15838,1062,8.42,C3
12,19.75,92809277,4698965.98,23767823,1958546,178857,134412,-7.68,F4
12,19.34,89269197,4615780.61,19984120,1648713,173677,95926,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.24,1280670,5248647.54,219815,16314,953,5,-9.59,C5
8,0.20,1132647,5552191.18,279286,17333,1574,19,10.52,C6
10,2.28,11474569,5039336.41,2019632,174583,12190,970,-7.81,C5
10,1.87,9454460,5053158.74,2597210,189577,21076,1128,7.47,C6
12,23.91,115941063,4848047.79,20988758,1910558,160785,126629,-7.49,F3
12,26.57,128609734,4839865.05,39002653,2827401,374126,295396,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.07,381335,5447642.86,91086,7288,597,1,16.96,D3
8,0.16,802571,5111917.20,182621,13525,794,12,-17.52,D6
10,0.58,2932746,5021825.34,743513,65299,5294,134,13.49,D3
10,1.95,9109231,4666614.24,2105725,174063,14391,973,-15.50,E3
12,6.95,33250995,4781563.85,8190427,708215,66969,16666,14.34,D3
12,19.33,91638751,4740262.31,21549936,1734128,174284,105164,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.12,600320,5220173.91,212235,18279,918,11,-24.11,C3
8,0.12,669139,5440154.47,97472,10198,608,1,22.51,F5
10,1.12,5457487,4859739.09,2146011,196582,14252,1239,-23.35,C5
10,3.04,14989638,4937298.42,2690544,288168,26417,2687,21.81,C4
12,9.82,46831883,4767574.37,19586792,1741179,182203,106178,-23.45,C5
12,29.50,139965049,4745382.23,24702733,2647373,272686,255517,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.08,422218,5277725.00,116612,9085,310,3,-5.27,F6
8,0.23,1171931,5162691.63,228590,18319,1288,11,4.31,D3
10,0.76,3709378,4880760.53,1132734,94219,4872,272,-5.80,F6
10,1.90,9300624,4892490.27,1969288,180278,16316,1081,2.86,D3
12,7.29,34460696,4727118.79,11297742,979780,78298,32007,-5.52,F6
12,16.86,78512929,4657033.57,16566759,1670330,157622,96882,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.19,993584,5229389.47,239611,20318,999,10,17.08,F3
8,0.19,949749,4946609.38,222714,18518,1105,12,-15.80,D6
10,1.92,9302033,4847333.51,2426817,232808,17378,1722,17.82,H8
10,1.57,7428802,4731721.02,1917931,185683,16090,1196,-14.75,D6
12,17.68,82410247,4659895.22,22144470,2108825,211776,158971,17.96,E2
12,11.04,49159798,4453283.63,11463482,1342821,141863,62147,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.12,601710,4972809.92,151716,12240,661,4,-28.28,E6
8,0.21,1121576,5340838.10,195781,16340,1392,7,27.46,G6
10,1.14,5554498,4872366.67,1554190,132247,8205,557,-24.56,E6
10,2.09,10424818,4985565.76,1917434,168827,14965,898,23.45,C4
12,13.55,62655042,4624670.95,18562611,1540028,125237,81119,-24.23,E6
12,26.54,115526406,4352588.58,21079585,1872595,187340,123128,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.24,1142870,4781882.85,187197,15452,1024,7,27.82,C7
8,0.10,508679,5086790.00,113588,8223,443,1,-29.47,B5
10,2.88,12797171,4446550.03,2014247,179803,16180,1040,25.13,E3
10,1.71,7452715,4355765.63,1933573,145814,8191,652,-24.02,C4
12,30.59,133167752,4353167.66,21385406,1852024,187136,119848,25.81,C7
12,12.00,53720929,4475252.33,14246586,1052505,86212,37025,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.21,934699,4537373.79,178275,14443,1155,5,23.04,F3
8,0.32,1490501,4614554.18,316323,22521,1358,21,-24.37,H4
10,2.29,10220669,4457334.93,1940519,167489,14691,918,21.16,F3
10,2.70,11887697,4401220.66,2868115,227571,16477,1702,-22.74,C5
12,22.73,100259785,4411483.48,19125208,1569825,143889,84025,22.32,F6
12,16.18,74135943,4581666.34,20956936,1645942,141148,93510,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.13,661289,4972097.74,171379,13503,800,7,-6.53,D6
8,0.07,378743,5049906.67,72371,6938,358,1,4.22,D3
10,1.02,4658763,4585396.65,1415397,124243,9019,507,-6.29,D6
10,0.75,3378210,4510293.72,675511,70815,4771,161,6.27,F8
12,8.16,33174194,4065963.23,11591345,1067510,90420,38041,-6.76,D6
12,6.12,25077931,4099710.81,5135593,579709,45819,11118,5.67,F8

