探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.37,6502476,4749799.85,826,626975,96436,0,1032,554,240,31,0,0,0,-0.76,F6
12,1.82,8522393,4677493.41,1021,865996,96392,0,1617,1560,285,42,0,0,0,-3.93,D3
12,2.83,14122019,4990112.72,66,1829471,347963,0,10325,14323,250,51,0,0,0,-0.11,C3
12,2.58,12472924,4838217.22,29,1966277,333474,0,12001,17588,292,67,0,0,0,-3.32,F4
12,4.81,21785850,4525519.32,117,3566241,690323,0,45506,98817,285,77,0,0,0,0.21,C6
12,3.60,14665071,4077028.36,772,3300994,516172,0,32678,76677,490,103,0,0,0,-2.09,B4
12,3.94,18658817,4732137.21,396,4983278,966885,0,95440,260343,407,98,0,0,0,0.26,A4
12,3.69,15955583,4324006.23,189,4678528,798751,0,81458,214450,524,122,0,0,0,-2.89,C7
12,4.98,22756770,4568715.12,1508,6827386,1203474,0,169366,657193,844,154,0,0,0,0.09,A5
12,3.08,11997943,3891645.48,1957,5701907,971730,0,129456,381526,1172,171,0,0,0,-2.36,A3
12,3.19,15227022,4767383.22,108,7839293,1424868,0,252754,1006075,880,181,0,0,0,0.44,A2
12,2.47,9749479,3945560.10,496,6494903,1133357,0,180194,563143,1324,211,0,0,0,0.61,D2
12,3.99,18444177,4621442.50,84,9043403,1736119,0,391554,1584966,894,201,0,0,0,-0.84,C8
12,2.92,9685500,3312414.50,668,7306001,1322753,0,249613,804133,1525,255,0,0,0,2.36,F7
12,3.58,15184094,4240182.63,1311,10068874,1894000,0,477640,2256616,1285,244,0,0,0,-0.35,D7
12,0.90,3643263,4061608.70,663,7603421,1376046,0,272006,909154,1699,281,0,0,0,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,2.15,11489281,5346338.30,1862,843023,109478,0,1783,1379,513,32,0,0,0,-26.33,F5
12,6.00,29576184,4929364.00,2187,2322591,319665,0,17511,27292,797,43,0,0,0,25.89,G4
12,2.67,11680946,4371611.53,1586,1640485,261290,0,8710,10153,961,50,0,0,0,-24.57,D3
12,7.28,31897796,4384576.77,3103,4538133,797245,0,83222,201238,2002,68,0,0,0,24.85,D2
12,2.83,12432679,4397834.81,129,2497851,369372,0,18135,34098,1000,71,0,0,0,-26.39,H3
12,2.53,13092121,5170663.90,379,5400198,969917,0,123189,332925,2189,96,0,0,0,25.59,G3
12,0.91,4386639,4831100.22,1621,2868536,453359,0,30371,50650,1461,119,0,0,0,-23.88,F1
12,1.67,9217313,5512747.01,237,6017080,1086827,0,157264,455829,2274,119,0,0,0,24.93,E1
12,1.23,5811012,4739814.03,762,3348668,544627,0,46071,79364,1763,145,0,0,0,-25.86,E2
12,1.53,8077277,5272374.02,466,6658990,1164833,0,185745,614528,2420,146,0,0,0,27.65,G5
12,0.77,3198093,4131903.10,535,3614852,599782,0,56587,99025,1941,172,0,0,0,-25.34,D1
12,1.22,5968853,4904562.86,620,7087773,1257568,0,220276,741590,2636,172,0,0,0,26.67,D6
12,1.80,8189687,4559959.35,703,4228950,710583,0,80378,156106,2123,204,0,0,0,-28.92,C6
12,2.38,11035542,4642634.41,591,7798712,1411429,0,283409,993457,2907,217,0,0,0,27.64,C5
12,1.34,5523345,4106576.21,1042,4701360,821612,0,107494,213296,2397,229,0,0,0,-27.33,B5
12,2.90,12437602,4294752.07,210,8543380,1582701,0,359561,1322384,2994,242,0,0,0,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.83,3159545,3811272.62,314,490894,94220,0,1049,658,122,22,0,0,0,25.78,E6
12,0.64,2031495,3154495.34,380,282038,56667,0,254,1011,112,28,0,0,0,-26.64,F8
12,1.04,4489455,4320938.40,27,1098721,340619,0,6777,3987,141,40,0,0,0,27.18,C8
12,0.22,734403,3278584.82,13,385231,86275,0,543,1572,115,46,0,0,0,-24.25,E8
12,0.65,2462794,3794751.93,432,1445734,471750,0,12847,7991,397,72,0,0,0,28.44,A2
12,0.23,791480,3471403.51,692,510636,113777,0,1166,2189,430,67,0,0,0,-27.45,A6
12,0.14,539364,3798338.03,142,1532212,505762,0,15251,9468,501,103,0,0,0,26.02,A8
12,0.15,412657,2679590.91,5,575962,131758,0,1692,2676,432,85,0,0,0,-26.97,B7
12,0.42,1318959,3110752.36,259,1751428,568095,0,20792,13509,816,135,0,0,0,27.50,G8
12,0.16,447981,2748349.69,63,657533,154397,0,2430,3151,474,115,0,0,0,-27.15,G7
12,0.19,559982,2947273.68,70,1851408,593691,0,23287,15688,889,170,0,0,0,25.74,C1
12,0.06,174306,2905100.00,267,689927,163726,0,2799,3435,677,139,0,0,0,-27.00,B2
12,0.15,490543,3292234.90,179,1948921,619092,0,26009,18252,1259,207,0,0,1,25.76,E2
12,0.10,280357,2775811.88,185,754010,177712,0,3361,4166,856,178,0,0,0,-26.45,F2
12,0.09,269318,2895892.47,121,2014355,635444,0,27831,20304,1497,237,0,0,2,25.03,H8
12,0.03,69676,2488428.57,40,772014,183529,0,3600,4428,895,206,0,0,0,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,1.61,6467259,4011947.27,2323,751205,115882,0,1550,1080,723,52,0,0,0,4.93,D3
12,2.43,11836247,4864877.52,1265,1442451,215155,0,7009,6873,411,65,0,0,0,-5.64,B3
12,0.69,2530555,3651594.52,96,1096464,186187,0,3517,3349,750,71,0,0,0,4.99,A6
12,0.87,3852459,4443435.99,487,1930143,351497,0,17476,16200,644,89,0,0,0,-4.57,F4
12,0.45,1639777,3611843.61,823,1325511,242586,0,6415,5822,1124,98,0,0,0,5.17,F8
12,0.86,3466340,4011967.59,638,2383934,503406,0,33416,29626,1119,113,0,0,0,-4.87,A7
12,0.43,1147256,2680504.67,940,1514624,291623,0,10098,8892,1705,119,0,0,0,6.09,B8
12,0.16,493900,3067701.86,678,2461582,527877,0,36707,32451,1519,140,0,0,0,-3.88,H2
12,0.14,440710,3216861.31,64,1594119,319230,0,12447,10408,1760,143,0,0,0,8.44,F3
12,0.14,397208,2837200.00,48,2533258,547681,0,39618,35324,1565,158,0,0,0,-8.49,G5
12,0.18,470131,2569021.86,173,1697398,353781,0,15683,12977,1912,183,0,0,0,7.23,H5
12,0.05,120635,2461938.78,130,2558915,558420,0,41170,36542,1658,192,0,0,0,-5.22,H3
12,0.04,103672,2728210.53,12,1720082,365942,0,16916,13581,1925,201,0,0,0,10.22,H4
12,0.01,33034,2752833.33,81,2566415,562095,0,41742,36888,1765,210,0,0,0,-7.21,H6
12,0.01,27978,2543454.55,21,1726750,370595,0,17389,13836,1966,225,0,0,0,14.15,H8
12,0.01,27345,2278750.00,27,2574549,565228,0,42203,37340,1812,238,0,0,0,-14.79,G6

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
10,0.04,5353,133825.00,450,49,6,0,0,0,6,0,0,0,0,4.00,H5
9,0.04,2983,80621.62,450,15,6,0,0,0,5,0,0,0,0,-4.00,A8
8,0.00,7,7000.00,0,49,12,0,0,0,6,2,0,0,0,4.00,F1
7,0.00,231,inf,59,15,6,0,0,0,5,1,0,0,0,-4.00,A7
6,0.00,78,inf,5,49,12,0,0,0,6,2,0,0,0,4.00,B8
5,0.00,20,inf,5,15,6,0,0,0,5,1,0,0,0,-4.00,E8
4,0.00,19,inf,1,49,12,0,0,0,6,2,0,0,0,4.00,H7
3,0.00,6,inf,1,15,6,0,0,0,5,1,0,0,0,-4.00,G7
2,0.00,5,inf,0,49,12,0,0,0,6,2,0,0,0,4.00,H8
1,0.00,1,inf,0,15,6,0,0,0,5,1,0,0,0,4.00,F8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
10,0.00,4658,inf,226,41,8,0,0,0,3,0,0,0,0,-10.00,H8
9,0.00,3706,inf,226,19,0,0,0,0,2,0,0,0,0,10.00,A4
8,0.00,4,inf,0,41,11,0,0,0,3,2,0,0,0,-10.00,B1
7,0.00,526,inf,67,19,0,0,0,0,2,1,0,0,0,10.00,G1
6,0.00,138,inf,13,41,11,0,0,0,3,2,0,0,0,-10.00,F8
5,0.00,45,inf,4,19,0,0,0,0,2,1,0,0,0,10.00,E8
4,0.00,31,inf,4,41,11,0,0,0,3,2,0,0,0,-10.00,F1
3,0.00,10,inf,0,19,0,0,0,0,2,1,0,0,0,10.00,H1
2,0.00,2,inf,0,41,11,0,0,0,3,2,0,0,0,-10.00,G3
1,0.00,1,inf,0,19,0,0,0,0,2,1,0,0,0,10.00,H4

