探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.28,7454328,5801033.46,2429,674264,104063,0,1160,703,824,34,0,0,0,-0.76,F6
12,1.78,10695940,6022488.74,3466,971654,101478,0,2004,2185,1051,48,0,0,0,-3.93,D3
12,2.65,15682648,5929167.49,177,1949617,352106,0,11114,17063,870,54,0,0,0,-0.11,C3
12,2.44,14573360,5975137.35,162,2156410,335191,0,12662,22858,1096,73,0,0,0,-3.32,F4
12,4.27,25372408,5936454.84,438,3880014,733047,0,53629,124976,1000,80,0,0,0,0.21,C6
12,2.99,17654982,5898757.77,1490,3589940,554980,0,39773,97472,1667,113,0,0,0,-2.09,B4
12,3.28,19362946,5899739.79,1201,5302764,1007061,0,106274,312742,1417,107,0,0,0,0.26,A4
12,3.28,18977719,5782364.11,507,5067677,835480,0,92777,269124,1792,132,0,0,0,-2.89,C7
12,4.63,26821035,5796636.05,3978,7261632,1293669,0,203805,792461,2845,173,0,0,0,0.09,A5
12,2.93,16893326,5773522.21,4802,6268956,1030113,0,154387,504414,3535,184,0,0,0,-2.36,A3
12,2.83,15996959,5660636.59,257,8272071,1511130,0,290619,1190490,2974,201,0,0,0,0.44,A2
12,2.24,13359177,5974587.21,1416,7144640,1196365,0,211625,749361,4062,227,0,0,0,0.61,D2
12,3.68,21075352,5722332.88,157,9510480,1805910,0,429551,1866300,3016,221,0,0,0,-0.84,C8
12,2.37,13574080,5732297.30,1838,8034347,1399276,0,293764,1078741,4739,276,0,0,0,2.36,F7
12,2.96,16375590,5524827.94,3257,10506338,1971110,0,523315,2612215,4180,264,0,0,0,-0.35,D7
12,1.02,5942415,5837342.83,1735,8397792,1454172,0,319618,1240054,5393,304,0,0,0,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,2.39,15568654,6511356.75,5653,978211,118651,0,2253,2189,1391,35,0,0,0,-26.33,F5
12,6.88,43171178,6272145.58,7838,2739215,371598,0,23586,44075,2584,62,0,0,0,25.89,G4
12,2.55,16456535,6463682.25,5186,1925328,281166,0,10695,15995,2546,53,0,0,0,-24.57,D3
12,8.02,50243679,6267142.20,11598,5352443,920174,0,118593,323945,6655,108,0,0,0,24.85,D2
12,2.57,16746266,6518593.23,292,2900839,387014,0,21343,52730,2622,76,0,0,0,-26.39,H3
12,3.60,22090632,6143112.35,1464,6512256,1131582,0,179140,577760,7247,137,0,0,0,25.59,G3
12,1.31,7926385,6059927.37,5559,3423960,489320,0,38957,84508,3825,129,0,0,0,-23.88,F1
12,2.08,12389134,5962047.16,784,7159333,1243245,0,218406,766481,7530,160,0,0,0,24.93,E1
12,1.65,10259544,6229231.33,2666,4098643,608367,0,63270,142722,4577,163,0,0,0,-25.86,E2
12,2.08,12308354,5906119.96,1918,7900270,1325723,0,254331,1032896,8117,191,0,0,0,27.65,G5
12,0.82,4898415,5951901.58,1961,4441426,673239,0,78717,180347,5065,192,0,0,0,-25.34,D1
12,1.84,10895214,5927755.17,1543,8459167,1434426,0,302579,1279747,8755,219,0,0,0,26.67,D6
12,1.77,10784407,6103229.77,2709,5119926,792778,0,110190,273911,5656,226,0,0,0,-28.92,C6
12,3.26,18936981,5814240.41,1971,9364869,1639545,0,404199,1773379,9648,268,0,0,0,27.64,C5
12,1.32,7586307,5742851.63,3301,5652172,906926,0,143886,367580,6346,259,0,0,0,-27.33,B5
12,2.40,13738998,5717435.71,808,10044545,1790877,0,485539,2238511,9959,293,0,0,0,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.65,3065877,4753297.67,750,465431,101155,0,1112,1165,355,26,0,0,0,25.78,E6
12,0.39,2073774,5303769.82,637,276846,55275,0,272,1179,211,29,0,0,0,-26.64,F8
12,0.91,4291929,4737228.48,90,1040861,334206,0,6209,4559,404,44,0,0,0,27.18,C8
12,0.16,884449,5392981.71,22,389498,85628,0,585,1393,216,47,0,0,0,-24.25,E8
12,0.51,2400503,4734719.92,1105,1376524,459181,0,11716,8067,1091,82,0,0,0,28.44,A2
12,0.16,811620,4948902.44,1324,513183,114415,0,1205,2024,809,73,0,0,0,-27.45,A6
12,0.13,551766,4211954.20,379,1463476,492796,0,14166,9714,1359,114,0,0,0,26.02,A8
12,0.10,451484,4752463.16,16,581604,133581,0,1747,2550,814,91,0,0,0,-26.97,B7
12,0.32,1386659,4374318.61,733,1690123,554989,0,19391,14010,2025,148,0,0,0,27.50,G8
12,0.12,549515,4504221.31,97,675174,158213,0,2617,3301,879,122,0,0,0,-27.15,G7
12,0.14,579125,4136607.14,252,1791731,580659,0,21701,16315,2226,183,0,0,0,25.74,C1
12,0.04,163053,4290868.42,342,703644,166068,0,2909,3597,1117,147,0,0,0,-27.00,B2
12,0.13,522642,3989633.59,504,1892533,606781,0,24279,18992,2877,229,0,0,6,25.76,E2
12,0.08,336423,4102719.51,394,774516,180304,0,3470,4434,1446,195,0,0,0,-26.45,F2
12,0.08,286273,3717831.17,300,1960221,623208,0,26001,21156,3265,262,0,0,7,25.03,H8
12,0.02,79287,3603954.55,65,793660,186156,0,3682,4609,1497,223,0,0,0,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,1.44,8043247,5577841.19,4810,823163,127241,0,1793,1422,1683,70,0,0,0,4.93,D3
12,2.32,12466919,5373671.98,2953,1432631,245500,0,8190,6730,1078,80,0,0,0,-5.64,B3
12,0.60,3099023,5190993.30,217,1183637,201111,0,4041,4087,1756,90,0,0,0,4.99,A6
12,0.78,4012952,5125098.34,1340,1925792,377888,0,18271,16059,1703,109,0,0,0,-4.57,F4
12,0.40,2024103,5047638.40,1871,1414429,258969,0,7178,6759,2668,119,0,0,0,5.17,F8
12,0.71,3514738,4971340.88,1969,2375559,519603,0,33440,29549,2838,142,0,0,0,-4.87,A7
12,0.36,1720335,4792019.50,2075,1634823,318644,0,12274,10276,3835,145,0,0,0,6.09,B8
12,0.14,642168,4522309.86,1655,2467498,547612,0,37201,32962,3600,174,0,0,0,-3.88,H2
12,0.14,629650,4342413.79,158,1733661,347423,0,14924,12076,3928,169,0,0,0,8.44,F3
12,0.14,606437,4270683.10,120,2570045,572476,0,40547,37268,3688,192,0,0,0,-8.49,G5
12,0.17,659760,3974457.83,306,1860728,387068,0,18912,15012,4162,210,0,0,0,7.23,H5
12,0.07,273757,3855732.39,291,2625342,586855,0,42642,40036,3863,226,0,0,0,-5.22,H3
12,0.04,130352,3430315.79,27,1888299,400076,0,20335,15868,4190,228,0,0,0,10.22,H4
12,0.02,62265,3459166.67,147,2639473,591694,0,43388,40845,4020,247,0,0,0,-7.21,H6
12,0.01,34685,2890416.67,53,1896240,404776,0,20874,16209,4253,252,0,0,0,14.15,H8
12,0.01,32705,2973181.82,51,2648045,595017,0,43891,41440,4081,275,0,0,0,-14.79,G6

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
10,0.04,5212,144777.78,450,98,8,0,0,0,16,0,0,0,0,4.00,H5
9,0.04,2983,82861.11,450,35,6,0,0,0,15,0,0,0,0,-4.00,A8
8,0.00,7,inf,0,98,14,0,0,0,16,2,0,0,0,4.00,F1
7,0.00,3,inf,0,35,8,0,0,0,15,2,0,0,0,-4.00,A7
6,0.00,78,inf,5,98,14,0,0,0,16,3,0,0,0,4.00,B8
5,0.00,20,inf,5,35,8,0,0,0,15,2,0,0,0,-4.00,E8
4,0.00,19,inf,1,98,14,0,0,0,16,3,0,0,0,4.00,H7
3,0.00,6,inf,1,35,8,0,0,0,15,2,0,0,0,-4.00,G7
2,0.00,5,inf,0,98,14,0,0,0,16,3,0,0,0,4.00,H8
1,0.00,1,inf,0,35,8,0,0,0,15,2,0,0,0,4.00,F8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
10,0.00,4547,inf,226,112,12,0,0,0,10,0,0,0,0,-10.00,H8
9,0.00,3640,inf,226,71,2,0,0,0,9,0,0,0,0,10.00,A4
8,0.00,4,inf,0,112,15,0,0,0,10,2,0,0,0,-10.00,B1
7,0.00,217,inf,0,75,4,0,0,0,9,2,0,0,0,10.00,G1
6,0.00,138,inf,13,112,15,0,0,0,10,3,0,0,0,-10.00,F8
5,0.00,45,inf,4,75,4,0,0,0,9,2,0,0,0,10.00,E8
4,0.00,31,inf,4,112,15,0,0,0,10,3,0,0,0,-10.00,F1
3,0.00,10,inf,0,75,4,0,0,0,9,2,0,0,0,10.00,H1
2,0.00,2,inf,0,112,15,0,0,0,10,3,0,0,0,-10.00,G3
1,0.00,1,inf,0,75,4,0,0,0,9,2,0,0,0,10.00,H4

