探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,0.80,5869366,7382850.31,3240,56290,11010,0,157,88,216,29,0,0,0,-0.76,F6
12,1.19,8863530,7460883.84,2737,82621,7233,0,130,363,146,29,0,0,0,-3.93,D3
12,1.52,11014486,7260702.70,152,149148,26209,0,680,1969,221,47,0,0,0,-0.11,C3
12,1.67,12402890,7417996.41,627,173644,22816,0,731,3107,179,46,0,0,0,-3.32,F4
12,2.70,19567978,7258152.08,1903,292008,52286,0,3773,13374,348,67,0,0,2,0.21,C6
12,1.85,13605302,7350244.19,2835,281612,41118,0,3469,12076,429,75,0,3,4,-2.09,B4
12,1.80,12969556,7189332.59,1734,389426,69900,0,7305,31688,445,85,0,2,2,0.26,A4
12,1.62,11843867,7311029.01,677,373053,59653,0,7325,27961,453,92,0,4,4,-2.89,C7
12,2.75,17999841,6547777.74,7104,528347,98565,0,17964,79899,907,129,0,6,26,0.09,A5
12,1.52,10859510,7125662.73,4170,447233,80087,0,14295,47895,764,136,0,6,15,-2.36,A3
12,1.07,7636950,7130672.27,383,582458,109277,0,22727,109231,933,150,0,9,28,0.44,A2
12,1.35,9548477,7062482.99,1175,509284,92442,0,19101,71160,821,166,0,9,20,0.61,D2
12,1.96,13789015,7045996.42,157,675396,129025,0,33274,180353,937,162,0,15,30,-0.84,C8
12,1.34,9651867,7202885.82,2344,570643,112846,0,28525,102340,1047,200,0,13,35,2.36,F7
12,1.68,11958684,7114029.74,5319,745801,144133,0,43042,259037,1306,190,0,18,84,-0.35,D7
12,0.66,4749606,7185485.63,5623,598271,120114,0,32496,119616,1324,228,0,21,80,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.37,10325312,7531226.84,5936,60068,13427,0,230,114,362,25,0,0,1,-26.33,F5
12,3.51,25450011,7258987.74,5379,141798,19908,0,919,1511,334,34,0,0,3,25.89,G4
12,1.42,10389663,7342518.02,4628,127720,30180,0,1157,1156,618,47,0,2,11,-24.57,D3
12,4.70,33631410,7163239.62,5487,327651,63202,0,8410,18792,813,59,0,0,16,24.85,D2
12,0.99,7463563,7508614.69,267,186596,39767,0,2052,3520,639,65,0,2,11,-26.39,H3
12,1.28,8904201,6945554.60,1766,384236,76141,0,11997,30197,990,85,0,2,27,25.59,G3
12,0.41,3019748,7401343.14,2646,211248,46746,0,3263,5044,803,97,0,5,20,-23.88,F1
12,0.83,5891633,7098353.01,416,425016,83113,0,14270,40721,1018,106,0,3,27,24.93,E1
12,0.72,5358362,7401052.49,3045,252130,59470,0,5993,8507,993,124,0,11,36,-25.86,E2
12,0.81,5746501,7068266.91,2804,468609,88137,0,16324,54671,1142,121,0,12,41,27.65,G5
12,0.35,2601121,7368614.73,4482,271266,65701,0,7470,10542,1207,144,0,14,57,-25.34,D1
12,0.92,6357266,6925126.36,2454,504373,96847,0,20025,68635,1268,136,0,15,59,26.67,D6
12,0.99,7255563,7306709.97,4642,328874,78441,0,10814,18445,1443,164,0,16,102,-28.92,C6
12,1.49,10383859,6973713.23,2010,562466,112809,0,27581,96645,1389,165,0,25,83,27.64,C5
12,0.63,4593935,7350296.00,1837,367253,89526,0,14226,25724,1541,183,0,17,130,-27.33,B5
12,1.19,8208323,6903551.72,719,612312,124680,0,33657,127933,1429,177,0,31,95,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.50,3458484,6889410.36,551,70658,9992,0,231,192,58,18,0,0,0,25.78,E6
12,0.30,2261154,7438006.58,767,39223,6542,0,73,37,68,22,0,0,0,-26.64,F8
12,0.77,5208348,6764088.31,100,169864,41392,0,1789,2960,71,35,0,0,0,27.18,C8
12,0.10,705114,7122363.64,41,53665,9889,0,126,105,71,39,0,0,0,-24.25,E8
12,0.32,2069034,6568361.90,623,216141,55302,0,3126,5813,176,62,0,1,0,28.44,A2
12,0.11,754165,7114764.15,478,71159,13704,0,311,226,168,58,0,0,0,-27.45,A6
12,0.10,620252,6460958.33,399,231708,61528,0,4278,7015,276,83,0,1,1,26.02,A8
12,0.06,376849,6851800.00,22,80339,15867,0,453,299,171,73,0,2,0,-26.97,B7
12,0.16,1035679,6315115.85,208,258848,69291,0,5941,9476,331,112,0,1,1,27.50,G8
12,0.08,543835,6552228.92,92,96500,20277,0,805,493,196,100,0,2,0,-27.15,G7
12,0.09,519448,5902818.18,379,275860,72236,0,6594,11280,418,136,0,3,2,25.74,C1
12,0.02,146561,6106708.33,133,101357,21661,0,942,567,252,121,0,2,0,-27.00,B2
12,0.07,390896,5922666.67,262,289479,76726,0,7734,12898,530,168,0,3,7,25.76,E2
12,0.04,253126,6173804.88,451,111925,24819,0,1247,743,381,148,0,4,0,-26.45,F2
12,0.04,255683,5681844.44,308,301227,79756,0,8615,14435,673,185,0,10,14,25.03,H8
12,0.01,63220,5747272.73,63,115323,25951,0,1360,812,411,170,0,7,0,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,0.91,6498366,7148917.49,4040,80003,13863,0,269,306,414,49,0,0,5,4.93,D3
12,1.35,9301455,6884866.77,2058,136826,18635,0,735,1494,196,40,0,0,0,-5.64,B3
12,0.28,1961808,6883536.84,199,112915,21263,0,531,851,423,68,0,0,5,4.99,A6
