探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,0.75,5869682,7826242.67,3240,56262,11003,0,163,117,216,29,0,0,0,-0.76,F6
12,1.13,8863570,7871731.79,2737,82663,7254,0,111,319,146,29,0,0,0,-3.93,D3
12,1.43,11008840,7725501.75,152,149137,26167,0,686,1982,221,47,0,0,0,-0.11,C3
12,1.86,12397851,6654777.78,627,173645,22846,0,714,3078,179,46,0,0,0,-3.32,F4
12,2.78,19582348,7054159.94,1903,291715,52178,0,3832,13674,347,67,0,0,3,0.21,C6
12,1.82,13617714,7465851.97,2835,281875,40910,0,3377,11932,430,76,0,2,3,-2.09,B4
12,1.87,12952069,6937369.58,1734,389309,69687,0,7493,31706,443,85,0,2,4,0.26,A4
12,1.41,10926069,7727064.36,677,369515,58969,0,7119,27140,453,94,0,2,4,-2.89,C7
12,2.37,18098640,7652701.90,7104,528455,98505,0,18067,80327,905,127,0,8,28,0.09,A5
12,1.41,10841930,7694769.34,4170,443977,79250,0,14261,46696,763,131,0,11,16,-2.36,A3
12,1.01,7654700,7593948.41,383,582540,109205,0,22832,109914,931,148,0,11,30,0.44,A2
12,1.25,9717937,7755735.83,1175,507282,91725,0,18983,70410,820,161,0,14,21,0.61,D2
12,1.83,13757326,7509457.42,157,675323,129095,0,33226,180846,937,161,0,16,30,-0.84,C8
12,1.24,9689332,7795118.26,2344,568979,112264,0,28298,101582,1037,195,0,18,45,2.36,F7
12,1.57,11957202,7606362.60,5319,745598,144320,0,42880,259638,1316,186,0,22,74,-0.35,D7
12,0.62,4749847,7685836.57,5649,596822,119714,0,32085,118653,1315,224,0,24,91,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.28,10324859,8047434.92,5936,60043,13436,0,227,133,362,25,0,0,1,-26.33,F5
12,3.30,25449933,7716777.74,5379,141695,19951,0,868,1630,336,34,0,0,1,25.89,G4
12,1.31,10393440,7939984.72,4628,127684,30229,0,1111,1204,624,48,0,1,5,-24.57,D3
12,4.40,33603287,7644059.83,5487,327171,63205,0,8442,19017,807,57,0,2,22,24.85,D2
12,0.94,7455535,7931420.21,267,186496,39804,0,1993,3617,645,64,0,3,5,-26.39,H3
12,1.20,8972911,7508712.13,1766,383841,76083,0,12030,30610,983,80,0,7,34,25.59,G3
12,0.39,3019620,7843168.83,2646,211151,46779,0,3212,5134,808,95,0,7,15,-23.88,F1
12,0.79,5891643,7476704.31,416,424504,83128,0,14219,41262,1010,100,0,9,35,24.93,E1
12,0.67,5358414,7950169.14,3045,252068,59613,0,5834,8561,1000,123,0,12,29,-25.86,E2
12,0.77,5746501,7492178.62,2804,468093,88162,0,16263,55216,1138,123,0,10,45,27.65,G5
12,0.34,2601126,7764555.22,4482,271187,65850,0,7300,10618,1213,143,0,15,51,-25.34,D1
12,0.85,6360329,7447692.04,2454,503834,96962,0,19863,69233,1270,141,0,10,57,26.67,D6
12,0.92,7255526,7869334.06,4642,328732,78619,0,10625,18574,1449,164,0,16,96,-28.92,C6
12,1.40,10382172,7442417.20,2010,561755,112971,0,27364,97419,1393,170,0,20,79,27.64,C5
12,0.59,4594918,7801219.02,1837,367000,89713,0,14025,25977,1549,176,0,24,122,-27.33,B5
12,1.12,8258363,7347298.04,719,611857,124718,0,33571,128654,1434,186,0,22,90,27.48,F7

