探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,0.85,5869311,6929528.93,3240,56258,11015,0,152,120,216,29,0,0,0,-0.76,F6
12,1.23,8863529,7223740.02,2737,82649,7230,0,135,333,146,29,0,0,0,-3.93,D3
12,1.52,11016768,7252645.16,152,149076,26222,0,649,2065,221,46,0,1,0,-0.11,C3
12,1.67,12401478,7426034.73,627,173772,22839,0,707,2972,179,46,0,0,0,-3.32,F4
12,2.69,19551801,7262927.56,1903,291687,52304,0,3742,13660,348,64,0,3,2,0.21,C6
12,1.88,13605556,7252428.57,2835,281721,41094,0,3474,11978,429,78,0,0,4,-2.09,B4
12,1.84,12960714,7051531.01,1734,389317,69802,0,7372,31727,445,84,0,3,2,0.26,A4
12,1.64,11845996,7240828.85,677,373288,59733,0,7330,27950,453,96,0,0,4,-2.89,C7
12,2.48,18002613,7250347.56,7104,528276,98535,0,17991,79897,903,126,0,9,30,0.09,A5
12,1.52,10836163,7115011.82,4170,447411,79938,0,14524,47852,760,141,0,1,19,-2.36,A3
12,1.07,7632114,7139489.24,383,582336,109236,0,22724,109273,928,147,0,12,33,0.44,A2
12,1.33,9729688,7332093.44,1175,510589,92384,0,19278,71908,820,172,0,3,21,0.61,D2
12,1.98,13750446,6955207.89,157,674764,129019,0,33268,180571,934,160,0,17,33,-0.84,C8
12,1.38,10159512,7367303.84,3225,572425,114564,0,29827,103621,1085,217,0,7,43,2.36,F7
12,1.70,11960049,7027055.82,5319,745362,144067,0,43091,259082,1315,189,0,19,75,-0.35,D7
12,0.66,4789340,7278632.22,6165,600100,121958,0,33817,120928,1383,242,0,16,84,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.37,10324900,7536423.36,5936,60056,13415,0,248,120,361,25,0,0,2,-26.33,F5
12,3.51,25449388,7250537.89,5379,141707,19937,0,886,1607,335,34,0,0,2,25.89,G4
12,1.39,10394336,7499520.92,4628,127664,30160,0,1179,1225,622,49,0,0,7,-24.57,D3
12,4.67,33617269,7204729.75,5487,327170,63271,0,8391,19002,808,56,0,3,21,24.85,D2
12,0.99,7455458,7500460.76,267,186497,39665,0,2138,3610,643,66,0,1,7,-26.39,H3
12,1.27,8935480,7058041.07,1766,383959,76132,0,12044,30361,980,84,0,3,37,25.59,G3
12,0.41,3019621,7311430.99,2646,211139,46654,0,3339,5144,809,99,0,3,14,-23.88,F1
12,0.84,5892130,7048002.39,416,424771,83028,0,14386,40862,1004,105,0,4,41,24.93,E1
12,0.73,5358151,7329891.93,3045,252001,59508,0,5944,8624,999,127,0,8,30,-25.86,E2
12,0.83,5746370,6931688.78,2804,468339,88081,0,16412,54836,1126,128,0,5,57,27.65,G5
12,0.36,2601119,7286047.62,4482,271158,65757,0,7400,10641,1209,143,0,15,55,-25.34,D1
12,0.91,6357817,7025212.15,2454,504040,96813,0,20100,68856,1250,145,0,6,77,26.67,D6
12,0.98,7261186,7439739.75,4642,328796,78480,0,10764,18543,1442,161,0,19,103,-28.92,C6
12,1.49,10387367,6994859.93,2010,562120,112830,0,27587,96901,1374,180,0,10,98,27.64,C5
12,0.63,4593805,7291753.97,1837,367340,89592,0,14155,25651,1542,178,0,22,129,-27.33,B5
12,1.20,8213516,6873235.15,719,611605,124617,0,33764,128543,1419,197,0,11,105,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.50,3458518,6930897.80,551,70638,10020,0,207,207,58,18,0,0,0,25.78,E6
12,0.30,2261155,7413622.95,767,39230,6568,0,46,31,68,22,0,0,0,-26.64,F8
