探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,0.79,5113284,6480714.83,3240,56270,10986,0,176,113,215,29,0,0,1,-0.76,F6
12,1.19,7759867,6531874.58,2737,82648,7251,0,112,336,146,29,0,0,0,-3.93,D3
12,1.49,9546200,6398257.37,152,149222,26150,0,725,1906,220,47,0,0,1,-0.11,C3
12,1.78,10932053,6124399.44,627,173628,22863,0,688,3109,179,46,0,0,0,-3.32,F4
12,3.03,17186397,5673950.81,1903,291805,52137,0,3929,13529,349,67,0,0,1,0.21,C6
12,1.90,11875101,6253344.39,2835,281571,41090,0,3490,12114,431,78,0,0,2,-2.09,B4
12,1.81,11151108,6143861.16,1734,389359,69520,0,7614,31846,444,87,0,0,3,0.26,A4
12,1.68,10254332,6096511.30,677,373363,59665,0,7423,28022,454,95,0,1,3,-2.89,C7
12,2.85,15282756,5371794.73,7104,528494,97945,0,18536,79882,909,127,0,7,25,0.09,A5
12,1.57,9450083,6003864.68,4170,447746,79896,0,14579,47840,770,139,0,3,9,-2.36,A3
12,1.16,6492584,5606721.93,383,582852,108573,0,23411,109492,936,147,0,11,26,0.44,A2
12,1.42,8376129,5919525.80,1175,509528,92236,0,19371,71380,827,169,0,6,14,0.61,D2
12,1.97,11461478,5815057.33,157,675486,128423,0,33801,180618,941,159,0,17,27,-0.84,C8
12,1.50,8444561,5644760.03,2344,570787,112616,0,28849,102870,1053,199,0,14,29,2.36,F7
12,1.95,10045521,5162138.23,5319,745808,143448,0,43667,259357,1327,189,0,18,64,-0.35,D7
12,0.67,4185023,6209232.94,5623,598716,119809,0,32882,119872,1327,233,0,16,77,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.39,9520659,6844470.88,5936,60055,13417,0,241,126,362,23,0,2,1,-26.33,F5
12,3.58,23485778,6551123.57,5379,141725,19942,0,882,1585,336,34,0,0,1,25.89,G4
12,1.41,9436026,6682737.96,4628,127712,30184,0,1145,1210,624,45,0,4,5,-24.57,D3
