探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,0.93,5113198,5498062.37,3240,56261,11023,0,146,115,216,29,0,0,0,-0.76,F6
12,1.37,7759867,5668273.92,2737,82641,7227,0,140,339,146,29,0,0,0,-3.93,D3
12,1.57,9550798,6083310.83,152,149205,26227,0,616,1993,221,47,0,0,0,-0.11,C3
12,1.68,10933745,6504309.93,627,173761,22878,0,675,2978,179,45,0,1,0,-3.32,F4
12,2.75,17296980,6285239.83,1903,292328,52335,0,3760,13723,349,67,0,0,1,0.21,C6
12,1.87,11891040,6362247.19,2835,281738,41111,0,3442,11975,432,77,0,1,1,-2.09,B4
12,1.82,11146809,6138110.68,1734,389559,69625,0,7538,32274,444,82,0,5,3,0.26,A4
12,1.63,10230204,6268507.35,677,373362,59710,0,7279,27971,456,95,0,1,1,-2.89,C7
12,2.53,15279207,6043990.11,7104,528202,98193,0,18297,80785,907,128,0,7,26,0.09,A5
12,1.51,9445089,6255025.83,4170,447463,80126,0,14249,48022,764,138,0,4,15,-2.36,A3
12,1.08,6439658,5968172.38,383,582195,108889,0,23067,110258,933,150,0,9,28,0.44,A2
12,1.34,8538302,6381391.63,1175,510491,92399,0,19172,72059,820,168,0,7,21,0.61,D2
12,1.93,11480003,5954358.40,157,674989,128666,0,33578,181457,938,158,0,19,29,-0.84,C8
12,1.32,8443109,6410864.84,2344,571621,112656,0,28773,103458,1037,201,0,12,45,2.36,F7
12,1.69,10040779,5930761.37,5319,745470,143562,0,43568,260032,1317,187,0,21,73,-0.35,D7
12,0.67,4184397,6282878.38,5623,599180,119983,0,32694,120804,1322,225,0,24,82,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.39,9520404,6844287.56,5936,60055,13432,0,227,126,362,24,0,1,1,-26.33,F5
12,3.55,23481270,6621903.55,5379,141724,19883,0,912,1591,335,34,0,0,2,25.89,G4
12,1.41,9436235,6711404.69,4628,127681,30227,0,1112,1215,616,47,0,2,13,-24.57,D3
12,4.70,30813198,6561583.90,5487,327613,63150,0,8444,18619,809,59,0,0,20,24.85,D2
12,0.99,6682090,6776967.55,267,186471,39821,0,1975,3629,637,64,0,3,13,-26.39,H3
12,1.28,8161512,6351371.21,1766,385258,76039,0,11981,30117,988,84,0,3,29,25.59,G3
12,0.42,2675813,6370983.33,2646,211105,46830,0,3155,5172,801,98,0,4,22,-23.88,F1
12,0.83,5175264,6235257.83,416,426009,82967,0,14285,40683,1009,97,0,12,36,24.93,E1
12,0.71,4773260,6694614.31,3045,251926,59586,0,5852,8697,986,126,0,9,43,-25.86,E2
12,0.81,5030666,6226071.78,2804,469459,87973,0,16358,54775,1122,112,0,21,61,27.65,G5
12,0.40,2317098,5749622.83,4482,271050,65763,0,7381,10748,1206,145,0,13,58,-25.34,D1
12,0.90,5690999,6351561.38,2454,505180,96481,0,20247,68796,1248,128,0,23,79,26.67,D6
12,0.97,6406921,6618720.04,4642,328626,78529,0,10707,18676,1444,163,0,17,101,-28.92,C6
12,1.48,9205963,6207662.17,2010,562864,112300,0,27935,97258,1375,154,0,36,97,27.64,C5
12,0.64,4011096,6286984.33,1837,367317,89429,0,14197,25848,1551,182,0,18,120,-27.33,B5
12,1.18,7102397,5998646.11,719,612755,124059,0,34111,128520,1418,171,0,37,106,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.49,2669694,5437258.66,551,70647,10003,0,226,196,58,18,0,0,0,25.78,E6
12,0.30,1866838,6140914.47,767,39228,6552,0,61,34,68,22,0,0,0,-26.64,F8
12,0.75,3985036,5320475.30,100,169919,41479,0,1725,2866,71,34,0,1,0,27.18,C8
12,0.10,567082,5614673.27,41,53668,9891,0,128,98,71,39,0,0,0,-24.25,E8
12,0.31,1521991,4862591.05,623,216197,55283,0,3174,5716,176,57,0,6,0,28.44,A2
12,0.10,601885,5732238.10,478,71175,13707,0,311,207,168,57,0,1,0,-27.45,A6
12,0.10,437029,4600305.26,399,231726,61487,0,4355,6949,275,75,0,9,2,26.02,A8
12,0.06,300677,5096220.34,22,80334,15886,0,437,301,171,68,0,7,0,-26.97,B7
12,0.16,764116,4687828.22,208,258827,69287,0,5980,9450,330,97,0,16,2,27.50,G8
12,0.08,421981,5084108.43,92,96458,20326,0,758,533,196,94,0,8,0,-27.15,G7
12,0.09,378691,4455188.24,379,275811,72239,0,6628,11280,416,123,0,16,4,25.74,C1
12,0.02,112596,4895478.26,133,101318,21725,0,880,604,251,115,0,8,1,-27.00,B2
12,0.06,286539,4477171.88,262,289359,76691,0,7807,12968,532,154,0,17,5,25.76,E2
12,0.04,186736,4668400.00,451,111888,24849,0,1218,779,380,142,0,10,1,-26.45,F2
12,0.04,176209,4004750.00,308,301000,79761,0,8622,14527,676,176,0,19,11,25.03,H8
12,0.01,44456,4445600.00,63,115302,25980,0,1332,832,410,159,0,18,1,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,0.90,5570722,6217323.66,4040,80016,13864,0,270,292,415,47,0,2,4,4.93,D3
12,1.32,7760419,5888026.56,2058,136946,18623,0,765,1362,195,39,0,1,1,-5.64,B3
12,0.28,1560834,5476610.53,199,112936,21256,0,539,835,423,65,0,3,5,4.99,A6
12,0.47,2609701,5564394.46,406,193669,29999,0,1816,3938,231,62,0,1,1,-4.57,F4
12,0.21,1157063,5457844.34,1203,139031,28330,0,1156,1563,608,91,0,5,10,5.17,F8
12,0.31,1587348,5055248.41,1061,234196,42552,0,3679,6959,417,80,0,1,3,-4.87,A7
12,0.14,681732,4940086.96,717,157136,35629,0,2158,2202,769,106,0,8,20,6.09,B8
12,0.07,307614,4732523.08,564,244707,46168,0,4393,7911,505,112,0,4,4,-3.88,H2
12,0.07,318975,4556785.71,105,169838,39124,0,2658,2783,800,123,0,9,21,8.44,F3
12,0.04,193678,4504139.53,160,253568,48667,0,4932,8755,547,129,0,4,7,-8.49,G5
12,0.09,364980,4243953.49,342,190582,45269,0,3669,3868,914,156,0,11,34,7.23,H5
12,0.03,117985,3805967.74,230,261557,50867,0,5410,9551,600,151,0,10,10,-5.22,H3
12,0.02,62398,3466555.56,27,195538,47637,0,4069,4154,922,165,0,19,35,10.22,H4
12,0.01,24924,3560571.43,135,263524,52012,0,5641,9774,666,162,0,16,14,-7.21,H6
12,0.01,17273,3454600.00,30,197306,48671,0,4277,4257,939,177,0,27,39,14.15,H8
12,0.01,26674,3334250.00,57,266381,53065,0,5880,10096,698,181,0,22,18,-14.79,G6

