探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,0.90,6745638,7495153.33,4423,55692,11117,0,126,116,302,35,0,0,0,-0.76,F6
12,1.33,10381246,7805448.12,3019,85461,6967,0,91,347,164,29,0,0,0,-3.93,D3
12,1.68,12396643,7370180.14,152,147049,24350,0,468,1906,307,53,0,0,0,-0.11,C3
12,1.78,13495652,7577569.90,2157,175190,22387,0,717,3058,304,46,0,0,3,-3.32,F4
12,3.12,23511206,7545316.43,5318,299474,51779,0,3960,14850,586,73,0,2,1,0.21,C6
12,2.18,16335792,7493482.57,5886,289316,40745,0,3461,12927,742,79,0,1,14,-2.09,B4
12,2.02,14798059,7325771.78,2350,398357,66699,0,7081,34314,707,91,0,2,5,0.26,A4
12,1.57,12028522,7651731.55,635,376337,57059,0,6821,28346,762,96,0,2,15,-2.89,C7
12,2.79,21494900,7715326.63,11101,542226,96360,0,19064,86984,1362,133,0,2,67,0.09,A5
12,1.83,12659342,6906351.34,5646,453537,77914,0,14169,49759,1128,136,0,6,35,-2.36,A3
12,1.22,8369512,6871520.53,327,595232,106119,0,23588,118064,1384,151,0,6,70,0.44,A2
12,1.47,10750301,7303193.61,1083,516870,89438,0,18858,74549,1184,165,0,10,42,0.61,D2
12,2.57,17867677,6957818.15,157,693753,124166,0,33362,199634,1390,162,0,13,70,-0.84,C8
12,1.51,11575453,7681123.42,2209,581836,110285,0,28918,109013,1378,194,0,20,79,2.36,F7
12,1.71,12932129,7571504.10,3565,761360,138832,0,43021,282150,1614,190,0,23,123,-0.35,D7
12,0.75,5698657,7628724.23,4597,612207,117284,0,32772,129133,1581,229,0,25,133,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.35,10793355,8012884.19,3745,59933,9690,0,169,147,229,25,0,3,0,-26.33,F5
12,3.71,28449413,7660046.58,6355,144070,16346,0,854,1709,378,33,0,1,5,25.89,G4
12,1.46,11559908,7939497.25,3610,129535,24910,0,990,1364,413,48,0,3,3,-24.57,D3
12,4.76,36319099,7631666.11,3814,327424,51138,0,6682,19032,746,59,0,1,13,24.85,D2
12,0.99,7859981,7955446.36,273,186895,33855,0,1854,3732,434,66,0,3,3,-26.39,H3
12,1.34,10092154,7509043.15,1412,385783,63059,0,9920,30776,903,83,0,5,19,25.59,G3
12,0.59,4635951,7844248.73,3884,218342,40538,0,2969,5789,657,98,0,4,9,-23.88,F1
12,0.80,5919770,7436896.98,420,424270,69078,0,11885,40873,927,97,0,13,23,24.93,E1
12,0.80,6254161,7866869.18,4237,260804,53547,0,5819,9496,941,125,0,8,27,-25.86,E2
12,0.80,5954567,7443208.75,3231,466417,72823,0,13421,54218,1072,114,0,21,38,27.65,G5
12,0.41,3186121,7809120.10,5830,281395,59802,0,7417,11781,1227,145,0,13,60,-25.34,D1
12,0.95,7014108,7414490.49,2936,502698,80594,0,16712,68378,1229,126,0,27,62,26.67,D6
12,0.93,7280661,7845539.87,5425,335146,71840,0,10620,19600,1500,165,0,15,113,-28.92,C6
12,1.61,11965781,7436781.23,2247,563024,95485,0,23666,97796,1366,159,0,32,99,27.64,C5
12,0.78,6108893,7811883.63,2612,378182,82988,0,14209,28240,1632,183,0,16,144,-27.33,B5
12,1.28,9384545,7303147.86,1050,615716,106014,0,28909,131126,1422,172,0,37,109,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.48,3539357,7327861.28,687,70883,8483,0,164,199,54,18,0,0,0,25.78,E6
12,0.29,2303618,7808874.58,827,39010,5943,0,49,26,71,23,0,0,0,-26.64,F8
12,0.70,5099116,7253365.58,259,166809,36129,0,1352,2785,70,40,0,0,0,27.18,C8
12,0.09,669667,7358978.02,47,52790,9001,0,88,84,75,40,0,0,0,-24.25,E8
12,0.28,1942709,7013389.89,440,210430,48139,0,2398,5357,141,65,0,0,0,28.44,A2
12,0.10,712088,7417583.33,275,69962,12475,0,265,181,141,57,0,0,0,-27.45,A6
12,0.09,594966,6760977.27,348,225849,54212,0,3469,6468,232,84,0,1,0,26.02,A8
12,0.05,367851,7212764.71,22,78741,14567,0,409,267,144,73,0,1,0,-26.97,B7
