探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.13,953591,7508590.55,200411,14622,720,6,-13.83,F4
8,0.15,1077103,7377417.81,229683,16861,1090,10,12.11,C3
10,2.00,12078959,6036461.27,2849667,213270,16566,1466,-10.51,F4
10,1.64,10167966,6188658.55,2206267,174151,15838,1062,8.42,C3
12,15.97,92809277,5812204.22,23767823,1958546,178857,134412,-7.68,F4
12,14.69,89269197,6078523.56,19984120,1648713,173677,95926,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.20,1280670,6247170.73,219815,16314,953,5,-9.59,C5
8,0.16,1132647,7079043.75,279286,17333,1574,19,10.52,C6
10,1.85,11474569,6205824.23,2019632,174583,12190,970,-7.81,C5
10,1.57,9454460,6014287.53,2597210,189577,21076,1128,7.47,C6
12,19.60,115941063,5914455.08,20988758,1910558,160785,126629,-7.49,F3
12,21.71,128609734,5924531.69,39002653,2827401,374126,295396,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.05,381335,7195000.00,91086,7288,597,1,16.96,D3
8,0.12,802571,6918715.52,182621,13525,794,12,-17.52,D6
10,0.48,2932746,6148314.47,743513,65299,5294,134,13.49,D3
10,1.56,9109231,5820594.89,2105725,174063,14391,973,-15.50,E3
12,5.51,33250995,6036854.58,8190427,708215,66969,16666,14.34,D3
12,15.07,91638751,6078855.79,21549936,1734128,174284,105164,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.10,600320,6253333.33,212235,18279,918,11,-24.11,C3
8,0.10,669139,6691390.00,97472,10198,608,1,22.51,F5
10,0.92,5457487,5944974.95,2146011,196582,14252,1239,-23.35,C5
10,2.42,14989638,6191506.82,2690544,288168,26417,2687,21.81,C4
12,8.12,46831883,5770315.80,19586792,1741179,182203,106178,-23.45,C5
12,23.37,139965049,5988578.17,24702733,2647373,272686,255517,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.06,422218,6597156.25,116612,9085,310,3,-5.27,F6
8,0.17,1171931,6735235.63,228590,18319,1288,11,4.31,D3
10,0.58,3709378,6351674.66,1132734,94219,4872,272,-5.80,F6
10,1.48,9300624,6279962.19,1969288,180278,16316,1081,2.86,D3
12,5.65,34460696,6094923.24,11297742,979780,78298,32007,-5.52,F6
12,13.22,78512929,5936705.41,16566759,1670330,157622,96882,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.14,993584,6852303.45,239611,20318,999,10,17.08,F3
8,0.14,949749,6595479.17,222714,18518,1105,12,-15.80,D6
10,1.50,9302033,6217936.50,2426817,232808,17378,1722,17.82,H8
10,1.22,7428802,6099180.62,1917931,185683,16090,1196,-14.75,D6
12,13.80,82410275,5971759.06,22144472,2108825,211776,158971,17.96,E2
12,8.54,49159798,5753721.68,11463482,1342821,141863,62147,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.09,601710,6685666.67,151716,12240,661,4,-28.28,E6
8,0.17,1121576,6558923.98,195781,16340,1392,7,27.46,G6
10,0.89,5554498,6255065.32,1554190,132247,8205,557,-24.56,E6
10,1.63,10424818,6399519.95,1917434,168827,14965,898,23.45,C4
12,10.28,62655042,6094255.62,18562611,1540028,125237,81119,-24.23,E6
12,18.66,115526406,6191125.72,21079585,1872595,187340,123128,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.17,1142870,6802797.62,187197,15452,1024,7,27.82,C7
8,0.07,508679,7266842.86,113588,8223,443,1,-29.47,B5
10,1.97,12797171,6496025.89,2014247,179803,16180,1040,25.13,E3
10,1.13,7452715,6572059.08,1933573,145814,8191,652,-24.02,C4
12,20.79,133167752,6404451.11,21385406,1852024,187136,119848,25.81,C7
12,8.32,53720929,6454515.08,14246586,1052505,86212,37025,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.14,934699,6822620.44,178275,14443,1155,5,23.04,F3
8,0.22,1490501,6900467.59,316323,22521,1358,21,-24.37,H4
10,1.57,10220669,6489313.65,1940519,167489,14691,918,21.16,F3
10,1.85,11887697,6436219.27,2868115,227571,16477,1702,-22.74,C5
12,15.65,100259785,6408013.87,19125208,1569825,143889,84025,22.32,F6
12,12.12,74135943,6114808.89,20956936,1645942,141148,93510,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.10,661289,6747846.94,171379,13503,800,7,-6.53,D6
8,0.06,378743,6011793.65,72371,6938,358,1,4.22,D3
10,0.75,4658763,6203412.78,1415397,124243,9019,507,-6.29,D6
10,0.57,3378210,5968568.90,675511,70815,4771,161,6.27,F8
12,5.61,33174194,5913403.57,11591345,1067510,90420,38041,-6.76,D6
12,4.32,25077931,5806420.70,5135593,579709,45819,11118,5.67,F8

