探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.01,9980,1996000.00,410,14,0,3.00,C6
4,0.00,9127,2281750.00,340,9,0,24.00,F6
6,0.12,220559,1793162.60,10041,757,2,9.00,F2
6,0.10,193392,1914772.28,8139,580,1,20.00,G3
8,2.10,3544754,1687978.10,164009,14500,780,15.00,F2
8,2.67,4532886,1700895.31,186735,19601,1024,20.00,G3

C5C4E3F4D3C2
4,0.00,6644,1661000.00,309,3,0,21.00,C3
4,0.00,7794,1948500.00,291,6,0,20.00,C6
6,0.09,151411,1740356.32,7598,475,1,17.00,G4
6,0.05,87339,1679596.15,4085,149,0,26.00,H4
8,1.78,3082328,1731644.94,149898,12628,740,14.00,B4
8,2.08,3404472,1640709.40,156473,12382,714,22.00,A4

F4F5E6D3E3F2
4,0.01,15475,2210714.29,551,24,0,27.00,C6
4,0.01,12177,2029500.00,412,16,0,-1.00,C5
6,0.19,341972,1790429.32,13994,1303,2,30.00,C6
6,0.15,265622,1713690.32,10685,788,2,2.00,C5
8,4.35,7625921,1751474.74,332646,35381,3398,33.00,C6
8,2.94,4808225,1634894.59,212501,18564,1442,-0.00,E7

F4F5G6G3C6C4
4,0.00,2292,2292000.00,113,0,0,35.00,D3
4,0.00,6447,2149000.00,266,4,0,2.00,E3
6,0.02,37854,1720636.36,1947,48,0,29.00,F3
6,0.09,146869,1707779.07,6412,457,0,-1.00,E3
8,0.46,755815,1661131.87,38463,2384,47,33.00,F3
8,1.64,2807072,1708503.96,131532,12661,520,-0.00,E3

C5C6C7E6D6B8
4,0.00,6165,2055000.00,281,3,0,62.00,F6
4,0.00,4770,2385000.00,193,1,0,-18.00,C4
6,0.07,116965,1670928.57,6365,334,0,61.00,F6
6,0.05,85216,1704320.00,4346,256,1,-11.00,C4
8,1.20,1903837,1593169.04,108111,8448,360,57.00,F3
8,1.20,2025941,1686878.43,111462,8759,379,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.03,50115,1927500.00,916,68,0,66.00,D1
4,0.03,54356,1698625.00,1164,137,0,-31.00,F8
6,0.79,1465447,1862067.34,32333,4373,28,74.00,A4
6,0.92,1406853,1527527.69,40058,5906,60,-40.00,E3
8,18.82,34127468,1813072.73,886829,134947,24721,78.00,A4
8,18.93,28418583,1501007.92,914178,139526,26490,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.02,29308,1724000.00,911,23,0,20.00,C6
4,0.00,6663,2221000.00,226,2,0,22.00,A5
6,0.43,733168,1709016.32,28211,2714,40,20.00,C2
6,0.21,331876,1611048.54,12877,1181,5,23.00,A5
8,9.35,16133292,1725116.77,682781,93368,14766,26.00,B6
8,3.29,5091966,1546769.74,222707,21437,1447,18.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,4157,2078500.00,195,12,0,-90.00,E3
4,0.01,16289,2036125.00,599,26,0,144.00,G6
6,0.07,97731,1458671.64,4269,386,0,-97.00,C1
6,0.19,378327,1950139.18,12320,1439,4,144.00,A8
8,1.60,2340885,1464884.23,98782,14311,306,-105.00,C1
8,6.26,11954621,1908464.40,331241,64955,3480,154.00,B3

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,5780,1926666.67,287,13,0,132.00,A8
4,0.01,9459,1891800.00,353,26,0,-105.00,C3
6,0.07,120013,1621797.30,5846,629,3,145.00,A8
6,0.12,203446,1724118.64,8781,796,1,-114.00,C4
8,1.32,2081346,1579169.95,100560,11652,299,153.00,A8
8,2.36,3876272,1642488.14,176062,19656,990,-119.00,C5

D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.01,22378,1721384.62,573,20,0,-11.00,H6
4,0.01,23739,1826076.92,696,96,0,45.00,G3
6,0.35,588113,1689979.89,19433,2531,16,6.00,H6
6,0.32,524424,1633719.63,20343,2638,15,32.00,H5
8,7.90,12608895,1596871.20,479512,69241,7239,15.00,H6
8,6.32,9517361,1505435.15,420547,59779,5628,24.00,C4

C5C4E3E6C6F4G3E2D2F6D3C2B3A2D6G4C1B6C3B2F5H2G5F3C7B5
4,0.03,57341,1791906.25,1185,53,0,155.00,D1
4,0.03,40856,1513185.19,1000,100,1,-125.00,D7
6,1.02,1777033,1740482.86,46972,6253,70,169.00,D1
6,0.72,1010492,1407370.47,32998,5947,44,-129.00,E1
8,28.30,52101846,1841249.81,1473929,276525,70717,178.00,D1
8,16.19,22532030,1391381.38,861083,161205,24233,-143.00,E1

D6C4C3C6C5B4C7B7A7C2B6D7F3B8A3B5D3A5C8E2D1F6F5F4D8F2
4,0.01,11797,1966166.67,519,27,0,104.00,C1
4,0.01,9602,1600333.33,374,10,0,-50.00,B3
6,0.12,215519,1766549.18,11146,1416,7,108.00,C1
6,0.22,344032,1585400.92,12299,1491,3,-63.00,F1
8,1.83,3366063,1839378.69,191238,29897,1063,118.00,A8
8,0.59,890411,1509171.19,48907,4580,82,-87.00,E6

C5C6F4F3E3C4F2G1D2G4B5F6F1G2E6F7G3A5H2H1G7G6G5D3D6H3
4,0.02,31201,1642157.89,997,86,0,-91.00,B6
4,0.03,47789,1448151.52,1442,95,0,138.00,E1
6,0.47,731252,1559172.71,29005,3624,27,-111.00,B6
6,0.75,1200612,1602953.27,47976,6042,71,160.00,E1
8,8.69,13538928,1558348.07,570362,85609,10283,-128.00,A6
8,14.63,24491408,1674397.21,1043556,220868,35794,176.00,E1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.02,26838,1491000.00,918,38,0,40.00,A3
4,0.02,36337,1730333.33,1051,73,0,13.00,H6
6,0.40,601150,1521898.73,26000,3496,14,38.00,C5
6,0.43,606553,1407315.55,22577,2873,15,14.00,B5
8,8.74,12571673,1438900.42,608596,111933,11618,34.00,C5
8,7.63,11841015,1551902.36,487363,75935,7232,14.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.03,44019,1572107.14,1271,128,0,158.00,H1
4,0.01,22333,1488866.67,768,85,0,-107.00,G8
6,0.49,773149,1565078.95,29736,6254,30,151.00,D8
6,0.47,695958,1483918.98,25333,2231,17,-119.00,D3
8,9.44,14476416,1533031.45,642967,135423,13372,175.00,D8
8,8.40,11787622,1402954.30,533441,63825,8806,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,19976,1664666.67,861,46,0,2.00,A6
4,0.01,19104,1592000.00,566,41,0,32.00,E7
6,0.25,335434,1358032.39,19601,1947,9,14.00,H6
6,0.15,219156,1490857.14,9794,1222,3,13.00,G1
8,2.87,3859641,1343886.14,259827,34764,2070,17.00,H6
8,2.08,3068866,1472584.45,171831,29164,948,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,14405,1600555.56,653,40,0,145.00,H8
4,0.01,11445,1907500.00,473,48,0,-73.00,B4
6,0.10,143414,1509621.05,8395,1505,6,151.00,H8
6,0.07,123204,1687726.03,6702,1566,0,-115.00,B4
8,0.95,1442052,1522758.18,94384,18262,253,186.00,H8
8,0.82,1459404,1773273.39,88404,21751,242,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,4914,1228500.00,336,17,0,-65.00,A5
4,0.00,5997,1999000.00,394,15,0,109.00,A3
6,0.03,40707,1507666.67,3831,476,0,-58.00,A8
6,0.06,94450,1628448.28,7166,1198,1,102.00,B3
8,0.15,215145,1463571.43,24559,3703,8,-75.00,A8
8,0.37,620376,1667677.42,55207,10854,112,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3476,1738000.00,243,3,0,167.00,G7
4,0.00,904,inf,55,4,0,-146.00,G4
6,0.02,40207,1914619.05,3290,253,1,213.00,G7
6,0.01,9113,1822600.00,716,59,0,-234.00,G8
8,0.21,406155,1897920.56,34464,4515,44,326.00,E1
8,0.04,64712,1659282.05,6912,580,2,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.02,38031,1901550.00,1004,155,0,35.00,A1
4,0.01,23721,1581400.00,699,65,0,22.00,A3
6,0.40,624049,1548508.68,25398,5574,20,29.00,A1
6,0.23,365506,1575456.90,16552,3407,7,12.00,A3
8,5.41,8864520,1639755.83,449331,106388,6384,32.00,A1
8,2.47,4021001,1626618.53,235031,45936,1734,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4193,4193000.00,261,19,0,11.00,F7
4,0.00,1737,inf,129,1,0,69.00,E3
6,0.01,29052,2234769.23,2665,417,0,38.00,E3
6,0.00,7089,1772250.00,881,124,0,33.00,F8
8,0.06,107419,1760967.21,13947,2217,5,38.00,E3
8,0.01,20858,2317555.56,3407,763,0,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1601,inf,158,28,0,-92.00,F8
4,0.00,1410,inf,144,5,0,129.00,H6
6,0.00,7007,2335666.67,976,251,0,-114.00,F8
6,0.00,7537,1884250.00,1158,114,0,134.00,H6
8,0.02,27760,1735000.00,5770,1428,1,-121.00,F8
